ID,SHOWID,NAME,NATIONALITY,BIRTHDATE,GENDER
1,93,Alejandra Azcárate,Colombia,1978-03-03,female
2,109,Alex Ortiz,Chile,1986-09-26,male
3,92,Alison Mandel,Chile,1983-07-05,female
4,51,Álvaro Salas,Chile,1952-12-27,male
5,23,Armando Navarrete,Chile,1934-02-28,male
6,57,Arturo Ruiz-Tagle,Chile,,male
7,72,Bastián Paz,Chile,,male
8,105,Belén Mora,Chile,1983-06-05,female
9,67,Daniel Fica,Chile,1963-09-04,male
10,98,Bonco Quiñongo,Cuba,1971-01-21,male
11,87,Carlos Sánchez,Colombia,,male
12,62,Carlos García,Argentina,,male
13,1,Carlos Helo,Chile,1929-06-29,male
14,22,Sergio Hirane,Chile,1955-01-27,male
15,9,Alejandro González,Chile,1947-07-28,male
16,54,Daniel Muñoz,Chile,1966-02-11,male
17,52,Daniel Muñoz,Chile,1966-02-11,male
18,86,Daniela Aguayo,Chile,1980-06-11,female
19,104,Diego Urrutia,Chile,1995-02-20,male
20,43,Paul Vásquez,Chile,1968-01-25,male
21,43,Mauricio Medina,Chile,1966-09-16,male
22,41,Dino Guzmán,Chile,1960-02-26,male
23,8,Edmundo Arrocet,Chile,1949-11-29,male
24,81,Eduardo Carrasco,Chile,1986-07-16,male
25,26,Ernesto Cancino,Chile,1959-11-25,male
26,40,Emilio Torres,Chile,,male
27,32,Enzo Corsi,Chile,,male
28,100,Ernesto Belloni,Chile,1956-11-26,male
29,25,Ernesto Ruiz,Chile,1937-12-26,male
30,18,Esteban Retes,Chile,,male
31,90,Fabrizio Copano,Chile,1989-03-06,male
32,95,Felipe Avello,Chile,1974-05-24,male
33,61,Rafael Verdugo,Chile,1952-11-15,male
34,101,Diddier Marín,Chile,1984-05-02,male
35,101,Adrián Correa,Chile,,male
36,101,Julio Caneo,Chile,,male
37,101,David Silva,Chile,,male
38,76,Nelson Martin,Chile,1959-02-11,male
39,45,Gilberto Gless,México,,male
40,17,Gloria Benavides,Chile,1948-04-05,female
41,21,Hermógenes Henríquez,Chile,1953-06-16,male
42,79,Roger Jara,Chile,,male
43,14,Hugo Goodman,Chile,,male
44,28,Hugo Varela,Argentina,1946-09-16,male
45,96,Alejandra Dueñas,Chile,1975-01-11,male
46,19,Jappening con ja,Chile,,male
47,99,Javiera Contador,Chile,1974-06-17,female
48,91,Jenny Cavallo,Chile,1975-03-08,female
49,39,Jorge Navarrete,Chile,1950-03-12,male
50,74,Jorge Berlazzo,Argentina,1967-01-12,male
51,44,Jorge Silva,Chile,1946-09-17,male
52,46,Jorge Pérez,Chile,,male
53,2,Jorge Romero,Chile,1929-11-02,male
54,88,Juan Luis Calderón,Chile,1962-10-09,male
55,85,Juan Pablo López,Chile,1975-01-06,male
56,38,Julio Sabala,República Dominicana,1963-08-26,male
57,27,Klaudio Showman,Chile,,male
58,106,Laila Roth,Argentina,,female
59,80,León Murillo,Chile,,male
60,12,Jorgue Guerrero,Chile,,male
61,70,Patricio Mejías,Chile,,male
62,70,Roberto Saldías,Chile,,male
63,70,Juan Carlos Donoso,Chile,,male
64,5,Luis Arenas,Chile,1927-01-04,male
65,5,Luis Pinto,Chile,,male
66,7,Los Flamingos Mexicanos,México,,male
67,42,Luis Córdoba,Chile,,male
68,42,Juan González,Chile,,male
69,73,Gabriel Artigas,Chile,,male
70,73,Hugo Silva,Chile,,male
71,16,Carlos Trujillo,Chile,,male
72,16,Alfredo Herrera,Chile,,male
73,16,Carlos Valenzuela,Chile,,male
74,34,Juan Pacheco,Chile,,male
75,34,Carlos Pacheco,Chile,,male
76,108,Lucho Miranda,Chile,1995-01-30,male
77,6,Lucho Navarro,Chile,1933-06-13,male
78,35,Luis Pescetti,Argentina,1958-01-15,male
79,3,Luis Sandrini,Argentina,1905-02-22,male
80,107,Luis Slimming,Chile,1987-07-11,male
81,15,Maitén Montenegro,Chile,1948-09-06,female
82,13,Maitén Montenegro,Chile,1948-09-06,female
83,13,Jorgue Guerrero,Chile,,male
84,4,Manuel Carrasco,Chile,1918-11-03,male
85,66,Rodrigo Manriquez Toledo,Chile,,male
86,66,Marcelo Poblete Riquelme,Chile,,male
87,66,Eric Valdebenito Jeldrez,Chile,,male
88,30,Marcos Pizarro,Chile,,male
89,58,Mauricio Flores,Chile,1966-05-27,male
90,97,Mauricio Palma,Chile,,male
91,48,Mauricio Flores,Chile,1966-05-27,male
92,48,Gigi Martin,Chile,1959-02-11,male
93,53,Memo Bunke,Chile,,male
94,55,Memo Bunke,Chile,,male
95,55,Natalia Cuevas,Chile,1966-03-18,female
96,78,Miguel Ángel Alvarado,Chile,,male
97,56,Mario Moreno,Chile,,male
98,56,Julio Monsalve,Chile,,male
99,71,Nancho Parra,Chile,,male
100,60,Natalia Cuevas,Chile,1966-03-18,female
101,83,Natalia Valdebenito,Chile,1979-06-07,female
102,49,Óscar Gangas,Chile,1971-08-06,male
103,29,Juan Carlos Meléndez,Chile,1959-09-04,male
104,103,Pamela Leiva,Chile,1982-09-17,female
105,47,Francisco Gatica,Chile,1966-08-23,male
106,102,Paul Vásquez,Chile,1968-01-25,male
107,31,Paulo Iglesias,Chile,,male
108,77,Claudio Castillo,Chile,,male
109,77,Fernando Rojas,Chile,,male
110,84,Pedro Ruminot,Chile,1981-02-04,male
111,24,José Tapia,Chile,1942-04-03,male
112,37,Carlos Cerón,Chile,,male
113,33,Eugenio Pozo,Chile,,male
114,65,Pablo Zamora,Chile,1976-01-01,male
115,65,Kurt Carrera,Chile,1974-01-01,male
116,20,Pujillay,Chile,,male
117,68,Ricardo Meruane,Chile,1956-12-07,male
118,82,Rodrigo González,Chile,,male
119,89,Rodrigo Villegas,Chile,,male
120,75,Rudy Rey,Chile,,male
121,63,Christian Henríquez,Chile,1978-05-04,male
122,36,Alejandro Hangano,Bolivia,1937-10-23,male
123,50,Sarah Sanders,España,,female
124,11,Sergio Feito,Chile,,male
125,94,Sergio Freire,Chile,1980-10-03,male
126,64,Stefan Kramer,Chile,1982-02-19,male
127,10,Héctor Cifuentes,Chile,1925-10-14,male
128,59,Vanessa Miller,Chile,1965-11-02,female
129,69,Ricardo Rodríguez,Chile,1974-01-01,male
