comedian,name,nationality,birth_date,gender
Alejandra Azcárate,Alejandra Azcárate,Colombia,1978-03-03,female
Alex Ortiz,Alex Ortiz,Chile,1986-09-26,male
Alison Mandel,Alison Mandel,Chile,1983-07-05,female
Álvaro Salas,Álvaro Salas,Chile,1952-12-27,male
"Armando Navarrete ""Mandolino""",Armando Navarrete,Chile,1934-02-28,male
Arturo Ruiz-Tagle,Arturo Ruiz-Tagle,Chile,,male
Bastián Paz,Bastián Paz,Chile,,male
Belén Mora,Belén Mora,Chile,1983-06-05,female
Bombo Fica,Daniel Fica,Chile,1963-09-04,male
Bonco Quiñongo,Bonco Quiñongo,Cuba,1971-01-21,male
"Carlos ""El Mono"" Sánchez",Carlos Sánchez,Colombia,,male
Carlos Helo,Carlos Helo,Chile,1929-06-29,male
Checho Hirane,Sergio Hirane,Chile,1955-01-27,male
Coco Legrand,Alejandro González,Chile,1947-07-28,male
"Daniel Muñoz ""El Carmelo""",Daniel Muñoz,Chile,1966-02-11,male
"Daniel Muñoz ""El Malo""",Daniel Muñoz,Chile,1966-02-11,male
"Daniela ""Chiqui"" Aguayo",Daniela Aguayo,Chile,1980-06-11,female
Diego Urrutia,Diego Urrutia,Chile,1995-02-20,male
Dinamita Show,Paul Vásquez,Chile,1968-01-25,male
Dinamita Show,Mauricio Medina,Chile,1966-09-16,male
Dino Gordillo,Dino Guzmán,Chile,1960-02-26,male
Edmundo Arrocet,Edmundo Arrocet,Chile,1949-11-29,male
Edo Caroe,Eduardo Carrasco,Chile,1986-07-16,male
El Huaso Clavel,Ernesto Cancino,Chile,1959-11-25,male
El Pampero,Emilio Torres,Chile,,male
Enzo Corsi,Enzo Corsi,Chile,,male
Ernesto Belloni,Ernesto Belloni,Chile,1956-11-26,male
Ernesto Ruiz (El Tufo),Ernesto Ruiz,Chile,1937-12-26,male
"Esteban ""Ronco"" Retes",Esteban Retes,Chile,,male
Fabrizio Copano,Fabrizio Copano,Chile,1989-03-06,male
Felipe Avello,Felipe Avello,Chile,1974-05-24,male
Felo,Rafael Verdugo,Chile,1952-11-15,male
Fusión Humor,Diddier Marín,Chile,1984-05-02,male
Fusión Humor,Adrián Correa,Chile,,male
Fusión Humor,Julio Caneo,Chile,,male
Fusión Humor,David Silva,Chile,,male
Gigi Martin,Nelson Martin,Chile,1959-02-11,male
Gilberto Gless,Gilberto Gless,México,,male
Gloria Benavides,Gloria Benavides,Chile,1948-04-05,female
Hermógenes Conache,Hermógenes Henríquez,Chile,1953-06-16,male
Huaso Filomeno,Roger Jara,Chile,,male
Hugo Varela,Hugo Varela,Argentina,1946-09-16,male
Jani Dueñas,Alejandra Dueñas,Chile,1975-01-11,male
Jappening con ja,Jappening con ja,Chile,,male
Javiera Contador,Javiera Contador,Chile,1974-06-17,female
Jenny Cavallo,Jenny Cavallo,Chile,1975-03-08,female
"Jorge ""Chino"" Navarrete",Jorge Navarrete,Chile,1950-03-12,male
Jorge Alís,Jorge Berlazzo,Argentina,1967-01-12,male
"Jorge Franco ""El Náufrago""",Jorge Silva,Chile,1946-09-17,male
Jorge Pérez,Jorge Pérez,Chile,,male
Jorge Romero,Jorge Romero,Chile,1929-11-02,male
"Juan Luis ""Jajá"" Calderón",Juan Luis Calderón,Chile,1962-10-09,male
Juan Pablo López,Juan Pablo López,Chile,1975-01-06,male
Julio Sabala,Julio Sabala,República Dominicana,1963-08-26,male
Klaudio Showman,Klaudio Showman,Chile,,male
Laila Roth,Laila Roth,Argentina,,female
León Murillo,León Murillo,Chile,,male
Los Acetatos,Jorgue Guerrero,Chile,,male
Los Atletas de la Risa,Patricio Mejías,Chile,,male
Los Atletas de la Risa,Roberto Saldías,Chile,,male
Los Atletas de la Risa,Juan Carlos Donoso,Chile,,male
Los Caporales,Luis Arenas,Chile,1927-01-04,male
Los Caporales,Luis Pinto,Chile,,male
Los Flamingos Mexicanos,Los Flamingos Mexicanos,México,,male
Los Indolatinos,Luis Córdoba,Chile,,male
Los Indolatinos,Juan González,Chile,,male
Los Locos del Humor,Gabriel Artigas,Chile,,male
Los Locos del Humor,Hugo Silva,Chile,,male
Los Muleros,Carlos Trujillo,Chile,,male
Los Muleros,Alfredo Herrera,Chile,,male
Los Muleros,Carlos Valenzuela,Chile,,male
Los Pitusos,Juan Pacheco,Chile,,male
Los Pitusos,Carlos Pacheco,Chile,,male
Lucho Miranda,Lucho Miranda,Chile,1995-01-30,male
Lucho Navarro,Lucho Navarro,Chile,1933-06-13,male
Luis Pescetti,Luis Pescetti,Argentina,1958-01-15,male
Luis Sandrini,Luis Sandrini,Argentina,1905-02-22,male
Luis Slimming,Luis Slimming,Chile,1987-07-11,male
Maitén Montenegro,Maitén Montenegro,Chile,1948-09-06,female
Manolo Gonzalez,Manue Carrasco,Chile,1918-11-03,male
Manpoval,Rodrigo Manriquez Toledo,Chile,,male
Manpoval,Marcelo Poblete Riquelme,Chile,,male
Manpoval,Eric Valdebenito Jeldrez,Chile,,male
"Marcos ""Charola"" Pizarro",Marcos Pizarro,Chile,,male
Mauricio Flores,Mauricio Flores,Chile,1966-05-27,male
Mauricio Palma,Mauricio Palma,Chile,,male
Melón y Melame,Mauricio Flores,Chile,1966-05-27,male
Melón y Melame,Gigi Martin,Chile,1959-02-11,male
Memo Bunke,Memo Bunke,Chile,,male
Memo Bunke y Natalia Cuevas,Memo Bunke,Chile,,male
Memo Bunke y Natalia Cuevas,Natalia Cuevas,Chile,1966-03-18,female
Centella,Miguel Ángel Alvarado,Chile,,male
Millenium Show,Mario Moreno,Chile,,male
Millenium Show,Julio Monsalve,Chile,,male
Nancho Parra,Nancho Parra,Chile,,male
Natalia Cuevas,Natalia Cuevas,Chile,1966-03-18,female
Natalia Valdebenito,Natalia Valdebenito,Chile,1979-06-07,female
Óscar Gangas,Óscar Gangas,Chile,1971-08-06,male
Palta Meléndez,Juan Carlos Meléndez,Chile,1959-09-04,male
Pamela Leiva,Pamela Leiva,Chile,1982-09-17,female
Pancho del Sur,Francisco Gatica,Chile,1966-08-23,male
"Paul Vásquez ""El Flaco""",Paul Vásquez,Chile,1968-01-25,male
Paulo Iglesias,Paulo Iglesias,Chile,,male
Payahop,Claudio Castillo,Chile,,male
Payahop,Fernando Rojas,Chile,,male
Pedro Ruminot,Pedro Ruminot,Chile,1981-02-04,male
Pepe Tapia,José Tapia,Chile,1942-04-03,male
Piña Colada,Carlos Cerón,Chile,,male
Platón Humor,Eugenio Pozo,Chile,,male
Profesor Salomón y Tutu-Tutu,Pablo Zamora,Chile,1976,male
Profesor Salomón y Tutu-Tutu,Kurt Carrera,Chile,1974,male
Pujillay,Pujillay,Chile,,male
Ricardo Meruane,Ricardo Meruane,Chile,1956-12-07,male
Rodrigo González,Rodrigo González,Chile,,male
Rodrigo Villegas,Rodrigo Villegas,Chile,,male
Rudy Rey,Rudy Rey,Chile,,male
Ruperto,Christian Henríquez,Chile,1978-05-04,male
Sandy,Alejandro Hangano,Bolivia,1937-10-23,male
Sarah Sanders,Sarah Sanders,España,,female
Sergio Feito,Sergio Feito,Chile,,male
Sergio Freire,Sergio Freire,Chile,1980-10-03,male
Stefan Kramer,Stefan Kramer,Chile,1982-02-19,male
Tato Cifuentes,Héctor Cifuentes,Chile,1925-10-14,male
Vanessa Miller,Vanessa Miller,Chile,1965-11-02,female
Zip-Zup,Ricardo Rodríguez,Chile,1974,male
