ROUTINEID,FESTIVAL,YEAR,TV,DATE,SHOW,VIDEO
1,I,1960,,1960-02-21,Carlos Helo,
2,I,1960,,1960-02-21,Jorge Romero,
3,I,1960,,1960-02-21,Luis Sandrini,
4,I,1960,,1960-02-21,Manolo Gonzalez,
5,II,1961,,1961-02-11,Jorge Romero,
6,II,1961,,1961-02-11,Los Caporales,
7,II,1961,,1961-02-11,Lucho Navarro,
8,III,1962,,1962-02-17,Carlos Helo,
9,IV,1963,Canal 9,1963-02-14,Carlos Helo,
10,V,1964,,1964-02-14,Carlos Helo,
11,V,1964,,1964-02-14,Manolo Gonzalez,
12,VI,1965,,1965-02-19,Carlos Helo,
13,VI,1965,,1965-02-19,Jorge Romero,
14,VI,1965,,1965-02-19,Manolo Gonzalez,
15,VII,1966,,1966-02-11,Jorge Romero,
16,VII,1966,,1966-02-11,Los Caporales,
17,VII,1966,,1966-02-11,Los Flamingos Mexicanos,
18,VIII,1967,,1967-02-03,Jorge Romero,
19,IX,1968,,1968-02-02,Jorge Romero,
20,X,1969,Canal 13,1969-01-15,Jorge Romero,
21,X,1969,Canal 13,1969-01-15,Lucho Navarro,
22,XI,1970,UCV Television,1970-02-12,Carlos Helo,
23,XII,1971,TVN,1971-02-02,Jorge Romero,
24,XII,1971,TVN,1971-02-02,Edmundo Arrocet,https://www.youtube.com/watch?v=makiS7Xf5vs
25,XIII,1972,TVN,1972-02-03,Coco Legrand,
26,XIII,1972,TVN,1972-02-03,Edmundo Arrocet,
27,XIV,1973,TVN,1973-02-02,Tato Cifuentes,https://www.youtube.com/watch?v=CVMZsiv-GTY
28,XIV,1973,TVN,1973-02-02,Sergio Feito,
29,XIV,1973,TVN,1973-02-02,Los Acetatos,https://www.youtube.com/watch?v=MADR8N_Vbls
30,XV,1974,TVN,1974-02-07,Edmundo Arrocet,
31,XV,1974,TVN,1974-02-07,Tato Cifuentes,https://www.youtube.com/watch?v=RW1yL2iaxy8
32,XV,1974,TVN,1974-02-07,Maitén Montenegro y Los Acetatos,
33,XV,1974,TVN,1974-02-07,Hugo Goodman,https://www.youtube.com/watch?v=TQN1qTQ7e-o
34,XVI,1975,TVN,1975-02-12,Los Caporales,
35,XVI,1975,TVN,1975-02-12,Coco Legrand,
