ID,FESTIVAL,YEAR,TV,DATE,SHOWID,VIDEO
1,I,1960,,1960-02-21,1,
2,I,1960,,1960-02-21,2,
3,I,1960,,1960-02-21,3,
4,I,1960,,1960-02-21,4,
5,II,1961,,1961-02-11,2,
6,II,1961,,1961-02-11,5,
7,II,1961,,1961-02-11,6,
8,III,1962,,1962-02-17,1,
9,IV,1963,Canal 9,1963-02-14,1,
10,V,1964,,1964-02-14,1,
11,V,1964,,1964-02-14,4,
12,VI,1965,,1965-02-19,1,
13,VI,1965,,1965-02-19,2,
14,VI,1965,,1965-02-19,4,
15,VII,1966,,1966-02-11,2,
16,VII,1966,,1966-02-11,5,
17,VII,1966,,1966-02-11,7,
18,VIII,1967,,1967-02-03,2,
19,IX,1968,,1968-02-02,2,
20,X,1969,Canal 13,1969-01-15,2,
21,X,1969,Canal 13,1969-01-15,6,
22,XI,1970,UCV Television,1970-02-12,1,
23,XII,1971,TVN,1971-02-02,2,
24,XII,1971,TVN,1971-02-02,8,https://www.youtube.com/watch?v=makiS7Xf5vs
25,XIII,1972,TVN,1972-02-03,9,
26,XIII,1972,TVN,1972-02-03,8,
27,XIV,1973,TVN,1973-02-02,10,https://www.youtube.com/watch?v=CVMZsiv-GTY
28,XIV,1973,TVN,1973-02-02,11,
29,XIV,1973,TVN,1973-02-02,12,https://www.youtube.com/watch?v=MADR8N_Vbls
30,XV,1974,TVN,1974-02-07,8,
31,XV,1974,TVN,1974-02-07,10,https://www.youtube.com/watch?v=RW1yL2iaxy8
32,XV,1974,TVN,1974-02-07,13,
33,XV,1974,TVN,1974-02-07,14,https://www.youtube.com/watch?v=TQN1qTQ7e-o
34,XVI,1975,TVN,1975-02-12,5,
35,XVI,1975,TVN,1975-02-12,9,
36,XVI,1975,TVN,1975-02-12,15,
37,XVII,1976,TVN,1976-02-04,8,
38,XVII,1976,TVN,1976-02-04,16,https://www.youtube.com/watch?v=fspADC7bQuE
39,XVIII,1977,TVN,1977-02-09,9,https://www.youtube.com/watch?v=bTmr2teAhp0
40,XVIII,1977,TVN,1977-02-09,17,https://www.youtube.com/watch?v=RUOtvdtUN4c
41,XIX,1978,TVN,1978-02-01,18,
42,XIX,1978,TVN,1978-02-01,4,
43,XIX,1978,TVN,1978-02-01,8,https://www.youtube.com/watch?v=5WJXPydnjVQ
44,XX,1979,TVN,1979-02-07,1,https://www.youtube.com/watch?v=CtcO2wbjOJ0
45,XX,1979,TVN,1979-02-07,2,https://www.youtube.com/watch?v=ER6_zr-K-m4
46,XX,1979,TVN,1979-02-07,17,
47,XXI,1980,TVN,1980-02-06,9,https://www.youtube.com/watch?v=TzgPDZTI-oQ
48,XXII,1981,TVN,1981-02-11,6,
