segment_row_idx,n_topics_above_threshold,probability_mass_above_threshold,top1_topic_id,top1_topic_name,top1_p_topic,top2_topic_id,top2_topic_name,top2_p_topic,show,year,decade,topic_final,topic_name_final,text_preview,topic_prob_gap_top1_top2
3252,3,0.3937464554188459,23,23_amante_marido_mujer_matrimonio,0.1559601704975108,15.0,15_hombres_mujeres_mujer_hombre,0.1545035990279971,Jenny Cavallo,2018,2010,15,15_hombres_mujeres_mujer_hombre,"Una dice eso siempre, porque en general no existe la mujer que diga como: «Está muy bien, mi amor, está muy bien lo que hiciste, porque si no hubieras hecho eso",0.0014565714695136955
2302,3,0.393243101764778,15,15_hombres_mujeres_mujer_hombre,0.1511519129090132,23.0,23_amante_marido_mujer_matrimonio,0.1504262089961327,Gigi Martin,2014,2010,15,15_hombres_mujeres_mujer_hombre,"y vienen hasta el día de hoy y se paran frente a mí esos gallos medios cocidos, pelucones, se paran frente a mí y dice: «¿Qué tal?». Y la larga en la huevada. Y",0.0007257039128804876
1352,3,0.346463050132208,27,27_soltera_bebé_arturo vidal_tinder,0.1321066335735014,23.0,23_amante_marido_mujer_matrimonio,0.1290792143950896,Paulo Iglesias,2005,2000,15,15_hombres_mujeres_mujer_hombre,"Gracias. Yo creo que lo más importante Yo creo Yo creo que lo más importante es mantener la salud mental a hecho la casa, compadre. Lo más importante es evitar ",0.0030274191784117888
1237,3,0.3696078658708782,27,27_soltera_bebé_arturo vidal_tinder,0.1391991518370249,15.0,15_hombres_mujeres_mujer_hombre,0.1239999396532956,Natalia Cuevas,2004,2000,15,15_hombres_mujeres_mujer_hombre,"En realidad es un tema que a mí me gusta tocar porque a mí me gusta ser bien directa. ¿No es cierto? ¿Y yo? Sí, ¿se escucha bien? Sí, ya. El texto para la mujer",0.015199212183729285
224,3,0.3479788853760745,13,13_ay ay_salta salta_salta_ay,0.1412904352191657,29.0,29_reggaeton_calmado_dale_ten,0.1210806822738446,Pujillay,1990,1990,13,13_ay ay_salta salta_salta_ay,"El costillar es mío, me lo quieren quitar con Catalina Telias y tu gar tu gar salir a buscar con el grupo penitenciaría. Bueno, vamos a así entregarles con much",0.02020975294532111
470,3,0.3362291402137938,23,23_amante_marido_mujer_matrimonio,0.1197210485884068,15.0,15_hombres_mujeres_mujer_hombre,0.1190811464301031,Paulo Iglesias,1995,1990,26,26_celular_pegado_teléfono_whatsapp,"Esta noche quiero hablar de todo lo que está de moda. O sea, lo que está in. Todo lo que está... todo lo que está in, in, in, in. La ecología, por ejemplo, está",0.0006399021583037012
3447,3,0.4326506245284119,15,15_hombres_mujeres_mujer_hombre,0.2192150674933447,27.0,27_soltera_bebé_arturo vidal_tinder,0.1177522759708468,Jani Dueñas,2019,2010,15,15_hombres_mujeres_mujer_hombre,"No sean así. Yo cuando chica les cuento ¿Sabés qué? ¿Sabés qué? Les puedo contar igual. Les voy a contar igual. Yo cuando chica quería ser hombre. En serio, pri",0.10146279152249792
3250,3,0.31998378920709303,27,27_soltera_bebé_arturo vidal_tinder,0.1115546742259873,23.0,23_amante_marido_mujer_matrimonio,0.1045167320881519,Jenny Cavallo,2018,2010,4,4_chileno_chile_argentino_chilenos,"como que no oye llover. Porque el hombre, en general, amigo, yo los amo, estas son observaciones, no más. Ustedes si no están de acuerdo con lo que lo que yo di",0.007037942137835401
3280,3,0.3128967874921616,15,15_hombres_mujeres_mujer_hombre,0.1233721869573679,27.0,27_soltera_bebé_arturo vidal_tinder,0.1031697470999436,Stefan Kramer,2018,2010,15,15_hombres_mujeres_mujer_hombre,"potente. Un gurú. Tírate la cuatro. ¿Cuál es esa, güey? Está al lado de las cinco, ahuevonado. A tu mujer tienes que amarla. Por sobre todas las cosas. ¿Por qué",0.0202024398574243
312,3,0.4355835989435132,23,23_amante_marido_mujer_matrimonio,0.2523080751387231,15.0,15_hombres_mujeres_mujer_hombre,0.0925620857935095,Lucho Navarro,1992,1990,23,23_amante_marido_mujer_matrimonio,"te voy a comprar un cable para ese micrófono. Bueno, ¿qué desean escuchar? Ruido, quieren chistes cortos, me expliquen, ustedes mandan esta noche. No, eso no. E",0.1597459893452136
2507,3,0.2859431434763998,27,27_soltera_bebé_arturo vidal_tinder,0.1085390839604878,23.0,23_amante_marido_mujer_matrimonio,0.0887383632248787,León Murillo,2015,2010,15,15_hombres_mujeres_mujer_hombre,"En el lenguaje somos distintos, hombres y mujeres. Yo peleo siempre, discuto siempre con mi mujer, le digo, ""Mi amor, gordita, ¿sabes qué? Me llamaron los chiqu",0.019800720735609095
2951,2,0.3267499083744604,23,23_amante_marido_mujer_matrimonio,0.164920366651915,15.0,15_hombres_mujeres_mujer_hombre,0.1618295417225454,"Daniela ""Chiqui"" Aguayo",2017,2010,15,15_hombres_mujeres_mujer_hombre,"Algo bastante más importante. Yo digo, ¿por qué los baños de mujeres no pueden pegar una advertencia en el espejo? Que diga, si usted se va usted va a beber, no",0.003090824929369601
