show,Alejandra Azcárate,Alex Ortiz,Alison Mandel,Arturo Ruiz-Tagle,Bastián Paz,Belén Mora,Bombo Fica,"Carlos ""El Mono"" Sánchez",Carlos García,Centella,Coco Legrand,"Daniel Muñoz ""El Carmelo""","Daniela ""Chiqui"" Aguayo",Diego Urrutia,Dinamita Show,Dino Gordillo,Edmundo Arrocet,Edo Caroe,El Pampero,Ernesto Belloni,Fabrizio Copano,Felipe Avello,Felo,Fusión Humor,George Harris,Gigi Martin,Gilberto Gless,Gloria Benavides,Hermógenes Conache,Huaso Filomeno,Hugo Goodman,Hugo Varela,Jani Dueñas,Jappening con ja,Javiera Contador,Jenny Cavallo,"Jorge ""Chino"" Navarrete",Jorge Alís,Jorge Romero,"Juan Luis ""Jajá"" Calderón",Juan Pablo López,Julio Sabala,León Murillo,Los Acetatos,Los Atletas de la Risa,Los Indolatinos,Los Locos del Humor,Lucho Miranda,Lucho Navarro,Luis Slimming,Mauricio Palma,Melón y Melame,Memo Bunke,Memo Bunke y Natalia Cuevas,Millenium Show,Nancho Parra,Natalia Cuevas,Natalia Valdebenito,Palta Meléndez,Pamela Leiva,"Paul Vásquez ""El Flaco""",Paulo Iglesias,Payahop,Pedro Ruminot,Piña Colada,Profesor Salomón y Tutu-Tutu,Pujillay,Ricardo Meruane,Rodrigo González,Rodrigo Villegas,Rudy Rey,Ruperto,Sandy,Sergio Freire,Stefan Kramer,Zip-Zup,Álvaro Salas,Óscar Gangas
Alejandra Azcárate,1.0,0.06656199917585241,0.584908903122872,0.08370666134248801,0.14396705652405456,0.42750611847559483,0.2163273304437367,0.603419858648524,0.050076111556634786,0.19416838138555684,0.36137045548312685,0.015623298401263652,0.642379992537181,0.2128804475055878,0.3120235918392903,0.2934519713249016,0.02260106548733741,0.3864884698073713,0.08173919235968166,0.25617554045892404,0.21813109338896008,0.13240726775494938,0.14767964961802732,0.06451235817140995,0.020668031145421525,0.022857705504155112,0.0036554377454011593,0.1039673590323666,0.12908523509411252,0.20953106782096112,0.09982723810166098,0.27216357566551563,0.5234333077028989,0.0201791084666333,0.2760924551505432,0.6156526572998354,0.11984260931215898,0.2363002157065686,0.0,0.09426992927093508,0.20383866546003981,0.012810303326681241,0.23159891949850095,0.02823627576010928,0.1390585343174301,0.3846947110906801,0.22369812164963981,0.1322131071141888,0.2553830928133689,0.19215013906868234,0.14295269615926592,0.16460476119788622,0.17854343568874934,0.09521768321442774,0.04800044963237415,0.0917359785283905,0.04260909648304047,0.5863393299709047,0.14550605073922188,0.3220187019297463,0.14835809897016247,0.31217318037565756,0.03250255318235035,0.13609560230223702,0.10354793157719261,0.02695194613853528,0.12941789122912178,0.01849915590872136,0.3028614369903973,0.09430769461645735,0.006783915784417688,0.020399274430502604,0.14391409194362512,0.1742642305512565,0.18037218919964756,0.29811604694844657,0.27734083270520354,0.2453307769754285
Alex Ortiz,0.06656199917585241,1.0000000000000002,0.19443730134240267,0.09939470088195365,0.2402072025348654,0.3814622783806206,0.2628039125417028,0.10469249236865887,0.11718954125793367,0.26184429080438126,0.14192647176157347,0.012169930011154875,0.5609501264941238,0.31729270019474376,0.15751379008092187,0.5883707543349649,0.03285223904225813,0.2135950156273127,0.20593028672170127,0.09369103882830934,0.3492255557585794,0.13671178461725494,0.10348911609093908,0.07208938378882403,0.15556421484573463,0.12654830312139906,0.013520712185550565,0.1549840287078256,0.0408905176006468,0.30726189986182595,0.07433008419411467,0.18887709377003067,0.04938916951391,0.07534056687207247,0.5605425503116559,0.10123829648398074,0.17405376894081923,0.14689990611454878,0.17357499256020575,0.6209216265495533,0.5837162678349321,0.014706008692224366,0.14791265858514674,0.07977016574106263,0.1654169778895655,0.27993393517241344,0.3669063033629818,0.5403959124504667,0.17134451707533205,0.5369340653992285,0.12405780591472436,0.21755086297329512,0.07093851120351446,0.04354615785017859,0.19760553010711057,0.14807873194527266,0.010512833503910935,0.0450668242015784,0.35654461216683686,0.22469204819813426,0.2509606381490436,0.16672468820833755,0.0506081229392076,0.13059216605487384,0.12807394596665964,0.022033435211423747,0.32646890705882925,0.08869167338379672,0.31286989291201855,0.28231356556770304,0.1407329849299241,0.025341971006235014,0.26466521308493635,0.18098413241179187,0.14399745993888302,0.0920086000583552,0.08403967138171661,0.1233145193973067
Alison Mandel,0.584908903122872,0.19443730134240267,1.0,0.17366009764544996,0.23647488317908189,0.4275858853000643,0.2900126303678265,0.3646712840339492,0.08132655849731404,0.31289622852017274,0.31272647219305905,0.018939131797068427,0.6575139856359006,0.29020848995323206,0.3549478740888639,0.27981776717325946,0.14232617953429472,0.37200783716097174,0.14871202792833715,0.1917738375887585,0.1597426429099839,0.18594252443407228,0.15592087322923995,0.1900881631444499,0.07435564033203616,0.04866992859953697,0.04248605948807193,0.3079836315223377,0.24219843129916174,0.2567641717225875,0.29830599330267926,0.21070234043888278,0.5020946227208131,0.03668525103675005,0.5554684004483164,0.6653693152161899,0.33365975488942984,0.16899165035330413,0.060382357697016935,0.11925071159587315,0.2798524564660881,0.21836680201053496,0.15734871859990898,0.06342239375826765,0.09303337537383306,0.3827339355383583,0.23239766778153215,0.3421246141832885,0.14696479455092828,0.28728846090708277,0.12535954190082912,0.1483379415364372,0.15687120286126624,0.674068229271016,0.062426273314656694,0.18734143342654438,0.6420845262475672,0.7775203379887955,0.1219246182778115,0.5994733901626447,0.3198265351788594,0.2394222842904829,0.05034141016851129,0.21417539069615701,0.15752263329090266,0.016211387060376347,0.22115299186935453,0.11948843395675333,0.3715231473812097,0.24445229741409089,0.05277692582997391,0.03854482553448555,0.18091990996477417,0.1624351022463415,0.3634969841235778,0.19216581604261967,0.23603805572845526,0.31055042709751335
Arturo Ruiz-Tagle,0.08370666134248801,0.09939470088195365,0.17366009764544996,1.0000000000000002,0.4902899060433701,0.23409661729288475,0.5657541606697984,0.3614939916103755,0.15547914818734707,0.31102888738519774,0.41067082568729596,0.3380408161958036,0.26427690396783726,0.2257883150649171,0.6700237572190726,0.36479027721479285,0.1929474442928297,0.3357102843881706,0.10450119938427578,0.18304401552066696,0.43802814592945694,0.26674662137611654,0.25378105050687383,0.5315231636768324,0.08066280952886512,0.5527715582688578,0.025895919582936737,0.1819864496599741,0.38896149323400026,0.31093239590135396,0.36611799403014883,0.1877444325426228,0.3695152456840634,0.23295610204900385,0.3283766844135229,0.1374374380665723,0.538161391039154,0.27117057468600186,0.11025100163158642,0.1892440511412129,0.44165754405041224,0.27647019465029626,0.19040253490772452,0.4170815320419379,0.0956312157738151,0.3774889241697236,0.17338205799834475,0.3039884909624762,0.18292018090099296,0.3305363983359217,0.23497296179475774,0.6088054613056263,0.43713927336330666,0.055273024653905795,0.522002630288579,0.2942934570765504,0.10399059812951589,0.14721459861472413,0.43098467646944055,0.3005888696242048,0.5300817309767502,0.230726609847963,0.13857322373461822,0.5146924505478302,0.2140016363864473,0.11095075678079905,0.24223148574328024,0.31394715146726615,0.41827844659551744,0.5186858303823921,0.17419707112569707,0.47889999656517745,0.3490882413476987,0.38839274776530025,0.4304184783289705,0.20413497741170553,0.47486399967371484,0.33594560779471905
Bastián Paz,0.14396705652405456,0.2402072025348654,0.23647488317908189,0.4902899060433701,1.0,0.2464280184684437,0.4311795077285,0.24688604569740727,0.3142419631629262,0.28653757029087856,0.3706950827198139,0.186510227695634,0.4016136889261904,0.3936366923926817,0.5380465609625578,0.4751968034804532,0.1667414594928236,0.2675017443935321,0.43756546882740555,0.18550634476074251,0.32109213205214815,0.22728279687028666,0.09199150556895772,0.46630096375513364,0.09276791870149442,0.1845771678640396,0.009720136798197252,0.2994266771151741,0.21519016967961616,0.25492139647376916,0.234119254445415,0.19289262256509077,0.49596675894904335,0.31173809740257075,0.3118682433923215,0.31016594703461225,0.39588636470292354,0.2551023312199439,0.12458725297677806,0.16570989491214197,0.24656749425869748,0.05278080244130378,0.375836944686898,0.23800417060178322,0.2088384126666014,0.38062235406019046,0.3059371813393383,0.31804145353460067,0.28618092084160995,0.24018591844018108,0.28011464232255445,0.4512182003407434,0.07860969966880535,0.05360727338500516,0.45617667528689254,0.24743518912924747,0.1613074593675082,0.17233396635968612,0.4642904725576173,0.33579708576577727,0.4154001614491284,0.12798226890989214,0.1789666631251252,0.22118061871490757,0.04239037504493164,0.03990865739890775,0.22930682040345718,0.25417231218988967,0.37213369690144016,0.42866700896937554,0.1117035822459542,0.576672504942965,0.42379260894893556,0.22368000119420953,0.314044894338004,0.2863023416775407,0.21674401770182528,0.3956938152083259
Belén Mora,0.42750611847559483,0.3814622783806206,0.4275858853000643,0.23409661729288475,0.2464280184684437,1.0000000000000002,0.3747099850668629,0.08132755876320082,0.03467795200865625,0.1848971135707854,0.09410316637657212,0.06299817794226183,0.6707092687373033,0.11990180463424611,0.19493494856535995,0.32386722627939285,0.04267633522872641,0.5592731853790955,0.007097993386065355,0.2595779978647412,0.12938133733822713,0.187371588808652,0.016129578472431183,0.1288103549583472,0.1176102747416036,0.07870661747983299,0.0018683196049153925,0.07079336315521202,0.06874759910529821,0.08565720348697105,0.17014566227218725,0.1164540193648923,0.3323718433112201,0.011579751520171875,0.47770842065491886,0.35797001110913623,0.12055713257020562,0.12848926693451654,0.008524298175071785,0.08899308993688908,0.14724098269843336,0.04402642219886618,0.09110366866866021,0.07741804503553922,0.02368096563959239,0.16827495090443137,0.28053825484270833,0.1288077323452583,0.2044472779010166,0.13113180290844148,0.026214618535078164,0.21860073611001316,0.024351799632988242,0.14273951084315137,0.12139499610551689,0.07851047673527743,0.13964535603412642,0.20543647576195592,0.07019293830283826,0.39086487874109244,0.25046706446482714,0.15100375507072397,0.016545494052414803,0.3461022928824449,0.026365052706621872,0.0030513137894125015,0.354108043708453,0.05596060504081113,0.34026814048246906,0.13873907482779627,0.010488028125616462,0.06551007934068605,0.1622845463162625,0.2839934224029036,0.1362834787345381,0.10363680631968429,0.18800517360299107,0.08630402191876622
Bombo Fica,0.2163273304437367,0.2628039125417028,0.2900126303678265,0.5657541606697984,0.4311795077285,0.3747099850668629,1.0,0.28536434872726896,0.333058935509873,0.3327771137417665,0.40699906809278014,0.08456949036114697,0.4069888328108992,0.2044905450399184,0.5776271945666379,0.37567931949101613,0.22358910007342037,0.35930281882240817,0.14530642880753306,0.3918310094171857,0.45110362417418065,0.7413842672001574,0.33386962760181527,0.33326128728639787,0.1582345477726519,0.27345481751885153,0.15454177766263977,0.37902379820479865,0.36106426979016776,0.3692267525713445,0.29648076623826297,0.23301235444496793,0.2272337005695795,0.2661293435339925,0.19505603611249514,0.1767224906352974,0.24048893628499485,0.5190298669657896,0.05793161487132511,0.2601120168917316,0.5550966228846486,0.19066160130118967,0.2375873444100954,0.1384318956169739,0.06726997655103674,0.4745390725792381,0.3380868275644067,0.24433323914344815,0.1661123770994612,0.28828724402381417,0.3266088914860519,0.34961022282734017,0.3641452493618314,0.12026087289694368,0.21628266465832224,0.6457763866882026,0.14533167146308773,0.22324898273325713,0.468159897902347,0.36744538823444856,0.48898821815635385,0.4489949155644003,0.24160238309412674,0.6406006053263955,0.2085014313963679,0.0729881258116706,0.5397426488691819,0.28632501338802757,0.49618047951566374,0.4556489288109587,0.12270459913192226,0.2768852965952344,0.24166280117146213,0.5292382636320757,0.41873049311877086,0.3137926040257459,0.5413470954822506,0.6464983222265597
"Carlos ""El Mono"" Sánchez",0.603419858648524,0.10469249236865887,0.3646712840339492,0.3614939916103755,0.24688604569740727,0.08132755876320082,0.28536434872726896,1.0,0.10956922293561576,0.11491155763042814,0.4049107960378773,0.03585639981852759,0.3633242156341411,0.3332610778368265,0.39316476247095555,0.4551363872096382,0.04061275791256988,0.07059860854378239,0.3237108236576923,0.35918128569822666,0.385985274364524,0.12470194686288927,0.35384306322467773,0.09018600043438034,0.10132632604073208,0.5126074165063059,0.010349766922688616,0.2128258354839018,0.1679152508217497,0.4362767431408534,0.06120611948256572,0.3336499925074952,0.2835623400049081,0.12928804332807228,0.258256572552062,0.5303972955571589,0.20008374933914097,0.2607139934420956,0.09347659822871673,0.13060836547125892,0.26835272100577234,0.2511572046419029,0.3122254847912126,0.12496977423467687,0.21872239538348667,0.39338496875795087,0.3733215005136592,0.200436499165532,0.34780096961281715,0.2825608331653707,0.16975286377189763,0.5327083357875886,0.3980318099992598,0.0843728261482935,0.23028896031466284,0.12344431328393403,0.04264581046781966,0.42787607882876544,0.20918602550135856,0.20604566627368706,0.2832889738080789,0.38218350929783645,0.07231127176294168,0.1445810111921549,0.3171113568601261,0.03825491372464725,0.17793784887864803,0.053713413304651965,0.4200025583743506,0.3581098469524263,0.11491153110616792,0.1811210474345549,0.2938483442649864,0.2523268957273181,0.15693583284003648,0.42424527030752446,0.3418600730781609,0.29917956143503893
Carlos García,0.050076111556634786,0.11718954125793367,0.08132655849731404,0.15547914818734707,0.3142419631629262,0.03467795200865625,0.333058935509873,0.10956922293561576,1.0000000000000002,0.09901649281648695,0.2496618766901243,0.7017501994967801,0.06469349502812448,0.4993544548072083,0.3405534166595161,0.2330710054662639,0.6769294236637796,0.1793049710568597,0.30475222166656746,0.25907635582085364,0.4092073941354777,0.3303267787314379,0.673201823603568,0.3262679273939691,0.16551934148248276,0.236759867286294,0.5660764599655765,0.6459748670404547,0.08873853275139962,0.2201667909102393,0.3909219187974906,0.5046132725098906,0.3082069834523742,0.3490515533818694,0.17212545089913964,0.030760498110437098,0.08941134009062138,0.1321711657275245,0.6131322755983504,0.2528105970426546,0.15199781320287348,0.6716815419350645,0.2540621617382327,0.5533006403154942,0.1734775694370912,0.4988072051070196,0.35352593865662846,0.08455060420536976,0.5549213276103558,0.11430515141948415,0.3687830949885255,0.3108156055426023,0.26601890495079616,0.37077561935576786,0.2833567655320205,0.3250013468748091,0.29874970215643243,0.03730547581381288,0.18488265404873838,0.29870548344914327,0.1479971050080923,0.1986428578646607,0.6811254688623026,0.22113539466970372,0.3196860389167269,0.7063104865258104,0.3477468850084431,0.2151780475616315,0.17161884466009722,0.4814660547340145,0.6592089616879968,0.3602678611639861,0.3691929317808637,0.18265205424671183,0.3616629017812502,0.19002363168930958,0.1419331940238589,0.2764188767030986
Centella,0.19416838138555684,0.26184429080438126,0.31289622852017274,0.31102888738519774,0.28653757029087856,0.1848971135707854,0.3327771137417665,0.11491155763042814,0.09901649281648695,1.0000000000000002,0.45242846856071195,0.015350637609358881,0.3455417416262739,0.34612700697516435,0.40572004823995983,0.4025392408281405,0.3377063779673446,0.4480278833351336,0.06656479774036497,0.4218860064904682,0.26548069889326453,0.24762117546168735,0.3722582359417856,0.39001292390048176,0.13827269299253997,0.20730922658832074,0.11917256006460625,0.173159229856014,0.5501732370729912,0.1322376225545553,0.35600539345947296,0.15276943500586307,0.27197594133489217,0.028144985824817555,0.43679660264921316,0.23057559185343787,0.5114333107924481,0.33601184547260454,0.07825801095112803,0.22800241820700815,0.6132069477314241,0.04039821710293086,0.2563491497034416,0.0167860404452226,0.17015289411151271,0.377692791059434,0.1920879893834831,0.541186056987831,0.1461728674619603,0.2606350649351637,0.24955164675090136,0.16725082679233477,0.11060929897114609,0.05346717093418149,0.06248568267094371,0.1898714670355925,0.28226739527823563,0.17126983054166742,0.42342754361482277,0.42081562306963366,0.36246171287768836,0.2413857746474812,0.40484985617858166,0.22284547741070937,0.018086331742457613,0.01399834631643462,0.09194388826127402,0.5718753253492852,0.2903862991012213,0.3487799848589447,0.0735020797934638,0.04997130123666309,0.5364414496447173,0.17802665199529713,0.6356580101415191,0.33891304815393336,0.29638741651871836,0.3807721412769818
