show_a,show_b,cosine_similarity
Felipe Avello,Nancho Parra,0.9347747726287043
Jorge Romero,Profesor Salomón y Tutu-Tutu,0.875480066180711
"Daniel Muñoz ""El Carmelo""",Profesor Salomón y Tutu-Tutu,0.8634680446250058
Edmundo Arrocet,Gilberto Gless,0.8603147539570011
Memo Bunke,Piña Colada,0.812712911341093
George Harris,Los Atletas de la Risa,0.8006400632101124
Profesor Salomón y Tutu-Tutu,Rudy Rey,0.8004149431488456
Edmundo Arrocet,Hugo Goodman,0.7859230049919103
Memo Bunke y Natalia Cuevas,Natalia Cuevas,0.7839404535910127
Edmundo Arrocet,Julio Sabala,0.7805415785130132
Lucho Navarro,Rudy Rey,0.7803599146748823
Alison Mandel,Natalia Valdebenito,0.7775203379887955
George Harris,Paulo Iglesias,0.7746795371179089
"Daniel Muñoz ""El Carmelo""",Jorge Romero,0.7692291068679035
Jenny Cavallo,Natalia Valdebenito,0.7556988412623165
Gloria Benavides,Jappening con ja,0.7415986624737221
Bombo Fica,Felipe Avello,0.7413842672001574
Gilberto Gless,Julio Sabala,0.7384563608235855
Pedro Ruminot,Álvaro Salas,0.7366000209114286
Millenium Show,Ruperto,0.7353097507273015
Jani Dueñas,Jenny Cavallo,0.7182730791329972
"Daniel Muñoz ""El Carmelo""",Los Acetatos,0.7074186628439931
Carlos García,Profesor Salomón y Tutu-Tutu,0.7063104865258104
Dino Gordillo,Sandy,0.7054191801665366
Jappening con ja,Piña Colada,0.7034199974666511
Carlos García,"Daniel Muñoz ""El Carmelo""",0.7017501994967801
Felo,Julio Sabala,0.6980569134078661
Pamela Leiva,Stefan Kramer,0.6903115221733858
Felo,Profesor Salomón y Tutu-Tutu,0.683748625585374
Carlos García,Payahop,0.6811254688623026
"Daniel Muñoz ""El Carmelo""",Rudy Rey,0.6803078172598033
Pedro Ruminot,Sergio Freire,0.6802458504157597
Hermógenes Conache,Álvaro Salas,0.679633850838964
Los Atletas de la Risa,Paulo Iglesias,0.678742360710223
Carlos García,Edmundo Arrocet,0.6769294236637796
Alison Mandel,Memo Bunke y Natalia Cuevas,0.674068229271016
Carlos García,Felo,0.673201823603568
Álvaro Salas,Óscar Gangas,0.672628894307786
Carlos García,Julio Sabala,0.6716815419350645
Belén Mora,"Daniela ""Chiqui"" Aguayo",0.6707092687373033
Melón y Melame,Millenium Show,0.6706864726288054
Gilberto Gless,Los Acetatos,0.6704222685321051
Arturo Ruiz-Tagle,Dinamita Show,0.6700237572190726
Coco Legrand,Juan Pablo López,0.6676839677340205
Gloria Benavides,Hugo Varela,0.6663838060151435
Jorge Romero,Rudy Rey,0.6654491027454161
Alison Mandel,Jenny Cavallo,0.6653693152161899
Paulo Iglesias,Rodrigo Villegas,0.6643682182153914
"Daniel Muñoz ""El Carmelo""",Felo,0.6629219037628346
Huaso Filomeno,Luis Slimming,0.6627770216867133
