show,x,y,n_segments
Alejandra Azcárate,-0.12313549780758411,0.026677568820017917,32
Alex Ortiz,-0.10441177106954473,-0.0612775945905233,44
Alison Mandel,-0.08861753070944776,0.10829272268927409,87
Arturo Ruiz-Tagle,-0.04628911505800484,-0.013421343312808564,64
Bastián Paz,-0.06635622625609477,-0.03507779711505847,36
Belén Mora,-0.10413236391540975,0.035021727087949546,59
Bombo Fica,-0.07997884748488945,-0.0026782068170419387,133
"Carlos ""El Mono"" Sánchez",-0.08172624386433686,-0.008664195548957093,40
Carlos García,0.18710540045369836,0.005717025616191203,72
Centella,-0.0985391182968905,0.0386411048945341,30
Coco Legrand,-0.12162646053568103,-0.019575854904032283,155
"Daniel Muñoz ""El Carmelo""",0.4332387095745996,-0.07777304261828837,30
"Daniela ""Chiqui"" Aguayo",-0.10268434082308316,0.016832281455456836,109
Diego Urrutia,-0.002900086609266791,-0.062236868164747064,42
Dinamita Show,-0.06027014229737707,-0.012400769928147815,188
Dino Gordillo,-0.08863280846618572,-0.03166193975799014,130
Edmundo Arrocet,0.2190384647941242,0.22222259821520426,33
Edo Caroe,-0.11040985085731676,0.013601116873023103,131
El Pampero,-0.019633340790582335,-0.09090991026733468,22
Ernesto Belloni,-0.060933721114466044,0.015966295602885792,36
Fabrizio Copano,-0.0008263832685578623,-0.0711590264576565,87
Felipe Avello,-0.06106283097428299,-0.05675347794801152,40
Felo,0.18958525556341882,0.016256126591878108,29
Fusión Humor,-0.051866076724848165,-0.028292104044049245,44
George Harris,-0.03852710535577939,0.034648493812474965,43
Gigi Martin,0.016803339824338428,0.12269852434793273,26
Gilberto Gless,0.279390637819289,0.46321844575348803,24
Gloria Benavides,0.10597185978727497,0.11147589611905637,112
Hermógenes Conache,-0.11772581203513825,-0.019937283334685696,61
Huaso Filomeno,-0.09791697903163618,-0.06353266711255871,36
Hugo Goodman,0.038139353262450444,0.22799771957647144,18
Hugo Varela,0.07938768974377784,0.0038666544988324703,70
Jani Dueñas,0.03304923248126702,0.024199170831347646,22
Jappening con ja,0.05911410912604553,-0.025508987336748123,24
Javiera Contador,-0.052334966035815236,0.041812567435526714,92
Jenny Cavallo,-0.11058214078897799,0.06351199092799706,55
"Jorge ""Chino"" Navarrete",-0.07940502690600165,-0.017749372246960545,36
Jorge Alís,-0.1089090992331595,-0.03527748308267604,64
Jorge Romero,0.41887827815067813,-0.21230098941473027,15
"Juan Luis ""Jajá"" Calderón",-0.1291748696076599,-0.05886003518248849,46
Juan Pablo López,-0.1260481344622918,-0.03658316302610345,126
Julio Sabala,0.283446526062533,0.19868712879315573,41
León Murillo,-0.10978993406304428,-0.038090129196274344,42
Los Acetatos,0.20785262404335622,0.13504704239982396,21
Los Atletas de la Risa,-0.11885310922720546,-0.032239816039728066,32
Los Indolatinos,-0.020252861564577014,0.020897305195677396,68
Los Locos del Humor,-0.07397996565701494,-0.056971954192828286,86
Lucho Miranda,-0.12145136879396236,-0.00850369419010582,42
Lucho Navarro,0.16720777529616826,-0.12871019260262254,16
Luis Slimming,-0.10804710934933877,-0.06154481616052335,39
Mauricio Palma,-0.06373242980228677,-0.05962562674315927,58
Melón y Melame,-0.027945458320895948,-0.025419005418081224,69
Memo Bunke,-0.0020573615234379017,0.017584014975727407,27
Memo Bunke y Natalia Cuevas,0.1482824145835876,0.12724955879597566,34
Millenium Show,0.057227171855431566,-0.08435374664248887,27
Nancho Parra,-0.05830058536021734,-0.056466919690511944,41
Natalia Cuevas,0.07286923453753663,0.3020399270611069,38
Natalia Valdebenito,-0.10607931814436536,0.09178549780730626,43
Palta Meléndez,-0.08688446388985764,-0.04265176363257241,138
Pamela Leiva,-0.0712632294923106,0.08547336852898146,56
"Paul Vásquez ""El Flaco""",-0.09098602166573891,-0.026021133674147236,65
Paulo Iglesias,-0.08624172674715813,-0.049500936459302876,59
Payahop,0.14613617987443006,-0.08119764453417609,35
Pedro Ruminot,-0.06729000834275672,-0.03296479281799672,175
Piña Colada,0.04884458278270577,0.02697739581627401,22
Profesor Salomón y Tutu-Tutu,0.6213314417434767,-0.26080884255304987,17
Pujillay,0.0038674712206942094,-0.06819871928197659,29
Ricardo Meruane,-0.09949596413459542,0.021303500340356114,51
Rodrigo González,-0.11357707566899536,-0.0010831966182611535,45
Rodrigo Villegas,0.03289872195046871,-0.07025467812318015,74
Rudy Rey,0.3026998984207685,-0.14855069610548463,26
Ruperto,0.12872729423082313,-0.10346572991844963,46
Sandy,-0.02437475943330184,-0.014336881558817223,83
Sergio Freire,-0.09457153633927057,-0.05415023352910562,41
Stefan Kramer,-0.04850730939651378,0.03553107368362929,106
Zip-Zup,-0.12379734983955125,-0.04797762206738762,28
Álvaro Salas,-0.09909113894922572,-0.029154702110719067,65
Óscar Gangas,-0.12986669109700938,-0.03135825847500675,36
