decade,rank,topic_final,topic_label,prevalence_pct
1970,1,8,T8 anthony amas your,25.235023616127883
1970,2,1,T1 canción almas cantar,19.504910205867745
1970,3,2,T2 chiste programa hoy,10.267608448203767
1970,4,12,T12 perro perrito selva,7.654293593874458
1970,5,9,T9 auto dijo dijo,6.923420386738328
1970,6,21,T21 buenas noches noches,5.330357988539245
1970,7,10,T10 maestro hora hora,4.620562870351858
1970,8,19,T19 través mar viña,3.896467506073043
1970,9,14,T14 ho ho ho,3.602904588925818
1970,10,5,T5 colegio niños papá,2.923049799395099
1980,1,9,T9 auto dijo dijo,19.315538103397323
1980,2,7,T7 vieja suegra abuela,14.869396278984764
1980,3,13,T13 ay ay salta,12.818768237827797
1980,4,14,T14 ho ho ho,12.498965562373877
1980,5,19,T19 través mar viña,9.698618122480886
1980,6,12,T12 perro perrito selva,8.923882823687974
1980,7,1,T1 canción almas cantar,7.094300845888928
1980,8,29,T29 reggaeton calmado dale,6.038721687460537
1980,9,4,T4 chileno chile argentino,3.7189238028422116
1980,10,2,T2 chiste programa hoy,1.4574686551257279
1990,1,13,T13 ay ay salta,10.499080988502138
1990,2,4,T4 chileno chile argentino,8.832702961669728
1990,3,8,T8 anthony amas your,6.795676970046127
1990,4,12,T12 perro perrito selva,6.65038568865343
1990,5,1,T1 canción almas cantar,5.998762270117647
1990,6,9,T9 auto dijo dijo,5.794066630961882
1990,7,10,T10 maestro hora hora,5.3885209867631945
1990,8,19,T19 través mar viña,5.086590336472589
1990,9,21,T21 buenas noches noches,4.791342257719763
1990,10,7,T7 vieja suegra abuela,4.609464892411497
2000,1,1,T1 canción almas cantar,9.86434476401398
2000,2,10,T10 maestro hora hora,8.137277339204394
2000,3,7,T7 vieja suegra abuela,7.229860097573492
2000,4,12,T12 perro perrito selva,6.85040539337168
2000,5,13,T13 ay ay salta,6.398571571490693
2000,6,8,T8 anthony amas your,6.136233726016841
2000,7,15,T15 hombres mujeres mujer,5.73316682663924
2000,8,2,T2 chiste programa hoy,5.243654250901745
2000,9,9,T9 auto dijo dijo,4.751172933847007
2000,10,18,T18 doctor farmacia examen,4.218088495415928
2010,1,7,T7 vieja suegra abuela,8.28059845473407
2010,2,0,T0 presidente país huevón,7.817131559051614
2010,3,15,T15 hombres mujeres mujer,6.331179048539311
2010,4,2,T2 chiste programa hoy,5.640007287824038
2010,5,18,T18 doctor farmacia examen,5.601481139991552
2010,6,4,T4 chileno chile argentino,5.023656512065263
2010,7,27,T27 soltera bebé arturo,4.58295832624258
2010,8,23,T23 amante marido mujer,4.545247747766199
2010,9,16,T16 comida comer dieta,4.277960806464914
2010,10,29,T29 reggaeton calmado dale,3.846725507479441
2020,1,11,T11 hijos mamá papá,10.944275392386027
2020,2,2,T2 chiste programa hoy,10.363131670127682
2020,3,5,T5 colegio niños papá,10.02458021559666
2020,4,0,T0 presidente país huevón,6.329387555679268
2020,5,4,T4 chileno chile argentino,6.14913080310337
2020,6,16,T16 comida comer dieta,6.05808151841059
2020,7,1,T1 canción almas cantar,4.732044895368466
2020,8,7,T7 vieja suegra abuela,4.635130697940647
2020,9,9,T9 auto dijo dijo,4.298072156486518
2020,10,19,T19 través mar viña,4.1815510868690104
