rank,1970,1980,1990,2000,2010,2020
1,#1 T8 anthony amas your (25.2%),#1 T9 auto dijo dijo (19.3%),#1 T13 ay ay salta (10.5%),#1 T1 canción almas cantar (9.9%),#1 T7 vieja suegra abuela (8.3%),#1 T11 hijos mamá papá (10.9%)
2,#2 T1 canción almas cantar (19.5%),#2 T7 vieja suegra abuela (14.9%),#2 T4 chileno chile argentino (8.8%),#2 T10 maestro hora hora (8.1%),#2 T0 presidente país huevón (7.8%),#2 T2 chiste programa hoy (10.4%)
3,#3 T2 chiste programa hoy (10.3%),#3 T13 ay ay salta (12.8%),#3 T8 anthony amas your (6.8%),#3 T7 vieja suegra abuela (7.2%),#3 T15 hombres mujeres mujer (6.3%),#3 T5 colegio niños papá (10.0%)
4,#4 T12 perro perrito selva (7.7%),#4 T14 ho ho ho (12.5%),#4 T12 perro perrito selva (6.7%),#4 T12 perro perrito selva (6.9%),#4 T2 chiste programa hoy (5.6%),#4 T0 presidente país huevón (6.3%)
5,#5 T9 auto dijo dijo (6.9%),#5 T19 través mar viña (9.7%),#5 T1 canción almas cantar (6.0%),#5 T13 ay ay salta (6.4%),#5 T18 doctor farmacia examen (5.6%),#5 T4 chileno chile argentino (6.1%)
6,#6 T21 buenas noches noches (5.3%),#6 T12 perro perrito selva (8.9%),#6 T9 auto dijo dijo (5.8%),#6 T8 anthony amas your (6.1%),#6 T4 chileno chile argentino (5.0%),#6 T16 comida comer dieta (6.1%)
7,#7 T10 maestro hora hora (4.6%),#7 T1 canción almas cantar (7.1%),#7 T10 maestro hora hora (5.4%),#7 T15 hombres mujeres mujer (5.7%),#7 T27 soltera bebé arturo (4.6%),#7 T1 canción almas cantar (4.7%)
8,#8 T19 través mar viña (3.9%),#8 T29 reggaeton calmado dale (6.0%),#8 T19 través mar viña (5.1%),#8 T2 chiste programa hoy (5.2%),#8 T23 amante marido mujer (4.5%),#8 T7 vieja suegra abuela (4.6%)
9,#9 T14 ho ho ho (3.6%),#9 T4 chileno chile argentino (3.7%),#9 T21 buenas noches noches (4.8%),#9 T9 auto dijo dijo (4.8%),#9 T16 comida comer dieta (4.3%),#9 T9 auto dijo dijo (4.3%)
10,#10 T5 colegio niños papá (2.9%),#10 T2 chiste programa hoy (1.5%),#10 T7 vieja suegra abuela (4.6%),#10 T18 doctor farmacia examen (4.2%),#10 T29 reggaeton calmado dale (3.8%),#10 T19 través mar viña (4.2%)
