show,Alejandra Azcárate,Alex Ortiz,Alison Mandel,Arturo Ruiz-Tagle,Bastián Paz,Belén Mora,Bombo Fica,"Carlos ""El Mono"" Sánchez",Carlos García,Carlos Helo,Centella,Coco Legrand,"Daniel Muñoz ""El Carmelo""","Daniela ""Chiqui"" Aguayo",Diego Urrutia,Dinamita Show,Dino Gordillo,Edmundo Arrocet,Edo Caroe,El Huaso Clavel,El Pampero,Ernesto Belloni,Fabrizio Copano,Felipe Avello,Felo,Fusión Humor,George Harris,Gigi Martin,Gloria Benavides,Hermógenes Conache,Huaso Filomeno,Hugo Goodman,Hugo Varela,Jani Dueñas,Javiera Contador,Jenny Cavallo,"Jorge ""Chino"" Navarrete",Jorge Alís,"Juan Luis ""Jajá"" Calderón",Juan Pablo López,Julio Sabala,León Murillo,Los Atletas de la Risa,Los Indolatinos,Los Locos del Humor,Lucho Miranda,Lucho Navarro,Luis Slimming,Mauricio Palma,Melón y Melame,Memo Bunke,Memo Bunke y Natalia Cuevas,Millenium Show,Natalia Cuevas,Natalia Valdebenito,Palta Meléndez,Pam Pam,Pamela Leiva,Pancho del Sur,"Paul Vásquez ""El Flaco""",Paulo Iglesias,Payahop,Pedro Ruminot,Profesor Salomón y Tutu-Tutu,Pujillay,Ricardo Meruane,Rodrigo González,Rodrigo Villegas,Rudy Rey,Ruperto,Sandy,Sarah Sanders,Sergio Freire,Stefan Kramer,Zip-Zup,Álvaro Salas,Óscar Gangas
Alejandra Azcárate,1.0,0.14382226111218305,0.6035771487305891,0.2785774997788217,0.13138604927889885,0.5677864443720911,0.12371621913687095,0.45368675645844614,0.07044898263254747,0.09022192140993034,0.34294647684261415,0.5528378317867871,0.05012661733583847,0.6767354098778553,0.2906512167387293,0.13111458396989994,0.29625583496105357,0.007333000439580722,0.4257947396774833,0.21925928918209497,0.04007502039736841,0.3437730770334844,0.3265905540436219,0.050845164390001765,0.20069736473480032,0.030710078969645026,0.018965010797903494,0.18500225449322735,0.04815690298528888,0.21185883882590775,0.3695566071600877,0.014519626418456576,0.3093546095690676,0.5788934940688758,0.3087948576320374,0.8341140900792201,0.22231949288597802,0.3109197414621802,0.29074752703833456,0.17799239025156283,0.017062979918272422,0.32688151940361704,0.08639565295173823,0.2731430236788227,0.31599608834549114,0.24448105463440903,0.3275725420090289,0.27635853955083234,0.11277349362474906,0.07739502248633418,0.11635289335050679,0.17168011339492387,0.039145652145225474,0.039165749481303164,0.4527103428205103,0.2876945582052647,0.22914055274461853,0.08397116688409317,0.03652679709912218,0.42154510493165565,0.34267714888326806,0.12423162733126998,0.1579307850682879,0.008342904859057683,0.051897460879611085,0.022891070534378388,0.2666156248726398,0.13572506604711795,0.05921593499111577,0.10148993715643002,0.24358042612621397,0.5109552431048374,0.20110945453040066,0.24621540236783768,0.4336657890713653,0.27532237844638396,0.05795826871057405
Alex Ortiz,0.14382226111218305,1.0,0.09746741831743745,0.2671426668219739,0.03841808619236238,0.21094343392664272,0.1329644858526284,0.17315394615787608,0.10961920401936003,0.0469309353891788,0.36126357563159284,0.2922013279352383,0.11119612221949202,0.16500467752191225,0.18144671761932132,0.050728695780763194,0.21765718712497015,0.018181344227004164,0.18915351745005268,0.07308593331201957,0.048327469342129795,0.033808999873298176,0.4329117317477894,0.07489570967614718,0.07838457613849102,0.3047463517407765,0.011644904623890779,0.020071597711382234,0.07816092175746567,0.06702194495398084,0.5680189566022754,0.009070421263734503,0.2663937614425792,0.13521058127586186,0.0370661645438754,0.0941382150060138,0.053428866720242586,0.14556112055545464,0.30450672073190516,0.6054881877592064,0.08165203588199366,0.009255309848011114,0.18560375962311906,0.15207811192801637,0.41129757622152835,0.16715203980013038,0.007120207127737504,0.7107143263969601,0.1651595502351169,0.4947157935553589,0.1640850525337007,0.1965287088345456,0.018616952693238535,0.008902816191947384,0.24642936619938735,0.18965940557456085,0.20912352662004627,0.032042042444540605,0.0806646077512124,0.19330559841272088,0.10339152564040376,0.20862013810318009,0.11774226937998057,0.027251059527650594,0.12584366704378708,0.3127790609187729,0.47460437234288166,0.3072754470392406,0.10969149794048708,0.038585225967856296,0.09581850722007762,0.04969190906735966,0.15294940969392276,0.16753655947884658,0.17777744442618765,0.23461986192457499,0.014433059714060352
Alison Mandel,0.6035771487305891,0.09746741831743745,0.9999999999999999,0.26096633750098613,0.10194080789573816,0.454667110103772,0.13141021415663995,0.3594129808975763,0.3222779334914328,0.056639456506951305,0.17071913832060423,0.34846638521544837,0.06919319325839376,0.5926364556488809,0.25672800918078825,0.29815214278941804,0.40499211520768824,0.032971424512072724,0.36306679569815664,0.19681382007303302,0.029228385744103053,0.2956894931261639,0.21407895325966184,0.24127299179014816,0.07622650824351222,0.09188713356636805,0.010217534071907735,0.30879223842398856,0.12203690832004073,0.31545495145107527,0.25077351044220547,0.19727720009846095,0.23864525028134714,0.39959974874556137,0.40334958665180826,0.4967986542320905,0.2731667673339045,0.25975911392411033,0.256276178769322,0.164470621887488,0.004890776151778303,0.2815810579196497,0.18135348570461948,0.38617479256641146,0.4202821525769543,0.3090399843340578,0.27882069243562324,0.2529198636680491,0.11078303169970675,0.15136700448975723,0.33853351392973297,0.10295472240099728,0.00539737505054532,0.18380272535951717,0.6065507313533495,0.16787208559736175,0.6504658462274929,0.34542128170604347,0.08299924572748421,0.26358676598125474,0.3800948697482958,0.13407308581998892,0.22123785110518374,0.04896643619087235,0.20592645441320367,0.02625936713404504,0.27742185959999766,0.18493595629544113,0.031883227743412894,0.18188152480726086,0.23712874565496697,0.3931591044695909,0.21901238687164398,0.14268294961124023,0.5784719344032797,0.2951569580157987,0.11359419730444616
Arturo Ruiz-Tagle,0.2785774997788217,0.2671426668219739,0.26096633750098613,1.0000000000000002,0.38861474013805325,0.2827393323071463,0.5166291180439258,0.4870634821866406,0.12060345340638051,0.3058406544790997,0.3109914903614012,0.5090073052199277,0.25779474659950286,0.2861648617183152,0.4943252076169747,0.5120285022665026,0.42340326566010883,0.07758198456414536,0.38409529075217697,0.12325131863391801,0.3054639129752735,0.28360021937653296,0.5214931286437601,0.37044448153905973,0.18474790667379304,0.37914731351060377,0.0252389779213765,0.38613633072317416,0.6064958606782138,0.3085979612635532,0.3949764570967204,0.27323139740547225,0.4726233820587416,0.456081377422919,0.349199899339643,0.15358936947213658,0.520853463565844,0.6125558656152545,0.2841702291056748,0.5391583726303318,0.20825852912933343,0.305803491318981,0.25144749331637345,0.2839995912502752,0.5058686465741395,0.2707273293203819,0.18650482504332347,0.36679348746289736,0.33137903900575627,0.4438543360473145,0.2820745916113263,0.3432119876315618,0.2225915047729582,0.2608667099745679,0.26798956585833994,0.5392816445424385,0.1820086240385167,0.40477332106468994,0.2635680471339449,0.3872336376400755,0.19554626915783707,0.43686816115564714,0.5611415052204768,0.053537381017343864,0.39104920163775353,0.32278623028075126,0.5224121749452171,0.3540509049525075,0.0965639331910698,0.401906214700763,0.35440612112651815,0.301899605586938,0.34441834693735623,0.5747981216243085,0.3793069937982076,0.5546782993442805,0.44152307292043785
Bastián Paz,0.13138604927889885,0.03841808619236238,0.10194080789573816,0.38861474013805325,0.9999999999999999,0.4290367659313267,0.06296790193615014,0.07181027164641324,0.01837119344771845,0.1290660437702407,0.1014728307521978,0.2810224091727072,0.20738227289018146,0.1151593275434086,0.027845177067852243,0.4806639820985195,0.12023076519574004,0.0007681417877488836,0.07602784970364071,0.02033814915202218,0.10553283413203078,0.013430213542877056,0.08019505273671337,0.06280039406278477,0.10969155738497563,0.6908393471058227,0.003048773339855425,0.3155939483977177,0.44993814575445884,0.07990939987852162,0.02671621221728802,0.020048806231568763,0.34481022215266405,0.6473294911543592,0.052396096126705836,0.1103543544354075,0.3403521891553666,0.10669789187267961,0.18199784422015394,0.09044093243429323,0.0027848950689544037,0.2016316225369891,0.12984571674675555,0.08957910619270727,0.13786436349540898,0.07524067812536021,0.19005648405723147,0.043567195414174816,0.07727216207183317,0.32143787650467764,0.02038662780841598,0.12807403103852918,0.028417287579148486,0.0464726805313851,0.05937125430917579,0.2655393198757279,0.04858827220819889,0.07714270352015437,0.31464403372343974,0.13603876247417557,0.0530116897250245,0.17373856371413804,0.04196490248876467,0.013426569517020152,0.01884374468243836,0.1279441523344154,0.08952084447772282,0.12920234587622745,0.0014496160936603411,0.8358666173500717,0.14224252171697185,0.06581603431698116,0.26222712441101537,0.6044036713981364,0.04639177385707439,0.34301516582871444,0.07601604969433196
Belén Mora,0.5677864443720911,0.21094343392664272,0.454667110103772,0.2827393323071463,0.4290367659313267,1.0,0.058757626905575754,0.021668542907664044,0.03547898054256648,0.09794743719055823,0.084523888158931,0.1915530945246406,0.1052424631511798,0.4404610129066722,0.031172037240126765,0.1904540300638998,0.169315844838668,0.013575929283618579,0.4093868422097878,0.016891710527149727,0.0519975713521393,0.21372817978123146,0.1767783093373123,0.2348848954656064,0.06810030412775538,0.33523394746300034,0.03168269532465318,0.15480253560626528,0.17767003544315785,0.06596104836262824,0.14371842746610627,0.10961940704557614,0.11279515459160694,0.4185557228506407,0.4339866792361149,0.738477346030144,0.2836934168372908,0.04239519098624132,0.2659048262169137,0.22760637762557445,0.015319988562986343,0.10075011497158247,0.09291411593297233,0.06506929229725952,0.11448917271936805,0.5595322078184187,0.1382222434948618,0.29263153178577345,0.061923034823704134,0.11198838942061164,0.1132510602010768,0.0647147160849918,0.0019004530878009033,0.21170103765662893,0.09635997966250076,0.14512465734418328,0.21101904262030183,0.35551121851815287,0.10054252356029685,0.024034542172590177,0.14127706358001874,0.04216709076773244,0.1543082867394372,0.013398685283524793,0.06310757551873157,0.11411739073648511,0.19982959982908635,0.032313251911312235,0.03252155971928342,0.3291908295587326,0.11935670469778097,0.5023047838509577,0.16715884217920715,0.26278572318569493,0.09924469123403765,0.17997898406914892,0.02486566771481881
Bombo Fica,0.12371621913687095,0.1329644858526284,0.13141021415663995,0.5166291180439258,0.06296790193615014,0.058757626905575754,1.0,0.2028636289873048,0.18679972109417872,0.8494992113530876,0.17938735883629708,0.18638548816581024,0.0397550433583362,0.09443874423894316,0.37538523981826044,0.18763760851922828,0.2608666212141401,0.04240544244736443,0.38626916446926046,0.0792114570908896,0.13950338106994184,0.3422644247205819,0.22797202936347108,0.1966284861171689,0.2481485368576758,0.1142875048243717,0.021303785133945704,0.17827505970306656,0.3420474932387185,0.37419668404907913,0.15496969368048996,0.08807885594208718,0.13778553605247174,0.16104113953100904,0.08587971474977119,0.06381403635355537,0.398246065301236,0.6344218284139806,0.2694229721968642,0.5699524748567173,0.15215182134910293,0.14449418348967596,0.21503137291156854,0.31765137203721067,0.2588645438789964,0.09892063703246268,0.05258946270188085,0.21845662597676982,0.3112338882609288,0.13710797741384428,0.08535826535764114,0.0544039926087279,0.16606379571530738,0.2825359723418502,0.16385367918652313,0.26182797884712916,0.13572111001406112,0.2405986045279568,0.2206861628843977,0.18483128676242855,0.18277710951916074,0.09569784279754182,0.377395453388015,0.03795755691934911,0.5087893271598718,0.35789758514840647,0.3425416234191679,0.11409992953347768,0.1801391832760733,0.06432360981444295,0.11822480045375414,0.1263819711207725,0.3221200795774634,0.2407665346324135,0.1425639092352728,0.238190491313436,0.37025760678111186
"Carlos ""El Mono"" Sánchez",0.45368675645844614,0.17315394615787608,0.3594129808975763,0.4870634821866406,0.07181027164641324,0.021668542907664044,0.2028636289873048,1.0,0.26930611140108235,0.09578672686768169,0.24737918660055194,0.6047020188396616,0.036284163139510064,0.32790055703281634,0.3154456890764095,0.27647482157347875,0.3187520418061756,0.03872972861391701,0.24417504145060442,0.24429085883211774,0.27332778007323316,0.18903804013049424,0.3827598037799608,0.12643743662713816,0.14635023537639957,0.031044111205821488,0.019171847517284228,0.4087831272085065,0.1582625740580684,0.32711394830954915,0.48904817927875094,0.026354133871282284,0.5190575338575205,0.4042023600521734,0.23005772731045698,0.2016399038326773,0.13860440124144113,0.2760834331053528,0.4889691299048066,0.20941613660658978,0.006047954608222821,0.3436761246668961,0.12259343244898158,0.3308861017957044,0.36476627452713345,0.02869619870343103,0.24797181657639247,0.2143814948697796,0.07343299600578676,0.2171808716793993,0.16565956528848444,0.2114926281745961,0.01603142544555458,0.07871533611632998,0.5575862359393355,0.2537811769904882,0.251717504962123,0.1109428516958233,0.010049758524462174,0.40432313147322424,0.299617531548126,0.16022727039864423,0.21256866730539675,0.009915650402131321,0.2702032120096393,0.08007018382675057,0.19890016705764918,0.16628223153483343,0.042736768333653447,0.03639561042715569,0.3972690303680273,0.10964955941031747,0.1826021803279283,0.2774150992869276,0.5705534418803245,0.35959304657799274,0.06348115139918041
Carlos García,0.07044898263254747,0.10961920401936003,0.3222779334914328,0.12060345340638051,0.01837119344771845,0.03547898054256648,0.18679972109417872,0.26930611140108235,1.0,0.012502589455153236,0.20290214895868885,0.22538254546582434,0.1619615458289964,0.1408659794851407,0.4199200499810192,0.2756111671602709,0.32313041056149483,0.3125161627310976,0.4308994117971599,0.3095364389123862,0.39968513212686857,0.3329507710180831,0.29789306635999974,0.0995499276643541,0.5452559726888914,0.2731585153354833,0.010390531641827613,0.13774026659039074,0.18422986613378856,0.48430095874701257,0.22200534527233468,0.10591080687771014,0.20949743594411577,0.15112408820051304,0.14979745169438233,0.08475796759035656,0.2290550261293018,0.2095699667236816,0.3395167610648951,0.12583837134522033,0.5323836761544991,0.26136777036564796,0.26534725783442775,0.3277722436385614,0.42433171544937953,0.10558292865823556,0.05852579819616034,0.16444047343788204,0.6019998272054976,0.26439658910943803,0.37851168370144944,0.2683072422240249,0.07212740718259475,0.38097221831264616,0.2594240395548773,0.17552076561160357,0.3271288168291065,0.12000167815071375,0.35853908443802734,0.12236066591207426,0.33492864097738356,0.36177780909372137,0.2514451721968251,0.425410023598318,0.4347159789127478,0.20251264559740834,0.28817524749883966,0.34679337617190853,0.5966032470342981,0.14387049481656955,0.5380143753309989,0.0656584702626781,0.24912275986699878,0.27730683499987524,0.1835240201968808,0.43700838003826376,0.3391138263348893
Carlos Helo,0.09022192140993034,0.0469309353891788,0.056639456506951305,0.3058406544790997,0.1290660437702407,0.09794743719055823,0.8494992113530876,0.09578672686768169,0.012502589455153236,0.9999999999999999,0.09284447688630804,0.11507730074508125,0.03251884952010141,0.08368398923742441,0.014635157884829907,0.11278351096448083,0.1428138068863269,0.07139971622767165,0.2571565489184181,0.07360187311189738,0.02498435013826422,0.2736796361172782,0.0882425071192179,0.09766153088062868,0.05688701872890474,0.07314645815273689,0.07292612051287607,0.03421590928190431,0.20015804088446407,0.10691051626772938,0.04573591259634856,0.08465926242572598,0.036418336504526125,0.1829262654892996,0.04073159148067264,0.0726838871517985,0.3315444764312591,0.34569464067640826,0.192295041257185,0.511211340240435,0.0018927355212593807,0.14350854072654906,0.046986526008290994,0.11470745368782277,0.018947460621742716,0.07278773004481137,0.11395531981059406,0.05662109190216457,0.1870446597678299,0.030955624117890147,0.07483759713218341,0.013413983879699706,0.008704171212486055,0.051481849683199174,0.07831662077986375,0.19391347193858258,0.0793535926981889,0.16624447965045394,0.022110073597964644,0.08970273871948467,0.06466865417755661,0.007663074340824655,0.06496072986880246,0.014456762769453298,0.3488477831433864,0.33713446975264916,0.04183563894084859,0.02319117723107021,0.0007001593112001077,0.10035511387999946,0.05091573185090995,0.03162271290770968,0.2915150750551076,0.09079112801338518,0.038993182900518536,0.1320232657617017,0.14260698952855133
