show,x,y,n_segments
Alejandra Azcárate,-0.13055483638438317,-0.10773388673889639,46
Alex Ortiz,-0.03830279757634208,-0.03663489201109243,30
Alison Mandel,-0.09725820982600976,-0.0698136112729548,63
Arturo Ruiz-Tagle,-0.023427685966759593,-0.043417131499060346,85
Bastián Paz,-0.03470383888632954,-0.14355483897090648,28
Belén Mora,-0.11440812343900364,-0.11839961038978217,42
Bombo Fica,-0.016803821874833955,0.0001785360676290166,89
"Carlos ""El Mono"" Sánchez",-0.08199150702365164,-0.05303756364331514,55
Carlos García,0.1053818715887006,0.05191519170293192,24
Carlos Helo,-0.11299873084341994,0.010412265898524878,12
Centella,-0.07840698882572654,-0.05894828043207493,24
Coco Legrand,-0.08960918356963052,-0.05853505001292251,122
"Daniel Muñoz ""El Carmelo""",0.08703330317013495,-0.01764669565245544,26
"Daniela ""Chiqui"" Aguayo",-0.1271164362396981,-0.01177811844230141,102
Diego Urrutia,0.17550981254835268,0.0281277996820455,29
Dinamita Show,-0.002091363122220856,-0.034477130756971,167
Dino Gordillo,-0.06291500617244597,0.008569116628928005,135
Edmundo Arrocet,-0.1376415162880972,0.3974112589646937,13
Edo Caroe,0.03649365859694183,0.0209433212920074,151
El Huaso Clavel,-0.11533930304695617,0.034383738603340624,14
El Pampero,0.005296899249543541,-0.016450792665773647,19
Ernesto Belloni,0.051062452844414054,0.015596626943753317,40
Fabrizio Copano,0.031154546890392414,-0.01398920345121235,108
Felipe Avello,-0.014238130041160016,-0.05074461710365543,37
Felo,0.361966855976223,0.0821001062586599,11
Fusión Humor,0.06828711463201612,-0.03846692211565581,70
George Harris,-0.31034084634341025,0.7945975407595856,17
Gigi Martin,0.04665642466938694,-0.02874610009685337,21
Gloria Benavides,0.045383572741861236,-0.02360429207266099,74
Hermógenes Conache,0.00842599175236194,-0.006421209832131184,77
Huaso Filomeno,0.007418027686533687,-0.034298183233670176,25
Hugo Goodman,0.05563643257076823,-0.018417361837009476,24
Hugo Varela,0.016201615483014742,-0.054702689029423754,30
Jani Dueñas,-0.08256670335171143,-0.11661824639499112,34
Javiera Contador,-0.07527954319457644,-0.06300620229576798,65
Jenny Cavallo,-0.1533447786944091,-0.11894141517471232,44
"Jorge ""Chino"" Navarrete",-0.0036818665442074116,-0.028135101175488886,42
Jorge Alís,-0.02758232441914543,-0.024735724294618,58
"Juan Luis ""Jajá"" Calderón",-0.08922462655286714,-0.012487514443917635,102
Juan Pablo López,-0.08573151260099024,-0.004785990112412069,125
Julio Sabala,0.44169772377562233,0.13338793877995941,18
León Murillo,-0.07877444806399331,-0.049045253550100046,43
Los Atletas de la Risa,-0.08381882572631492,0.04175169186883991,47
Los Indolatinos,-0.061780854160898784,-0.01829631975224597,81
Los Locos del Humor,0.004689079622920935,-0.023351662598333118,100
Lucho Miranda,-0.06884888881854317,-0.09059035029102393,18
Lucho Navarro,-0.10310407053800727,-0.08376115129315562,10
Luis Slimming,-0.044260121192840736,-0.04644089037469746,54
Mauricio Palma,0.13216255263827273,0.13692271322883617,59
Melón y Melame,0.02297651218028652,-0.02930253840209219,55
Memo Bunke,0.11013662462827034,0.015333763144569775,33
Memo Bunke y Natalia Cuevas,0.23299466328435625,0.03666818939855114,11
Millenium Show,0.05377343562931887,-0.031101319455576988,16
Natalia Cuevas,0.22927058163756758,0.01857578349063066,14
Natalia Valdebenito,-0.09956200248883969,0.0036459938117687123,46
Palta Meléndez,-0.04827044854491506,-0.043971593179123865,121
Pam Pam,-0.105273130254625,-0.047105432852223406,28
Pamela Leiva,-0.042358335057003836,-0.08299081609369387,51
Pancho del Sur,0.17011008530557928,0.013837169721315339,21
"Paul Vásquez ""El Flaco""",-0.044336899120130155,-0.06791456291889324,37
Paulo Iglesias,-0.09380200532411932,-0.02426616995322357,90
Payahop,0.14002646256461354,0.013775105791471344,36
Pedro Ruminot,-0.0252611999547691,0.019218135090833928,187
Profesor Salomón y Tutu-Tutu,0.04939058878763835,0.009995216181133757,39
Pujillay,-0.05294046795228047,0.018858724284541047,33
Ricardo Meruane,-0.12255496429349529,0.14745979015140226,50
Rodrigo González,0.05833605194903428,-0.0009132700377534384,53
Rodrigo Villegas,0.08774614968331587,0.0069418435479721196,67
Rudy Rey,0.5032790483611965,0.15205600123111154,18
Ruperto,0.07354491126491242,-0.05441663170380433,29
Sandy,-0.044651201721982066,-0.02380556536254638,88
Sarah Sanders,-0.11816164814486065,-0.06405886450693625,20
Sergio Freire,-0.0013954189938957557,-0.018476922757557482,49
Stefan Kramer,0.04916921382142823,-0.05378092063601821,74
Zip-Zup,-0.11038488522693006,0.05472492410300908,34
Álvaro Salas,-0.006517358889697692,-0.016660596305506363,132
Óscar Gangas,0.00040458976114837134,0.011390720549146437,34
