rank,1970,1980,1990,2000,2010,2020
1,#1 T21 pam pam pam (18.9%),#1 T20 farmacia viagra viejito (19.5%),#1 T25 agua pez pueblo (7.8%),#1 T5 mujeres hombres mujer (8.4%),#1 T4 abuela vieja abuelita (7.5%),#1 T13 almas tele casting (7.3%)
2,#2 T15 fome show oh (13.9%),#2 T21 pam pam pam (19.3%),#2 T31 niño cabro chico (7.0%),#2 T4 abuela vieja abuelita (6.4%),#2 T5 mujeres hombres mujer (6.3%),#2 T1 canción pegado música (7.1%)
3,#3 T1 canción pegado música (7.6%),#3 T4 abuela vieja abuelita (15.2%),#3 T16 cielo pi san (6.3%),#3 T16 cielo pi san (6.2%),#3 T2 chileno chile chilenos (5.0%),#3 T6 hijos guagua hija (7.0%)
4,#4 T26 pesos banco lucas (7.4%),#4 T8 amante mujer marido (9.6%),#4 T2 chileno chile chilenos (6.2%),#4 T1 canción pegado música (5.6%),#4 T3 presidente checho piñera (4.8%),#4 T2 chileno chile chilenos (6.2%)
5,#5 T2 chileno chile chilenos (6.7%),#5 T10 salta salta salta (9.6%),#5 T7 avión auto micro (6.1%),#5 T20 farmacia viagra viejito (5.4%),#5 T8 amante mujer marido (4.1%),#5 T3 presidente checho piñera (5.8%)
6,#6 T28 terremoto noticias ta (6.6%),#6 T16 cielo pi san (9.6%),#6 T21 pam pam pam (5.7%),#6 T0 perro perrito mono (5.1%),#6 T11 jorge cama dormir (4.1%),#6 T23 tac tac tac (5.7%)
7,#7 T13 almas tele casting (6.6%),#7 T1 canción pegado música (7.6%),#7 T18 ciudad temuco emocionante (4.5%),#7 T25 agua pez pueblo (4.5%),#7 T26 pesos banco lucas (4.0%),#7 T4 abuela vieja abuelita (5.3%)
8,#8 T20 farmacia viagra viejito (6.0%),#8 T25 agua pez pueblo (3.2%),#8 T24 plata bolsa crédito (4.4%),#8 T21 pam pam pam (4.3%),#8 T22 doctor médico doctor (3.7%),#8 T19 colegio profe profesor (4.5%)
9,#9 T30 maestro foto llené (6.0%),#9 T26 pesos banco lucas (1.4%),#9 T20 farmacia viagra viejito (3.9%),#9 T15 fome show oh (4.2%),#9 T0 perro perrito mono (3.7%),#9 T27 espejo hermana bonita (4.2%)
10,#10 T0 perro perrito mono (3.7%),#10 T12 marihuana jimmy droga (1.4%),#10 T11 jorge cama dormir (3.7%),#10 T17 celular teléfono momia (3.6%),#10 T29 amiga mira mira (3.6%),#10 T9 comida comió pan (4.0%)
