segment_row_idx,n_topics_above_threshold,probability_mass_above_threshold,top1_topic_id,top1_topic_name,top1_p_topic,top2_topic_id,top2_topic_name,top2_p_topic,show,year,decade,topic_final,topic_name_final,text_preview,topic_prob_gap_top1_top2
104,3,0.3519618618065057,35,Guitarra,0.1398130800521781,12.0,Reggaeton,0.1214686727286182,Hugo Varela,1989,1980,35,Guitarra,"A ver si me agarran como ataque de forlones, dice. ¿Quién tuviera? ¿Quién tuviera la habilidad y la paciencia para interpretar bien un instrumento como este? Yo",0.018344407323559908
3586,3,0.33810819001857373,12,Reggaeton,0.1234817838212237,25.0,Pegados,0.110907411835638,Pedro Ruminot,2020,2020,12,Reggaeton,"No, Alvarito, en los 90 teníamos que cantar canciones y bailar canciones con instrucciones. «Si baila cachete con cachete, pechito con pechito, y ombligo con om",0.012574371985585697
2936,3,0.30693828097013987,31,Coqueteo,0.115853984763975,18.0,Intimidad,0.1067321598797808,Rodrigo Villegas,2017,2010,18,Intimidad,"Y ahora sí nos fuimos a un motel. La tomé en brazos como toda mujer se merece ir a un motel. Pa, le pegó una patada a la puerta, la tiré a la cama, pum, rebotó,",0.009121824884194205
1195,3,0.3231161141815507,35,Guitarra,0.122472299946066,25.0,Pegados,0.1065173142477727,Carlos García,2006,2000,25,Pegados,"Muy bien, vamos a hacer una canción. Para eso voy a pedir que me acompañen con las palmas, porque con este instrumento parezco el Oso Yogi tocando una mandolina",0.015954985698293303
1109,3,0.3048320703137819,35,Guitarra,0.10276187426003,25.0,Pegados,0.1021366832385664,Hugo Varela,2005,2000,12,Reggaeton,"En esta cumbia ustedes van a hacer un coro, pero este coro le tiene que salir igual. No, «ay, qué parecido me salió». No. Tolerancia cero. El coro dice así; a v",0.0006251910214636058
1221,3,0.3812372585621887,12,Reggaeton,0.1982729227475234,29.0,Personajes,0.0992865674016166,Julio Sabala,2006,2000,12,Reggaeton,"Y vamos a hacer una canción hermosa. Esa gota fría Carlos Vives. ¿Dónde me acorde, maestro? Acórdate, moralito, de aquel día que estuviste en y no quisiste hace",0.0989863553459068
822,3,0.29084982473363874,35,Guitarra,0.1002846746463486,25.0,Pegados,0.0975915687630495,Memo Bunke,2000,2000,12,Reggaeton,"Ahora imagínense ustedes cómo sonaría la voz que en twist, me ayudan en el coro. Pedí palma yo. Ya, vamos con la palma. El coro dice: ""Hay una mosca..."", ahora ",0.0026931058832991017
105,3,0.300000420625865,35,Guitarra,0.1102363924305763,12.0,Reggaeton,0.0975583080084563,Hugo Varela,1989,1980,35,Guitarra,"Aparte los que interpretan estos instrumentos a viento, también llamados aerófonos, tienen un problema. Fijate. No pueden... gracias... no pueden cantar mientra",0.012678084422119998
1453,3,0.2953089440345402,12,Reggaeton,0.1182142912802879,25.0,Pegados,0.0940907196876339,Stefan Kramer,2008,2000,12,Reggaeton,"«Quiero presentar a mi ex grupo musical Marciano, por favor. ¿Cómo está, Marciano? A lo largo de todo este viaje aquí está mi instrumento. Chicos, voy a tocar m",0.024123571592654006
814,3,0.2789283706692495,35,Guitarra,0.104270347994712,25.0,Pegados,0.0924971101200044,Memo Bunke,2000,2000,3,Sexos,"Primero lo vamos a hacer con las damas, mujeres recias de la Quinta Región y alrededores. Déjale. Saquen pecho para... No, señorita, guárdelo, guárdelo, guárdel",0.011773237874707604
3325,3,0.26531930280406857,12,Reggaeton,0.0955767426984767,25.0,Pegados,0.0895572251496433,Mauricio Palma,2019,2010,12,Reggaeton,"Misia Lucía. Yo sé que nunca vamos a dejar que usted se nos vaya. Se nos vaya. Se nos vaya. Me prendí. ¿Quiere cantar? De mi proyecto King: «tricycle, tricycle,",0.006019517548833397
2009,3,0.2600503116945995,25,Pegados,0.0881408063757358,12.0,Reggaeton,0.0878871444421004,Rudy Rey,2014,2010,18,Intimidad,"Y en la posición 69: la media vuelta. Posición 69. «Oiga, don Rudy, no se le entiende nada, compadre». Oye, pero si dijiste 69 y con la boca llena no se puede c",0.00025366193363540734
3443,3,0.2603305055581278,25,Pegados,0.0874593992443712,12.0,Reggaeton,0.0870616690794468,Fusión Humor,2020,2020,12,Reggaeton,"Esa es mi voz de tenor. Ay, ¿qué es un tenor? ¿Cómo no sabes lo que es un tenor, Julio? No sé. Un tenor es lo que está al lado de la cuchara, es cuchillito en l",0.0003977301649243925
1311,2,0.42977171857639407,28,Presidencia,0.2176078542338348,0.0,Chilenidad,0.2121638643425593,Álvaro Salas,2007,2000,0,Chilenidad,"Cuando Yo creo que la PEC es buena para cualquier país anfitrión, porque está ahí a nivel mundial en las noticias. Se hizo la PEC en Chile. El mismo día que emp",0.005443989891275508
3757,2,0.47238762617369223,0,Chilenidad,0.2798655506056355,28.0,Presidencia,0.1925220755680567,Fabrizio Copano,2023,2020,0,Chilenidad,"Ahora igual... Hay una cosa que me da un poquito de miedo. Una cosa que, imagínate que Chile se va a una guerra, huevón. Y nosotros tenemos aquí a Winnie de Poo",0.0873434750375788
3984,2,0.40353718276707773,0,Chilenidad,0.220923284364042,28.0,Presidencia,0.1826138984030357,George Harris,2025,2020,0,Chilenidad,"Hablando de las telecomunicaciones. Hablando de las telecomunicaciones. Qué rápido hablan en Chile. Cuño, qué rápido hablan ustedes, Dios mío. Nosotros creemos ",0.038309385961006276
55,2,0.33206709630029907,0,Chilenidad,0.1668294451493834,28.0,Presidencia,0.1652376511509157,Edmundo Arrocet,1978,1970,0,Chilenidad,"Oiga, fíjese que le quería contar yo, le quería contar desde que el otro día estábamos conversando con el Julio, oiga. Estábamos conversando con el Julio Iglesi",0.0015917939984676777
3990,2,0.35184787541449847,0,Chilenidad,0.1939567417584995,28.0,Presidencia,0.157891133655999,George Harris,2025,2020,0,Chilenidad,"Arrecho. No solamente eso. Nosotros en el país nuestro pasa mucho y en el Caribe que la gente te dice: «Nunca, nunca, nunca, ni en la India, si hay un incendio ",0.03606560810250051
3991,2,0.3002033803218473,0,Chilenidad,0.1524149723160955,28.0,Presidencia,0.1477884080057518,George Harris,2025,2020,0,Chilenidad,"Bueno, nosotros si nos llega un sismo, por ejemplo, en la casa o en la oficina, ustedes son una gente organizadita, yo los he visto por las noticias cuando pasa",0.004626564310343695
1585,2,0.3003946789191056,28,Presidencia,0.153528036436616,0.0,Chilenidad,0.1468666424824896,Dino Gordillo,2011,2010,0,Chilenidad,"Después ya pasamos esta cuestión del terremoto, cuando estábamos saliendo a flote, vinieron los mineros. Otro problema, empezamos, gracias a Dios, lo sacaron a ",0.0066613939541264044
4005,2,0.2933596101952885,0,Chilenidad,0.1493329110094685,28.0,Presidencia,0.14402669918582,"Daniela ""Chiqui"" Aguayo",2025,2020,0,Chilenidad,"Entonces, yo digo, de verdad, tenemos que, no sé, yo también he perdido la capacidad de asombro, huevón. Yo el año pasado estaba mirando las noticias y dijeron:",0.005306211823648488
2514,2,0.3076692862628456,0,Chilenidad,0.1640304406315229,28.0,Presidencia,0.1436388456313227,Pedro Ruminot,2016,2010,0,Chilenidad,"Además, tenemos que convivir, muchas gracias. Tenemos que convivir con terremotos, tsunamis, aluviones, huevón, todos los cementerios, todo todo huevón, todos l",0.020391595000200186
3010,2,0.4210993675131685,28,Presidencia,0.2780966016282817,0.0,Chilenidad,0.1430027658848868,Bombo Fica,2018,2010,28,Presidencia,"La verdad es que ya no cree nada lo que sale en la tele, sobre todo cuando aparece el ministro de economía hablando de lo bien que le ha ido a Chile. ... Y apar",0.1350938357433949
805,2,0.3498022784016648,12,Reggaeton,0.2070625766709098,35.0,Guitarra,0.142739701730755,Álvaro Salas,2000,2000,12,Reggaeton,"Me acaba de llegar porque ahora todo es muy rápido, ¿ah? Tengo un email aquí en el bolsillo con algunas de las canciones que llegaron con cuello este año; aquí ",0.06432287494015479
3985,2,0.3012448042453892,28,Presidencia,0.1585319664321771,0.0,Chilenidad,0.1427128378132121,George Harris,2025,2020,0,Chilenidad,"Nosotros no, nosotros no tenemos sismo. Nosotros 1.2, 1.5 y ya empezamos a gritar: «Misericordia». Señor, misericordia. O sea, nosotros no tenemos ningún movimi",0.015819128618965006
4198,2,0.285547944277581,0,Chilenidad,0.1431235577053224,28.0,Presidencia,0.1424243865722586,Pedro Ruminot,2025,2020,0,Chilenidad,"Y en el año 2010 en ese terremoto, en uno de los peores terremotos que nos azotó y que incluso canceló una de las noches el Festival de Viña, hubo un niño que l",0.0006991711330638084
4197,2,0.3353731028624955,0,Chilenidad,0.1933796520083795,28.0,Presidencia,0.141993450854116,Pedro Ruminot,2025,2020,0,Chilenidad,"De verdad, te voy a contar, amiga, el año 2010 y les voy a contar al amigo Bennet también y acá a Rocío, Argentina, amigos del extranjero, que los chilenos somo",0.05138620115426351
