show,Alejandra Azcárate,Alex Ortiz,Alison Mandel,Arturo Ruiz-Tagle,Bastián Paz,Belén Mora,Bombo Fica,"Carlos ""El Mono"" Sánchez",Carlos García,Centella,Coco Legrand,"Daniel Muñoz ""El Carmelo""","Daniela ""Chiqui"" Aguayo",Diego Urrutia,Dinamita Show,Dino Gordillo,Edo Caroe,El Pampero,Ernesto Belloni,Fabrizio Copano,Felipe Avello,Fusión Humor,George Harris,Gigi Martin,Gloria Benavides,Hermógenes Conache,Huaso Filomeno,Hugo Goodman,Hugo Varela,Jani Dueñas,Javiera Contador,Jenny Cavallo,"Jorge ""Chino"" Navarrete",Jorge Alís,"Juan Luis ""Jajá"" Calderón",Juan Pablo López,Julio Sabala,León Murillo,Los Atletas de la Risa,Los Indolatinos,Los Locos del Humor,Lucho Miranda,Luis Slimming,Mauricio Palma,Melón y Melame,Memo Bunke,Millenium Show,Natalia Valdebenito,Palta Meléndez,Pam Pam,Pamela Leiva,Pancho del Sur,"Paul Vásquez ""El Flaco""",Paulo Iglesias,Payahop,Pedro Ruminot,Profesor Salomón y Tutu-Tutu,Pujillay,Ricardo Meruane,Rodrigo González,Rodrigo Villegas,Rudy Rey,Ruperto,Sandy,Sarah Sanders,Sergio Freire,Stefan Kramer,Zip-Zup,Álvaro Salas,Óscar Gangas
Alejandra Azcárate,0.9999999999999998,0.19426896049033068,0.5449719783306447,0.31297288569591386,0.6938483206979672,0.7294109371037527,0.2131225831499351,0.18991393796229994,0.12736293770056548,0.1742584141409243,0.1220027362442691,0.020004121589136416,0.6489370316756133,0.08012311614528017,0.13710420683926874,0.595747378004788,0.2363078006892434,0.0070674894181795645,0.17445329709345359,0.08452959381384441,0.22233807122737795,0.13677561765650642,0.09615960440912875,0.07664123710654755,0.1236977942876896,0.1490374252046083,0.10866678153556844,0.5700508946860947,0.0046282907588065855,0.5115122722889918,0.7925240256277285,0.8515829087948761,0.19321846380157512,0.2292057390018763,0.13260277491397657,0.09688539819859154,0.014718413802574788,0.09585183645536871,0.14640793547964256,0.5580571335886249,0.05279637920115867,0.09530863951251681,0.3804348319670602,0.0407345080212167,0.03663622471468901,0.05445322429039489,0.014215893375873145,0.32063186564771595,0.12527836975415566,0.4166017950759982,0.13696580088441954,0.09487346828417305,0.06368770387197599,0.2801842891330923,0.3702961314732213,0.1170860689634266,0.011811967735055795,0.053082238733314586,0.04222502229396809,0.19338366251768382,0.09603221702113232,0.0058602789223889,0.014572866297919514,0.3426474954473684,0.5807666218138392,0.27144626896888513,0.04579466100823381,0.7234275787868123,0.3202519797163605,0.22875946884262158
Alex Ortiz,0.19426896049033068,0.9999999999999999,0.533193223147954,0.09094768216455149,0.2959287050655223,0.2010296268646267,0.17530827692321588,0.11589648181007696,0.05140239913542507,0.027837556919292347,0.13552781754028556,0.009826905568898838,0.32792193620730864,0.18648391782187584,0.12823229800806357,0.20635779549633426,0.10382838459491177,0.021878322746118346,0.0942412495235364,0.08586199906689276,0.11008806972348491,0.1418837780295215,0.027846644083910566,0.0,0.04812547562261439,0.06455067103616913,0.11460547780797595,0.18341794535875502,0.03984881629136219,0.28946881423587945,0.24459745353072493,0.22707305633540928,0.03784824841674625,0.08978456018087029,0.0789003447012286,0.027770044459830213,0.2059954453954224,0.016389587400357803,0.21783071226880923,0.2830186194295527,0.20179069603993066,0.07191557857739304,0.24117104514117954,0.09554405692757123,0.1920198277714312,0.023501009230099176,0.0,0.021204382703906885,0.06362577965717679,0.5022263515793337,0.4702666261685734,0.013001680912997861,0.23456040654765287,0.3221053885563951,0.10519760794409376,0.08622213192216172,0.00669242391033717,0.03390425113458197,0.018693958701048313,0.213972626242094,0.44719021499982214,0.04228856168964089,0.006877416342616054,0.17342550025054718,0.20256435780985182,0.1406475455285755,0.028633042974912738,0.1347531925503877,0.10053653648456382,0.053395770311637634
Alison Mandel,0.5449719783306447,0.533193223147954,1.0,0.4412717515475538,0.6563092101402458,0.4085308851594188,0.5538093102947054,0.43725586478755357,0.16637731507719122,0.2806690383114134,0.2583326230330404,0.10292375012755363,0.6605898997230112,0.35519939863899463,0.4063100559467229,0.5357373987388532,0.34853585027334394,0.18853099672590146,0.24481864658391914,0.31056400232386255,0.09388327590170338,0.2173821155887218,0.34232496243996713,0.09870676149231311,0.205795312091789,0.4012923047006569,0.3638708347067105,0.4320410109501432,0.03455726793927529,0.6224248720409301,0.5930054291450696,0.4222680392727194,0.2572805381802872,0.4483517156455713,0.18060143748731197,0.2838591852836869,0.18572510216570332,0.2716887629542092,0.07052116508203492,0.455788457872315,0.19133272889613145,0.25968070685930655,0.5603009460850498,0.19396610676065149,0.12924761550030536,0.2427404540002917,0.08793744995569519,0.4853495820463092,0.360859880375943,0.31299350106003904,0.31489629927505597,0.1677851649383719,0.3190727732860635,0.31156062209500873,0.29808034522721527,0.3379865199329661,0.08305130009879332,0.12491048708979585,0.08836923723780213,0.37063977824533506,0.3829377080978995,0.15759668491452525,6.956149102376742e-05,0.24684223739632108,0.3958338718667157,0.4442394253231055,0.09242855077787789,0.4732520622996706,0.4188739493690722,0.4062122560360772
Arturo Ruiz-Tagle,0.31297288569591386,0.09094768216455149,0.4412717515475538,0.9999999999999998,0.5801956239111105,0.31828176121746576,0.6937739692176897,0.5617696181192513,0.21747988382299807,0.5525722773729248,0.4722585852884767,0.19174915665194087,0.47958596722358626,0.5477622256143683,0.5348457480496135,0.7947749786672013,0.8340877943447885,0.6558173682545677,0.26894651837477135,0.8239279024253026,0.23950167120738222,0.4882050170601706,0.7270980658103549,0.19546254895403645,0.4332025637294069,0.7962850996289722,0.3549905354065312,0.6870294596747751,0.21690663934639087,0.5880962694496862,0.6481357179440561,0.2924010001636221,0.5047145382841307,0.7928414142392798,0.5314028349105621,0.7553450600965306,0.4629141553563683,0.5637460489054177,0.10181454486025225,0.4627519643352908,0.4858789624597516,0.24159762504803442,0.8076218280068116,0.6828664488253975,0.32654599785445065,0.2980099387760293,0.318640426563725,0.24277555113382332,0.7050325148764425,0.27483341362759084,0.4397543674680817,0.4872450012104326,0.44649552014030275,0.2882973397694411,0.3920509834551139,0.864458600224566,0.2746851949088605,0.0950596520869088,0.2630818279794047,0.7242645188026479,0.13217700792660086,0.20524912715654597,0.18440415725258544,0.3253078052889488,0.6088032083615272,0.8281011999369557,0.33960948047774253,0.3304819196482191,0.8332636378953862,0.7260576439284243
Bastián Paz,0.6938483206979672,0.2959287050655223,0.6563092101402458,0.5801956239111105,1.0,0.65989257430536,0.5667205092783806,0.41394899355008774,0.15773771543933707,0.3830588653567678,0.3231965253947056,0.17535193641389313,0.5982960399017988,0.2166888123312712,0.3391366860642724,0.7523265967794155,0.47892789162160043,0.2675154140761916,0.09439257067221334,0.35434699607946146,0.1278277122343409,0.17669491148761282,0.39151042081982307,0.12687921876501923,0.18040333708931666,0.46661783473871044,0.263381117022075,0.7312101094815434,0.05804869558729896,0.47848078338760275,0.8233116577066318,0.7346632418010404,0.24090051395265957,0.5531392928091515,0.2768254988912456,0.32732736346014185,0.2893238978294405,0.2506751442681397,0.022408516095389703,0.5433002708685509,0.2638890526374035,0.08016889961342342,0.5819475476932705,0.2992514428937551,0.11518593506870213,0.13210268322039947,0.142186254527284,0.26616451265488517,0.3698669471235413,0.39561370956249486,0.24934018128347407,0.24928141696392447,0.32191797868805666,0.28893839662942067,0.352877786314954,0.4516370052886234,0.13697781799475112,0.03409924998601523,0.10915929074485545,0.37924160414488417,0.19845311189838186,0.259673213435953,0.0422171259868347,0.3701897750043035,0.6947006533575935,0.5330681698219715,0.11555121079251018,0.40083237718815,0.5402698442499637,0.4642258757741692
Belén Mora,0.7294109371037527,0.2010296268646267,0.4085308851594188,0.31828176121746576,0.65989257430536,1.0,0.18138467031372982,0.03706611752204578,0.03597951111818794,0.1323318513301365,0.07695364720359192,0.06425544763748661,0.3953041633417144,0.05195927646359787,0.08546307706420737,0.570009244395686,0.18307778262140548,0.06063936984497371,0.0670064932801752,0.08003706783492545,0.18396042391297762,0.13124893521921224,0.09421635603774298,0.0032417171182969056,0.13762005507333888,0.09459792331345435,0.11938730128740471,0.7690176819227769,0.007640100296951186,0.4496751910292316,0.7197032668194221,0.8210238763927458,0.07560740157616828,0.20732390451903523,0.12559499682612155,0.0714180752196767,0.04306289808019951,0.025045064192050822,0.2512013075822151,0.48837871540074285,0.25861114438278193,0.170783232479938,0.4767160797911427,0.04963805756491294,0.14099910616858277,0.05702521161722465,0.007375033940316211,0.12018737969784464,0.15458940715886368,0.41790784004604237,0.1904091555352097,0.15845433712510784,0.11293408860279465,0.1683375325173284,0.2994462534430928,0.16548544542510749,0.0171555418886749,0.006323179345639443,0.12964408203423344,0.08296854127707153,0.1325197472931939,0.1113687164686559,0.009294863273867682,0.34446691577282273,0.5706804996618969,0.34213879486644927,0.01580861791838466,0.46085324363658153,0.39895390237288636,0.18179810650592362
Bombo Fica,0.2131225831499351,0.17530827692321588,0.5538093102947054,0.6937739692176897,0.5667205092783806,0.18138467031372982,1.0,0.46670737982589694,0.2230741230293856,0.5586833671621803,0.4773194636377329,0.014613473381512787,0.535607050091959,0.4261893254741111,0.426514238349911,0.7318981768676766,0.6983216851393108,0.559266517475349,0.15159586921481383,0.6581169367769537,0.20551776710095793,0.26710604044143854,0.6603558409409801,0.10998282479170994,0.23171618932912752,0.7367961159320187,0.5642342934652897,0.566819563510639,0.09603147532863512,0.29045704054448496,0.5189025045805816,0.16698649789720374,0.6248627423775152,0.8079798690251683,0.4341608336050386,0.7133384419147037,0.35410489337338424,0.5930826191727012,0.22043502190392505,0.36404658820473335,0.44553041172770763,0.17672385630191847,0.6313907321679917,0.5272198881818182,0.2025658565968839,0.23146252464292194,0.2310045384247923,0.2269445745628408,0.5791346901597622,0.09913670727824637,0.292187171064577,0.36027418015436286,0.3225196013291587,0.33641605358452614,0.22614778447941347,0.7097822545550845,0.20589989514229398,0.26059203719900614,0.3682330157925546,0.6370616736650064,0.2784578992247685,0.04135111136397584,0.002208383662930484,0.29194709438800787,0.4476043478352803,0.7320826691885735,0.26671756367668065,0.2944179508147376,0.7098630520513468,0.7519742279278389
"Carlos ""El Mono"" Sánchez",0.18991393796229994,0.11589648181007696,0.43725586478755357,0.5617696181192513,0.41394899355008774,0.03706611752204578,0.46670737982589694,1.0,0.3817728679954602,0.44628083166018095,0.41346734238584254,0.09721691526973243,0.47421887448696654,0.4331735889731114,0.5396117507800803,0.4495587334607286,0.5559545475652711,0.36714615788185295,0.3972312306101131,0.5011736748963709,0.07175879997095116,0.17376895342044912,0.5050267570502056,0.16112963939410932,0.16530261346108216,0.6775353207467043,0.11081611103360298,0.3872588277390739,0.07858907231606194,0.1948976551910133,0.24175766957334557,0.062440313870562994,0.2501797018216509,0.4919493193326608,0.48889008162556646,0.4374992257213867,0.4550515884492259,0.4815176650814207,0.05497346188595094,0.2769225855077742,0.5149065433188356,0.06199029810036372,0.39880635874194675,0.49901729119260013,0.19088875332677696,0.10800304404195823,0.16885278501561088,0.33407681519179905,0.5748794836641116,0.04321484581938879,0.4531697210236186,0.34121568810032804,0.31886683447839625,0.429684129795259,0.27134565017925344,0.5181264707385441,0.15365176313609663,0.22946184830835192,0.1430683887261547,0.5130511277427456,0.25672468028419104,0.16747941133533834,0.18119549244636415,0.2532221460551407,0.4861422307593261,0.40730779246908533,0.185274252718012,0.30269930095087677,0.6272042650098965,0.5110583996313246
Carlos García,0.12736293770056548,0.05140239913542507,0.16637731507719122,0.21747988382299807,0.15773771543933707,0.03597951111818794,0.2230741230293856,0.3817728679954602,1.0,0.3878121359382856,0.21531935611727568,0.18419217830140722,0.22956974023206242,0.04339459203991556,0.4732670254710622,0.1589611380739993,0.16407070811910837,0.07753358489890086,0.4399095271325177,0.15388945561199163,0.4652538529569742,0.18487153094734377,0.042685034850113525,0.11514906984433551,0.1621678180820199,0.2573464168567765,0.48593660905599206,0.07254825451769856,0.524895682577422,0.17848745194227356,0.09874351218488277,0.03952039349284546,0.13262771391982675,0.1741226021761794,0.23926517876796216,0.37535651745735504,0.14747877397885786,0.1859298579183764,0.17178802905290957,0.37402768143724524,0.3037098017990736,0.028269440023451956,0.09450320621716796,0.30968951038167564,0.27067558953198706,0.23731580642737515,0.014738031311648669,0.4101178599246451,0.172364654095927,0.23038214806950552,0.45116543752419286,0.08686474568650487,0.11236504989443628,0.35101605851641055,0.3556120330765082,0.08808796579917859,0.050856749707110085,0.10408698557012007,0.10472247285054347,0.04703369861998905,0.43666463918858395,0.3287677430073507,0.017623867579044723,0.13747220352186335,0.21752103783082602,0.03155134780857364,0.1648794495248933,0.24144371385987098,0.28295503156704194,0.23580459394845174
Centella,0.1742584141409243,0.027837556919292347,0.2806690383114134,0.5525722773729248,0.3830588653567678,0.1323318513301365,0.5586833671621803,0.44628083166018095,0.3878121359382856,1.0,0.2956434696863575,0.02347395871892567,0.2618787405216,0.2888676734551438,0.5018725504863487,0.6143837506784036,0.47143137621697795,0.6594260865623587,0.04813111491540327,0.4401796722923833,0.23303538402829077,0.07906240816814576,0.4599272546894087,0.16526902911410377,0.17917057285420493,0.7560717969100045,0.3121322531495359,0.3803194141234544,0.18493714870079517,0.2007563277107181,0.28846648081677567,0.0901888825290596,0.2963486541086798,0.4650401170410405,0.2691980730873576,0.7369663161682063,0.25821939948346606,0.32310279447060414,0.10850399650278379,0.28806411357132844,0.3980157677393067,0.048509455886817175,0.4024138173631589,0.4641800888147262,0.12343448356145316,0.1018458620826476,0.15949489559767138,0.5372698780934617,0.5587086382488827,0.07335480891110019,0.21434129456184897,0.26771777921949114,0.1814127068281923,0.21079799675310182,0.14758919478007404,0.5158561998028607,0.13265739828585657,0.061397661610303605,0.2139380703275917,0.45841253521814235,0.2061803676342527,0.06213554966008222,0.0003361471019249561,0.21525592606606087,0.3067551691323053,0.39969974268261577,0.13742086396395323,0.22741647842202142,0.5452120075684233,0.4979851268324342
