show_a,show_b,cosine_similarity
Fabrizio Copano,Pedro Ruminot,0.9497716072470915
Edo Caroe,Pedro Ruminot,0.9331297425996907
Pedro Ruminot,Sergio Freire,0.9290607672668024
Edo Caroe,Fabrizio Copano,0.9230272364173607
Fabrizio Copano,Sergio Freire,0.9027162042832931
Edo Caroe,Sergio Freire,0.8974371896310376
Hermógenes Conache,Pedro Ruminot,0.8790371075753468
Arturo Ruiz-Tagle,Pedro Ruminot,0.864458600224566
Alejandra Azcárate,Jenny Cavallo,0.8515829087948761
Hermógenes Conache,Juan Pablo López,0.8471961466776464
Arturo Ruiz-Tagle,Edo Caroe,0.8340877943447885
Arturo Ruiz-Tagle,Álvaro Salas,0.8332636378953862
Jorge Alís,Pedro Ruminot,0.8328043962264399
George Harris,Hermógenes Conache,0.8317434387179045
George Harris,Pedro Ruminot,0.8301880446081163
Arturo Ruiz-Tagle,Sergio Freire,0.8281011999369557
Edo Caroe,Rodrigo González,0.826887156771695
Arturo Ruiz-Tagle,Fabrizio Copano,0.8239279024253026
Bastián Paz,Javiera Contador,0.8233116577066318
Hermógenes Conache,Jorge Alís,0.822917859176602
Belén Mora,Jenny Cavallo,0.8210238763927458
Luis Slimming,Sergio Freire,0.8172067851353894
Edo Caroe,Hermógenes Conache,0.8159825507307841
Coco Legrand,"Juan Luis ""Jajá"" Calderón",0.810131054082667
Luis Slimming,Pedro Ruminot,0.8089887411934775
Coco Legrand,Ricardo Meruane,0.8086715891929227
Bombo Fica,Jorge Alís,0.8079798690251683
Arturo Ruiz-Tagle,Luis Slimming,0.8076218280068116
Palta Meléndez,Álvaro Salas,0.807265477373298
Fabrizio Copano,Hermógenes Conache,0.8053386059483044
Pedro Ruminot,Rodrigo González,0.8039579023483289
Jorge Alís,Óscar Gangas,0.8033829420739358
George Harris,Óscar Gangas,0.8031482828373004
Dino Gordillo,Javiera Contador,0.8014455502313421
Fabrizio Copano,Rodrigo González,0.7988977357417536
Edo Caroe,Jorge Alís,0.7987629213665791
Arturo Ruiz-Tagle,Hermógenes Conache,0.7962850996289722
Arturo Ruiz-Tagle,Dino Gordillo,0.7947749786672013
Javiera Contador,Jenny Cavallo,0.7936123837651325
Arturo Ruiz-Tagle,Jorge Alís,0.7928414142392798
Alejandra Azcárate,Javiera Contador,0.7925240256277285
Jorge Alís,Sergio Freire,0.7878237461105705
Juan Pablo López,Pedro Ruminot,0.7876556058276315
Luis Slimming,Álvaro Salas,0.7843839766169454
Edo Caroe,Álvaro Salas,0.7834784184695618
Dino Gordillo,Hugo Goodman,0.7824963449984432
Pedro Ruminot,Álvaro Salas,0.7813125262384137
Diego Urrutia,Julio Sabala,0.7800094299893762
Dino Gordillo,Edo Caroe,0.7781004423933404
Javiera Contador,Sarah Sanders,0.7779853687673142
