show,x,y,n_segments
Alejandra Azcárate,0.39418230642367524,-0.03395125361714857,35
Alex Ortiz,0.09957062465360045,-0.11641023296676052,30
Alison Mandel,0.09065566158698453,-0.028337888565425632,52
Arturo Ruiz-Tagle,-0.0213109051157522,0.10111675861282313,76
Bastián Paz,0.2243523551105986,0.06943090948415662,26
Belén Mora,0.39954123678791104,-0.0236709951625436,40
Bombo Fica,-0.03823640650941855,0.08934575128342286,80
"Carlos ""El Mono"" Sánchez",-0.06334824458520194,0.03526205944314128,43
Carlos García,-0.034223778987473225,-0.14076618950795802,24
Centella,-0.0685525398817432,0.10873062126501452,16
Coco Legrand,-0.06357639914205906,-0.012084433939627982,106
"Daniel Muñoz ""El Carmelo""",-0.06768811090968446,-0.22611335597006557,22
"Daniela ""Chiqui"" Aguayo",0.12024365834260274,0.02253909565962803,79
Diego Urrutia,-0.11292796475561227,0.13743142508979903,28
Dinamita Show,-0.07363742820810704,-0.09134923512704216,119
Dino Gordillo,0.08448317474208095,0.08690538471289146,126
Edo Caroe,-0.06353135707016527,0.15774288500780612,138
El Pampero,-0.16619257285534414,0.20614026428364132,17
Ernesto Belloni,-0.03262293246600122,-0.1478985161478928,34
Fabrizio Copano,-0.1217186044124301,0.17133350862883717,100
Felipe Avello,0.0014738548732016513,-0.11273201815022692,35
Fusión Humor,-0.03622720819979679,-0.13670648136804278,61
George Harris,-0.12039328471687723,0.4041842038830182,17
Gigi Martin,-0.1076654567850482,-0.2242227390500745,20
Gloria Benavides,-0.06282812553212844,-0.14715284551734598,67
Hermógenes Conache,-0.09769536872713527,0.20167420798335348,67
Huaso Filomeno,-0.029799816499401194,-0.06347653736036833,21
Hugo Goodman,0.17274971139161452,0.1659012748568815,21
Hugo Varela,-0.0982284850221972,-0.11633670305163951,29
Jani Dueñas,0.11020288021365077,0.012834588683260487,23
Javiera Contador,0.2627765864836291,0.12310755128489918,59
Jenny Cavallo,0.6558393880974296,0.01771620634764702,27
"Jorge ""Chino"" Navarrete",-0.063527650316949,-0.020010985366754306,39
Jorge Alís,-0.039710032064445476,0.21115347566160084,48
"Juan Luis ""Jajá"" Calderón",-0.05055996621374776,-0.004075951706350753,98
Juan Pablo López,-0.10442167239399694,0.09987390934979207,112
Julio Sabala,-0.12695557580283517,0.13138413204991492,17
León Murillo,-0.10137999614667215,0.14979373603052107,34
Los Atletas de la Risa,-0.001326685625576338,-0.1325578025648247,38
Los Indolatinos,0.07352609909966401,-0.08735552951142407,67
Los Locos del Humor,-0.06739743406634963,-0.02648068334968977,83
Lucho Miranda,0.0547475561894026,-0.09446852545938915,16
Luis Slimming,0.051653941420166105,0.1587132007870889,54
Mauricio Palma,-0.11931891679247555,0.06290462018425334,56
Melón y Melame,-0.056331513703276236,-0.15926252619552383,49
Memo Bunke,-0.05369486318338433,-0.04269604630734586,27
Millenium Show,-0.17282168651227928,-0.11797355204326057,15
Natalia Valdebenito,0.008040383996234095,-0.07120353756015531,32
Palta Meléndez,-0.07178144919247671,0.04433923091534717,109
Pam Pam,0.16416547170842605,-0.10986200884410462,20
Pamela Leiva,-0.006487831078710285,-0.04819937513578456,47
Pancho del Sur,-0.06585437519035973,-0.056906343317919564,19
"Paul Vásquez ""El Flaco""",-0.0714611039784413,-0.042773878988744796,32
Paulo Iglesias,0.02283436634297145,-0.09353876912281044,79
Payahop,0.05862261370010271,-0.07482991343301919,32
Pedro Ruminot,-0.10474807931111736,0.23707002638644592,178
Profesor Salomón y Tutu-Tutu,-0.15887063353678554,-0.061385004079377116,35
Pujillay,-0.05930345301942182,-0.16035104398087727,29
Ricardo Meruane,-0.07306401898173441,-0.006422167921169324,48
Rodrigo González,-0.09052725461990686,0.10806341414637814,50
Rodrigo Villegas,-0.015365197358948899,-0.1118284331706583,65
Rudy Rey,-0.05956459970777938,-0.16112901909142413,17
Ruperto,-0.1240951524760252,-0.2907448741399202,16
Sandy,0.04808766816277548,-0.1020749657633685,84
Sarah Sanders,0.24360753789755932,0.19699299894910513,19
Sergio Freire,-0.019120858869016735,0.17695496031855742,46
Stefan Kramer,-0.10236704802441983,-0.09290695329481972,68
Zip-Zup,0.17320103806897483,-0.062295584319912035,34
Álvaro Salas,-0.012138332815552601,0.04385456457146323,110
Óscar Gangas,-0.04195774392899321,0.12004793431010148,29
