decade,rank,topic_final,topic_label,prevalence_pct
1970,1,13,Desvaríos,11.859778863314272
1970,2,0,Chilenidad,11.307482562244063
1970,3,1,Familia,10.220657333999958
1970,4,20,Boleros,8.732238620165127
1970,5,11,Dinero,7.81044402673218
1970,6,35,Guitarra,7.81044402673218
1970,7,16,Religión,5.648347467648015
1970,8,36,Aviación,4.900072132614624
1970,9,25,Pegados,4.795043741261532
1970,10,7,Remates,4.459866444112964
1980,1,35,Guitarra,30.151813138308093
1980,2,20,Boleros,16.344988657528425
1980,3,29,Personajes,13.400511191888556
1980,4,0,Chilenidad,11.042965675352747
1980,5,2,Médicos,8.444058699772441
1980,6,25,Pegados,5.281882162643313
1980,7,21,Abuelos,4.712409974405638
1980,8,12,Reggaeton,3.52731714421178
1980,9,5,Matrimonio,2.328379184239874
1980,10,16,Religión,1.988075932592317
1990,1,0,Chilenidad,14.351020456568174
1990,2,1,Familia,8.936181891836119
1990,3,7,Remates,8.09240886094919
1990,4,32,Disparates,6.930535385841429
1990,5,2,Médicos,5.910277690915609
1990,6,10,Transporte,5.379174844946189
1990,7,19,Copuchas,4.634934373254021
1990,8,36,Aviación,4.002213454060536
1990,9,9,Política,3.2457868640796006
1990,10,11,Dinero,3.1734820499677205
2000,1,0,Chilenidad,12.319585643970255
2000,2,7,Remates,5.597260424983782
2000,3,19,Copuchas,5.015566356692289
2000,4,20,Boleros,4.487871497991871
2000,5,26,Granja,4.480692230929328
2000,6,9,Política,4.289476149979386
2000,7,13,Desvaríos,4.087035575795934
2000,8,28,Presidencia,3.7809564779253093
2000,9,31,Coqueteo,3.62548648058524
2000,10,1,Familia,3.602656935496628
2010,1,0,Chilenidad,16.543240721693667
2010,2,1,Familia,6.110114382343474
2010,3,4,Huevones,5.643885201328531
2010,4,9,Política,4.32573429816587
2010,5,18,Intimidad,4.098432302275725
2010,6,11,Dinero,4.054761067657796
2010,7,5,Matrimonio,3.8075049280581483
2010,8,21,Abuelos,3.417767037827829
2010,9,30,Dieta,3.2393010403870077
2010,10,34,Torpezas,3.182963787156351
2020,1,0,Chilenidad,18.32455490060131
2020,2,1,Familia,11.472657334472261
2020,3,27,Edad,5.450601273105881
2020,4,9,Política,5.214543067579048
2020,5,12,Reggaeton,4.42617244305086
2020,6,24,Pantalla,4.178317071869212
2020,7,8,Festival,4.060191670161345
2020,8,15,Escuela,3.403644102281962
2020,9,37,Deportes,3.2436111851677216
2020,10,16,Religión,3.0954283399328135
