rank,1970,1980,1990,2000,2010,2020
1,#1 Desvaríos (11.9%),#1 Guitarra (30.2%),#1 Chilenidad (14.4%),#1 Chilenidad (12.3%),#1 Chilenidad (16.5%),#1 Chilenidad (18.3%)
2,#2 Chilenidad (11.3%),#2 Boleros (16.3%),#2 Familia (8.9%),#2 Remates (5.6%),#2 Familia (6.1%),#2 Familia (11.5%)
3,#3 Familia (10.2%),#3 Personajes (13.4%),#3 Remates (8.1%),#3 Copuchas (5.0%),#3 Huevones (5.6%),#3 Edad (5.5%)
4,#4 Boleros (8.7%),#4 Chilenidad (11.0%),#4 Disparates (6.9%),#4 Boleros (4.5%),#4 Política (4.3%),#4 Política (5.2%)
5,#5 Dinero (7.8%),#5 Médicos (8.4%),#5 Médicos (5.9%),#5 Granja (4.5%),#5 Intimidad (4.1%),#5 Reggaeton (4.4%)
6,#6 Guitarra (7.8%),#6 Pegados (5.3%),#6 Transporte (5.4%),#6 Política (4.3%),#6 Dinero (4.1%),#6 Pantalla (4.2%)
7,#7 Religión (5.6%),#7 Abuelos (4.7%),#7 Copuchas (4.6%),#7 Desvaríos (4.1%),#7 Matrimonio (3.8%),#7 Festival (4.1%)
8,#8 Aviación (4.9%),#8 Reggaeton (3.5%),#8 Aviación (4.0%),#8 Presidencia (3.8%),#8 Abuelos (3.4%),#8 Escuela (3.4%)
9,#9 Pegados (4.8%),#9 Matrimonio (2.3%),#9 Política (3.2%),#9 Coqueteo (3.6%),#9 Dieta (3.2%),#9 Deportes (3.2%)
10,#10 Remates (4.5%),#10 Religión (2.0%),#10 Dinero (3.2%),#10 Familia (3.6%),#10 Torpezas (3.2%),#10 Religión (3.1%)
