show,x,y,n_segments
Alejandra Azcárate,-0.14369891247882166,0.027086302458003014,27
Alex Ortiz,-0.14045135440376613,0.00824890996253647,39
Alison Mandel,-0.12817777003285033,-0.014447132851523546,68
Arturo Ruiz-Tagle,-0.03066075662524625,0.04023670428688754,57
Bastián Paz,-0.0615709085931021,0.03399190827209758,31
Belén Mora,-0.1241659697609816,-0.012841012087125458,53
Bombo Fica,-0.060461209212137546,0.03266169396914347,114
"Carlos ""El Mono"" Sánchez",-0.08322720703493473,0.06046749769899556,35
Carlos García,0.23005071835297441,-0.015818091451266635,57
Centella,-0.10092546238035664,-0.09596256657300448,24
Coco Legrand,-0.1401000722113048,-0.021576356802461016,135
"Daniel Muñoz ""El Carmelo""",0.3892021154802326,-0.04312978858425472,30
"Daniela ""Chiqui"" Aguayo",-0.12531709784251707,-0.002804993851064323,101
Diego Urrutia,-0.024562911745607534,-0.03928511606573841,35
Dinamita Show,-0.03922653356054585,0.019626070024112773,152
Dino Gordillo,-0.09602669071260572,-0.010066198675557548,117
Edmundo Arrocet,0.26161237761511685,-0.2583465989844305,27
Edo Caroe,-0.12843741004291148,-0.05841217343609731,113
El Pampero,-0.040616039993915685,-0.015134443254088335,20
Ernesto Belloni,-0.05449805943135456,-0.0550611431663422,29
Fabrizio Copano,-0.023534333167784995,-0.009775148680515763,74
Felipe Avello,-0.011895149060092548,0.0014822507466209795,31
Felo,0.25754682738588197,-0.08038665030211153,20
Fusión Humor,-0.049961970341886715,-0.03427256859601142,41
George Harris,-0.039334944385249815,-0.13068352400312003,35
Gigi Martin,0.09133418590192051,-0.07239228256923404,20
Gilberto Gless,0.38066669784433227,-0.31782171647747975,20
Gloria Benavides,0.21126445054459358,0.11956614468387544,88
Hermógenes Conache,-0.12386928667929983,-0.009986252726984949,55
Huaso Filomeno,-0.10056701711085014,0.04058185422063735,31
Hugo Goodman,0.07564641016475308,-0.20685854278656135,16
Hugo Varela,0.11572917992147307,0.1547479595997215,61
Jani Dueñas,0.011053861632577563,-0.013601540266915112,20
Jappening con ja,0.14476495564124853,0.43286579711345274,22
Javiera Contador,-0.06213626851255502,-0.017009271470135954,82
Jenny Cavallo,-0.15872763124505035,0.005686686592227351,47
"Jorge ""Chino"" Navarrete",-0.07967218065508049,-0.016429153042342028,33
Jorge Alís,-0.12235440031607261,-0.005741327572957483,56
Jorge Romero,0.33148532524836827,-0.022361862416400376,15
"Juan Luis ""Jajá"" Calderón",-0.16371535601476983,-0.022918205429699155,42
Juan Pablo López,-0.15081952149155906,-0.01649193269779291,109
Julio Sabala,0.35010529401312984,-0.17218671845189445,32
León Murillo,-0.14465458097595188,-0.03672691200050663,33
Los Acetatos,0.2758682380488548,-0.13151845049640978,18
Los Atletas de la Risa,-0.12883828350842705,-0.047945100270024923,32
Los Indolatinos,0.0014391335959170167,0.0747990366752535,59
Los Locos del Humor,-0.08834928152099328,0.028948837964670515,76
Lucho Miranda,-0.14093618311340544,-0.08221236484635,33
Luis Slimming,-0.1368159026002099,0.018900362209544986,33
Mauricio Palma,-0.07238878649861782,0.011356822147687917,48
Melón y Melame,-0.006788669049087035,0.0762536824082802,55
Memo Bunke,0.05877465151751323,0.28255128149049763,24
Memo Bunke y Natalia Cuevas,0.3273823751824421,0.1816261741813228,23
Millenium Show,0.08487946648367814,0.11465947535033756,22
Nancho Parra,0.03091514615457946,0.10767649754172579,29
Natalia Cuevas,0.18764128699534874,-0.1792099098824304,29
Natalia Valdebenito,-0.1558325659509962,0.0028624373583507694,38
Palta Meléndez,-0.11271074603319468,0.004228963608123183,121
Pamela Leiva,-0.06937747239597133,-0.027074660558357968,50
"Paul Vásquez ""El Flaco""",-0.10437201104500578,0.025760459784326666,50
Paulo Iglesias,-0.11176767099188012,-0.02887432762929136,46
Payahop,0.16361267151867306,-0.030241137543409197,30
Pedro Ruminot,-0.07795668709238386,0.0011817093898497185,156
Piña Colada,0.14249306597937345,0.38572012960515084,17
Pujillay,-4.600696943063948e-05,0.06394788956396426,25
Ricardo Meruane,-0.09466594330877921,-0.0894791328736818,49
Rodrigo González,-0.1173736034591304,-0.02527360933142191,39
Rodrigo Villegas,0.027010858511768286,0.017100002691093668,61
Rudy Rey,0.404911458164064,0.12137707647783376,19
Ruperto,0.16535800991391741,0.15583286263276383,38
Sandy,-0.015134844404078652,-0.017708279358632964,77
Sergio Freire,-0.11894806064314857,-0.03142117875283544,36
Stefan Kramer,-0.03017418141341553,-0.08607993935323553,82
Zip-Zup,-0.1390509092189899,-0.012062050539074757,23
Álvaro Salas,-0.09994311935144738,0.010823612699420013,53
Óscar Gangas,-0.14591082722497684,-0.045227726699737084,28
