show,n_segments
Dinamita Show,188
Pedro Ruminot,175
Coco Legrand,155
Palta Meléndez,138
Bombo Fica,133
Edo Caroe,131
Dino Gordillo,130
Juan Pablo López,126
Gloria Benavides,112
"Daniela ""Chiqui"" Aguayo",109
Stefan Kramer,106
Javiera Contador,92
Fabrizio Copano,87
Alison Mandel,87
Los Locos del Humor,86
Sandy,83
Rodrigo Villegas,74
Carlos García,72
Hugo Varela,70
Melón y Melame,69
Los Indolatinos,68
"Paul Vásquez ""El Flaco""",65
Álvaro Salas,65
Jorge Alís,64
Arturo Ruiz-Tagle,64
Hermógenes Conache,61
Paulo Iglesias,59
Belén Mora,59
Mauricio Palma,58
Pamela Leiva,56
Jenny Cavallo,55
Ricardo Meruane,51
"Juan Luis ""Jajá"" Calderón",46
Ruperto,46
Rodrigo González,45
Fusión Humor,44
Alex Ortiz,44
George Harris,43
Natalia Valdebenito,43
Diego Urrutia,42
León Murillo,42
Lucho Miranda,42
Nancho Parra,41
Sergio Freire,41
Julio Sabala,41
"Carlos ""El Mono"" Sánchez",40
Felipe Avello,40
Luis Slimming,39
Natalia Cuevas,38
"Jorge ""Chino"" Navarrete",36
Huaso Filomeno,36
Bastián Paz,36
Ernesto Belloni,36
Óscar Gangas,36
Payahop,35
Edmundo Arrocet,34
Memo Bunke y Natalia Cuevas,34
Alejandra Azcárate,32
Los Atletas de la Risa,32
Centella,30
"Daniel Muñoz ""El Carmelo""",30
Pujillay,29
Felo,29
Zip-Zup,28
Memo Bunke,27
Millenium Show,27
Gigi Martin,26
Rudy Rey,26
Gilberto Gless,24
Jappening con ja,24
El Pampero,22
Piña Colada,22
Jani Dueñas,22
Los Acetatos,21
Hugo Goodman,18
Profesor Salomón y Tutu-Tutu,17
Lucho Navarro,16
Jorge Romero,15
Pam Pam,12
Tato Cifuentes,11
"Daniel Muñoz ""El Malo""",11
Carlos Helo,10
"Esteban ""Ronco"" Retes",10
Vanessa Miller,9
Pancho del Sur,9
El Huaso Clavel,7
Los Muleros,7
Jorge Pérez,6
Sarah Sanders,6
Manpoval,5
