Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
58,va_bien_cómo_bueno_dice,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",56,quinta_vergara_quinta vergara_humor_escenario,57,dijo_dice_dije_ay_voy,1.3620750719021255
57,dijo_dice_dije_ay_voy,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 20, 23, 24, 25, 26, 27, 28, 29]",55,dijo_dije_dice_huevón_voy,53,ay ay_salta salta_ay_salta_mosca,0.9271652659875529
56,quinta_vergara_quinta vergara_humor_escenario,"[3, 6, 14, 17, 19, 21, 22]",50,muchas_buenas noches_noches_verdad_buenas,46,quinta_vergara_quinta vergara_humor_escenario,0.8719205020216985
55,dijo_dije_dice_huevón_voy,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 15, 16, 18, 20, 23, 24, 25, 26, 27, 28]",28,puta puta_noticias_puta_ta_tele,54,dijo_dije_dice_voy_pues,0.8330220843792749
54,dijo_dije_dice_voy_pues,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 15, 16, 18, 20, 23, 24, 25, 26, 27]",48,dijo_dije_dice_pues_huevón,51,bailar_teléfono_celular_pegado_fiesta,0.8225118059804271
53,ay ay_salta salta_ay_salta_mosca,"[8, 13, 29]",52,ay ay_salta salta_salta_ay_mosca,29,reggaeton_calmado_dale_ten_bling,0.821973836104321
52,ay ay_salta salta_salta_ay_mosca,"[8, 13]",8,anthony_amas_your_you_do,13,ay ay_salta salta_salta_ay_mosca,0.7908139252880804
51,bailar_teléfono_celular_pegado_fiesta,"[25, 26, 27]",49,bailar_fiesta_baile_bailemos_mujeres,26,celular_pegado_teléfono_whatsapp_llamar,0.7787625419067521
50,muchas_buenas noches_noches_verdad_buenas,"[21, 22]",21,buenas noches_noches_buenas_pecadora_amable,22,verdad_agradecer_emocionado_quiero agradecer_muchas,0.7782705599478592
49,bailar_fiesta_baile_bailemos_mujeres,"[25, 27]",25,bailar_fiesta_bailemos_baile_discoteca,27,soltera_bebé_arturo vidal_tinder_vidal,0.7650207920453945
48,dijo_dije_dice_pues_huevón,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 15, 16, 18, 20, 23, 24]",42,canción_almas_usted_cantar_perro,47,dijo_dije_huevón_mamá_pues,0.760705711626164
47,dijo_dije_huevón_mamá_pues,"[0, 4, 5, 7, 9, 11, 15, 16, 18, 20, 23, 24]",45,dijo_mamá_huevón_hijo_dije,44,amor_amante_marido_mujer_dije,0.7495321583334199
46,quinta_vergara_quinta vergara_humor_escenario,"[3, 6, 14, 17, 19]",43,quinta_vergara_quinta vergara_humor_escenario,19,través_mar_viña_viña mar_internacional,0.7489679472513128
45,dijo_mamá_huevón_hijo_dije,"[0, 4, 5, 7, 9, 11, 15, 16, 18, 20]",20,hermana_fea_curado_marihuana_jimmy,41,dijo_mamá_huevón_hijo_weón,0.7343087263437812
44,amor_amante_marido_mujer_dije,"[23, 24]",23,amante_marido_mujer_matrimonio_tenis,24,amor_dije_pa_pa pa_conejo,0.7322301668048453
43,quinta_vergara_quinta vergara_humor_escenario,"[3, 6, 14, 17]",14,ho_ho ho_aplauso_muchas_corazón,38,quinta_quinta vergara_vergara_humor_escenario,0.7251094774031699
42,canción_almas_usted_cantar_perro,"[1, 2, 10, 12]",12,perro_perrito_selva_lobo_caperucita,37,canción_almas_cantar_usted_maestro,0.718205715578986
41,dijo_mamá_huevón_hijo_weón,"[0, 4, 5, 7, 9, 11, 15, 16, 18]",18,doctor_farmacia_examen_consulta_viagra,40,mamá_dijo_hijo_huevón_dije,0.7060359448046742
40,mamá_dijo_hijo_huevón_dije,"[0, 4, 5, 7, 9, 11, 15, 16]",16,comida_comer_dieta_mamá_pan,39,dijo_hijo_huevón_chile_weón,0.6906066713300202
39,dijo_hijo_huevón_chile_weón,"[0, 4, 5, 7, 9, 11, 15]",36,dijo_hijo_chile_huevón_papá,15,hombres_mujeres_mujer_hombre_pedo,0.6860964737382992
38,quinta_quinta vergara_vergara_humor_escenario,"[3, 6, 17]",30,quinta_quinta vergara_vergara_humor_escenario,17,natalia_chiqui_alison_javiera_escenario,0.6630653465713019
