segment_idx,show,year
0,Edmundo Arrocet,1971
1,Edmundo Arrocet,1971
2,Edmundo Arrocet,1971
3,Tato Cifuentes,1973
4,Tato Cifuentes,1973
5,Tato Cifuentes,1973
6,Tato Cifuentes,1973
7,Tato Cifuentes,1973
8,Tato Cifuentes,1973
9,Tato Cifuentes,1973
10,Tato Cifuentes,1973
11,Los Acetatos,1973
12,Los Acetatos,1973
13,Los Acetatos,1973
14,Los Acetatos,1973
15,Los Acetatos,1973
16,Los Acetatos,1973
17,Los Acetatos,1973
18,Los Acetatos,1973
19,Los Acetatos,1973
20,Los Acetatos,1973
21,Los Acetatos,1973
22,Los Acetatos,1973
23,Los Acetatos,1973
24,Los Acetatos,1973
25,Los Acetatos,1973
26,Los Acetatos,1973
27,Los Acetatos,1973
28,Los Acetatos,1973
29,Los Acetatos,1973
30,Los Acetatos,1973
31,Los Acetatos,1973
32,Tato Cifuentes,1974
33,Tato Cifuentes,1974
34,Tato Cifuentes,1974
35,Hugo Goodman,1974
36,Hugo Goodman,1974
37,Hugo Goodman,1974
38,Hugo Goodman,1974
39,Hugo Goodman,1974
40,Hugo Goodman,1974
41,Hugo Goodman,1974
42,Hugo Goodman,1974
43,Hugo Goodman,1974
44,Hugo Goodman,1974
45,Hugo Goodman,1974
46,Hugo Goodman,1974
47,Hugo Goodman,1974
48,Hugo Goodman,1974
49,Hugo Goodman,1974
50,Hugo Goodman,1974
51,Hugo Goodman,1974
52,Hugo Goodman,1974
53,Los Muleros,1976
54,Los Muleros,1976
55,Los Muleros,1976
56,Los Muleros,1976
57,Los Muleros,1976
58,Los Muleros,1976
59,Los Muleros,1976
60,Gloria Benavides,1977
61,Gloria Benavides,1977
62,Gloria Benavides,1977
63,Gloria Benavides,1977
64,Gloria Benavides,1977
65,Gloria Benavides,1977
66,Gloria Benavides,1977
67,Gloria Benavides,1977
68,Gloria Benavides,1977
69,Gloria Benavides,1977
70,Gloria Benavides,1977
71,Gloria Benavides,1977
72,Gloria Benavides,1977
73,Gloria Benavides,1977
74,Gloria Benavides,1977
75,Gloria Benavides,1977
76,Gloria Benavides,1977
77,Gloria Benavides,1977
78,Gloria Benavides,1977
79,Gloria Benavides,1977
80,Gloria Benavides,1977
81,Gloria Benavides,1977
82,Gloria Benavides,1977
83,Gloria Benavides,1977
84,Gloria Benavides,1977
85,Edmundo Arrocet,1978
86,Edmundo Arrocet,1978
87,Edmundo Arrocet,1978
88,Edmundo Arrocet,1978
89,Edmundo Arrocet,1978
90,Edmundo Arrocet,1978
91,Edmundo Arrocet,1978
92,Edmundo Arrocet,1978
93,Edmundo Arrocet,1978
94,Edmundo Arrocet,1978
95,Edmundo Arrocet,1978
96,Edmundo Arrocet,1978
97,Edmundo Arrocet,1978
98,Edmundo Arrocet,1978
99,Edmundo Arrocet,1978
100,Edmundo Arrocet,1978
101,Edmundo Arrocet,1978
102,Edmundo Arrocet,1978
103,Edmundo Arrocet,1978
104,Edmundo Arrocet,1978
105,Edmundo Arrocet,1978
106,Edmundo Arrocet,1978
107,Edmundo Arrocet,1978
108,Edmundo Arrocet,1978
109,Edmundo Arrocet,1978
110,Edmundo Arrocet,1978
111,Edmundo Arrocet,1978
112,Edmundo Arrocet,1978
113,Edmundo Arrocet,1978
114,Edmundo Arrocet,1978
115,Edmundo Arrocet,1978
116,Carlos Helo,1979
117,Carlos Helo,1979
118,Carlos Helo,1979
119,Carlos Helo,1979
120,Carlos Helo,1979
121,Carlos Helo,1979
122,Carlos Helo,1979
123,Carlos Helo,1979
124,Carlos Helo,1979
125,Carlos Helo,1979
126,Jorge Romero,1979
127,Jorge Romero,1979
128,Jorge Romero,1979
129,Jorge Romero,1979
130,Jorge Romero,1979
131,Jorge Romero,1979
132,Jorge Romero,1979
133,Jorge Romero,1979
134,Jorge Romero,1979
135,Jorge Romero,1979
136,Jorge Romero,1979
137,Jorge Romero,1979
138,Jorge Romero,1979
139,Jorge Romero,1979
140,Jorge Romero,1979
141,Coco Legrand,1980
142,Coco Legrand,1980
143,Coco Legrand,1980
144,Coco Legrand,1980
145,Coco Legrand,1980
146,Coco Legrand,1980
147,Coco Legrand,1980
148,Coco Legrand,1980
149,Coco Legrand,1980
150,Coco Legrand,1980
151,Coco Legrand,1980
152,"Esteban ""Ronco"" Retes",1984
153,"Esteban ""Ronco"" Retes",1984
154,"Esteban ""Ronco"" Retes",1984
155,"Esteban ""Ronco"" Retes",1984
156,"Esteban ""Ronco"" Retes",1984
157,"Esteban ""Ronco"" Retes",1984
158,"Esteban ""Ronco"" Retes",1984
159,"Esteban ""Ronco"" Retes",1984
160,"Esteban ""Ronco"" Retes",1984
161,"Esteban ""Ronco"" Retes",1984
162,El Huaso Clavel,1988
163,El Huaso Clavel,1988
164,El Huaso Clavel,1988
165,El Huaso Clavel,1988
166,El Huaso Clavel,1988
167,El Huaso Clavel,1988
168,El Huaso Clavel,1988
169,Hugo Varela,1989
170,Hugo Varela,1989
171,Hugo Varela,1989
172,Hugo Varela,1989
173,Hugo Varela,1989
174,Hugo Varela,1989
175,Hugo Varela,1989
176,Hugo Varela,1989
177,Hugo Varela,1989
178,Hugo Varela,1989
179,Hugo Varela,1989
180,Hugo Varela,1989
181,Hugo Varela,1989
182,Hugo Varela,1989
183,Hugo Varela,1989
184,Hugo Varela,1989
185,Hugo Varela,1989
186,Hugo Varela,1989
187,Hugo Varela,1989
188,Hugo Varela,1989
189,Hugo Varela,1989
190,Hugo Varela,1989
191,Hugo Varela,1989
192,Hugo Varela,1989
193,Hugo Varela,1989
194,Hugo Varela,1989
195,Hugo Varela,1989
196,Hugo Varela,1989
197,Hugo Varela,1989
198,Hugo Varela,1989
199,Hugo Varela,1989
200,Hugo Varela,1989
201,Hugo Varela,1989
202,Hugo Varela,1989
203,Hugo Varela,1989
204,Hugo Varela,1989
205,Hugo Varela,1989
206,Hugo Varela,1989
207,Pujillay,1990
208,Pujillay,1990
209,Pujillay,1990
210,Pujillay,1990
211,Pujillay,1990
212,Pujillay,1990
213,Pujillay,1990
214,Pujillay,1990
215,Pujillay,1990
216,Pujillay,1990
217,Pujillay,1990
218,Pujillay,1990
219,Pujillay,1990
220,Pujillay,1990
221,Pujillay,1990
222,Pujillay,1990
223,Pujillay,1990
224,Pujillay,1990
225,Pujillay,1990
226,Pujillay,1990
227,Pujillay,1990
228,Pujillay,1990
229,Pujillay,1990
230,Pujillay,1990
231,Pujillay,1990
232,Pujillay,1990
233,Pujillay,1990
234,Pujillay,1990
235,Pujillay,1990
236,Palta Meléndez,1991
237,Palta Meléndez,1991
238,Palta Meléndez,1991
239,Palta Meléndez,1991
240,Palta Meléndez,1991
241,Palta Meléndez,1991
242,Palta Meléndez,1991
243,Palta Meléndez,1991
244,Palta Meléndez,1991
245,Palta Meléndez,1991
246,Palta Meléndez,1991
247,Palta Meléndez,1991
248,Palta Meléndez,1991
249,Palta Meléndez,1991
250,Palta Meléndez,1991
251,Palta Meléndez,1991
252,Palta Meléndez,1991
253,Palta Meléndez,1991
254,Palta Meléndez,1991
255,Palta Meléndez,1991
256,Palta Meléndez,1991
257,Palta Meléndez,1991
258,Palta Meléndez,1991
259,Palta Meléndez,1991
260,Palta Meléndez,1991
261,Palta Meléndez,1991
262,Palta Meléndez,1991
263,Palta Meléndez,1991
264,Palta Meléndez,1991
265,Palta Meléndez,1991
266,Palta Meléndez,1991
267,Palta Meléndez,1991
268,Palta Meléndez,1991
269,Palta Meléndez,1991
270,Hermógenes Conache,1991
271,Hermógenes Conache,1991
272,Hermógenes Conache,1991
273,Hermógenes Conache,1991
274,Hermógenes Conache,1991
275,Hermógenes Conache,1991
276,Hermógenes Conache,1991
277,Hermógenes Conache,1991
278,Hermógenes Conache,1991
279,Hermógenes Conache,1991
280,Hermógenes Conache,1991
281,Hermógenes Conache,1991
282,Hermógenes Conache,1991
283,Hermógenes Conache,1991
284,Hermógenes Conache,1991
285,Hermógenes Conache,1991
286,Hermógenes Conache,1991
287,Hermógenes Conache,1991
288,Hermógenes Conache,1991
289,Hermógenes Conache,1991
290,Hermógenes Conache,1991
291,Hermógenes Conache,1991
292,Hermógenes Conache,1991
293,Hermógenes Conache,1991
294,Hermógenes Conache,1991
295,Hermógenes Conache,1991
296,Hermógenes Conache,1991
297,Hermógenes Conache,1991
298,Lucho Navarro,1992
299,Lucho Navarro,1992
300,Lucho Navarro,1992
301,Lucho Navarro,1992
302,Lucho Navarro,1992
303,Lucho Navarro,1992
304,Lucho Navarro,1992
305,Lucho Navarro,1992
306,Lucho Navarro,1992
307,Lucho Navarro,1992
308,Lucho Navarro,1992
309,Lucho Navarro,1992
310,Lucho Navarro,1992
311,Lucho Navarro,1992
312,Lucho Navarro,1992
313,Lucho Navarro,1992
