id,segment_idx,show,year,date,festival,event_name,youtube_url,start_time_seconds,end_time_seconds,duration_seconds,text,source_row_index,model_text,model_decade,topic_initial,topic_final,topic_name_initial,topic_name_final,is_outlier_initial,is_outlier_final,max_topic_probability
24,0,Edmundo Arrocet,1971,1971-02-02,XII,Festival Internacional de la Canción de Viña del Mar 1971,https://www.youtube.com/watch?v=makiS7Xf5vs,8.0,24.0,16.0,"Por favor, oraciosos a ella. De inmediato, a continuación, vamos a presentar con ustedes este gran artista con su gran director de orquesta que se hace presente aquí en el Festival de Viña del Mar para dejar de inmediato al italiano Nicola Dibari.",0,"Por favor, oraciosos a ella. De inmediato, a continuación, vamos a presentar con ustedes este gran artista con su gran director de orquesta que se hace presente aquí en el Festival de Viña del Mar para dejar de inmediato al italiano Nicola Dibari.",1970,-1,3,-1____,3_humor_quinta_quinta vergara_vergara,True,False,0.09318006434183422
24,1,Edmundo Arrocet,1971,1971-02-02,XII,Festival Internacional de la Canción de Viña del Mar 1971,https://www.youtube.com/watch?v=makiS7Xf5vs,33.0,89.0,56.0,"Señora, señora, andiamo a interpretar una canzonata. ¿A chi si chiama la canzone? ¿Come si chiama, bambino? ""Il trotamondo"". Allora, cavalieri, aspettiamo... Que camina sin cesar. No, que le gusta de la vida es el amor que nada más. Si rodando el mundo puedo hallar una que piense como yo o que le gusta de la vida es el amor y nada más. Y día tras día la espero yo.",1,"Señora, señora, andiamo a interpretar una canzonata. ¿A chi si chiama la canzone? ¿Come si chiama, bambino? ""Il trotamondo"". Allora, cavalieri, aspettiamo... Que camina sin cesar. No, que le gusta de la vida es el amor que nada más. Si rodando el mundo puedo hallar una que piense como yo o que le gusta de la vida es el amor y nada más. Y día tras día la espero yo.",1970,-1,8,-1____,8_anthony_amas_your_you,True,False,0.07160855661347629
24,2,Edmundo Arrocet,1971,1971-02-02,XII,Festival Internacional de la Canción de Viña del Mar 1971,https://www.youtube.com/watch?v=makiS7Xf5vs,91.0,123.0,32.0,"Y paso tras paso, yo la buscaré y la encontraré, la encontraré, la encontraré. Contra todo el mundo como yo, que camina sin cesar, lo que le gusta de la vida es el amor que nada más. Es el amor y nada más.",2,"Y paso tras paso, yo la buscaré y la encontraré, la encontraré, la encontraré. Contra todo el mundo como yo, que camina sin cesar, lo que le gusta de la vida es el amor que nada más. Es el amor y nada más.",1970,8,8,8_anthony_amas_your_you,8_anthony_amas_your_you,False,False,0.0964685219485031
27,0,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,1.0,29.0,28.0,"Sus cualidades artísticas. Le conocimos hace muchos años con un personaje muy querido por todos los niños de esa época: Copucha, el colegial. Estuvo como invitado especial en el show internacional. Su nombre: Tato Cifuentes. Muy buenas noches, señoras, señores. En realidad, es un tremendo placer volver a estar en mi patria y tratar de divertirles por intermedio de mis personajes y de algunas cositas que deseo que sean de vuestro agrado. En primer lugar, le",3,"Sus cualidades artísticas. Le conocimos hace muchos años con un personaje muy querido por todos los niños de esa época: Copucha, el colegial. Estuvo como invitado especial en el show internacional. Su nombre: Tato Cifuentes. Muy buenas noches, señoras, señores. En realidad, es un tremendo placer volver a estar en mi patria y tratar de divertirles por intermedio de mis personajes y de algunas cositas que deseo que sean de vuestro agrado. En primer lugar, le",1970,3,3,3_humor_quinta_quinta vergara_vergara,3_humor_quinta_quinta vergara_vergara,False,False,0.0831005536930779
27,1,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,30.0,113.0,83.0,"Les voy a hacer una invitación de un personaje o de algo que tenemos todos los seres humanos, porque mientras más años uno vive, más se da cuenta que todos los seres humanos somos exactamente iguales. Todos tenemos un chiquito, especialmente los hombres. Y mientras más años pasan, más chiquito, más inocente y más ingenuo. Por eso, cuando los abuelitos llegan a abuelitos, se ponen como niñitos chicos. Entonces, entonces yo voy a hacer la invitación de cada uno de ustedes, inclusive ustedes que están en su casa, cuando tenían 5 años. A esa edad, todos los niños son exactamente iguales. Tienen que decir un versito porque el papá, la abuela o la tía dice en la casa: ""Vaya, mi hijito, y diga un versito"". Y los deficientes tienen que aguantar al niñito. No hay más remedio. Así que a ustedes les ruego se imaginen que ahora soy un niñito de 5 años. Olvídense que soy un muchacho de 28 años porque el efecto, mucho mejor. 29. Bueno, la descendencia de todos los hogares, ustedes se van a acordar al tiro de esto. ""Mi hijo dice versito. Dígale un versito a la visita. Le encanta decir versito. Venga, mijito, diga"".",4,"Les voy a hacer una invitación de un personaje o de algo que tenemos todos los seres humanos, porque mientras más años uno vive, más se da cuenta que todos los seres humanos somos exactamente iguales. Todos tenemos un chiquito, especialmente los hombres. Y mientras más años pasan, más chiquito, más inocente y más ingenuo. Por eso, cuando los abuelitos llegan a abuelitos, se ponen como niñitos chicos. Entonces, entonces yo voy a hacer la invitación de cada uno de ustedes, inclusive ustedes que están en su casa, cuando tenían 5 años. A esa edad, todos los niños son exactamente iguales. Tienen que decir un versito porque el papá, la abuela o la tía dice en la casa: ""Vaya, mi hijito, y diga un versito"". Y los deficientes tienen que aguantar al niñito. No hay más remedio. Así que a ustedes les ruego se imaginen que ahora soy un niñito de 5 años. Olvídense que soy un muchacho de 28 años porque el efecto, mucho mejor. 29. Bueno, la descendencia de todos los hogares, ustedes se van a acordar al tiro de esto. ""Mi hijo dice versito. Dígale un versito a la visita. Le encanta decir versito. Venga, mijito, diga"".",1970,2,2,2_chiste_programa_hoy hoy_chistes,2_chiste_programa_hoy hoy_chistes,False,False,0.11660650700433084
27,2,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,122.0,177.0,55.0,"Buenas tardes. Voy, voy, voy a decir un versito porque, porque, porque sí. Yo siempre, siempre digo versito porque salgo mucho versito... todo esto: 8, 14, 5, 4, 3... Voy a decir un besito. ¿Qué se llama? ¿Cómo se llama? No te, no te... No sabe, no sabe, no sabe, no sabe, no sabe, no... Este...",5,"Buenas tardes. Voy, voy, voy a decir un versito porque, porque, porque sí. Yo siempre, siempre digo versito porque salgo mucho versito... todo esto: 8, 14, 5, 4, 3... Voy a decir un besito. ¿Qué se llama? ¿Cómo se llama? No te, no te... No sabe, no sabe, no sabe, no sabe, no sabe, no... Este...",1970,-1,2,-1____,2_chiste_programa_hoy hoy_chistes,True,False,0.05360521838855692
27,3,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,180.0,340.0,160.0,"Necesito que me diga, se llama, ah, ahora que me olvidé mi acuerdo. Se llama el chanchito es. Pero bueno, no se ríen porque es muy triste, porque se trata de de la vida de un chanchito que una vez se miró en el espejo y vio que tenía cara de chancho. Y se asustó. Se asustó dijo, ""Uh."" Uh. Así dijo. Y tenía tenía pata de chancho, ojo de chancho, oreja de chancho, nariz, no, no tenía nariz, tenía un enchufe. Eh, y tenía Y tenía Tenía, tenía todo el puerco forrado en cuero de chancho. Y tenía la cabeza acá. Y eh Y entonces tenía la cabeza acá y Hay hay chancho grande y chancho grande, chancho chico. Pero son chancho igual. Este tenía la cabeza acá. La madre, la madre era una chancha. Era una chancha la madre. La madre era una chancha y el padre era un chancha. Ella sí enchanchada. Ahora viene el versito. Pero no, se ríen porque es muy triste, vida, pasión y muerte del chanchito. el chancito. Ahora voy a decir otro verso que también es muy lindo. Muchísimas gracias. Me salió un gallito.",6,"Necesito que me diga, se llama, ah, ahora que me olvidé mi acuerdo. Se llama el chanchito es. Pero bueno, no se ríen porque es muy triste, porque se trata de de la vida de un chanchito que una vez se miró en el espejo y vio que tenía cara de chancho. Y se asustó. Se asustó dijo, ""Uh."" Uh. Así dijo. Y tenía tenía pata de chancho, ojo de chancho, oreja de chancho, nariz, no, no tenía nariz, tenía un enchufe. Eh, y tenía Y tenía Tenía, tenía todo el puerco forrado en cuero de chancho. Y tenía la cabeza acá. Y eh Y entonces tenía la cabeza acá y Hay hay chancho grande y chancho grande, chancho chico. Pero son chancho igual. Este tenía la cabeza acá. La madre, la madre era una chancha. Era una chancha la madre. La madre era una chancha y el padre era un chancha. Ella sí enchanchada. Ahora viene el versito. Pero no, se ríen porque es muy triste, vida, pasión y muerte del chanchito. el chancito. Ahora voy a decir otro verso que también es muy lindo. Muchísimas gracias. Me salió un gallito.",1970,-1,9,-1____,9_auto_dijo dijo_micro_carabineros,True,False,0.12839893232543748
27,4,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,344.0,486.0,142.0,"Bueno, y ese es Tatín, ese personaje que considero que todos tenemos un Tatín adentro y eso es cierto. Después vamos a tener mucho tiempo, creo que si me aguantan 4 días acá, voy a tener mucho gusto en seguir actuando con Tatín. Ahora, como ustedes me han visto salir con la guitarra, posiblemente han pensado este ñato va a tocar la guitarra. Ojalá supiera. Pasa que esta guitarra es mía y como es mía yo la llevo donde quiero, pero no sé tocar la guitarra. La compré porque está de moda. Y cuando una cosa se pone de moda todo el mundo lo compra. No se vendían guitarras, entonces pusieron avisos por todos lados. Última moda tener guitarra. Suficiente, al poner última moda tener guitarra, ahí partieron todos los imbéciles a comprarse guitarra. Yo me compré ocho. Y con la guitarra viajando, viajando, viajando se me ocurrió hacer una cosa distinta, o sea, un dúo de uno. Porque todos los dúos son de a dos. Siempre. Entonces no va por ahí, el dúo fulano y fulano. ¿Y por qué tiene que ser de dos? No puede ser un dúo de a uno. Claro que sí. Ustedes pensarán que yo estoy loco, ¿no? Yo no estoy loco, soy loco. Este es uno de los instrumentos. Este es el otro. Este no lo van a ver ustedes en televisión, posiblemente sí. Es es el instrumento más chico que se ha inventado. Es un una armónica alemana de apenas cuatro ollitos. Y suena bastante, se pueden tocar muchas canciones. Parece fácil, ¿no? No es tan fácil. Yo para prenderme esta tonada que les voy a tocar, me he tragado 140 de esta. Y no sería nada tragársela. No se consiguen. Son alemanas, ya no fabrican más. Pero en fin, bueno, trataré de de ya que es la última que me queda. Además, molesto hacer la digestión con música.",7,"Bueno, y ese es Tatín, ese personaje que considero que todos tenemos un Tatín adentro y eso es cierto. Después vamos a tener mucho tiempo, creo que si me aguantan 4 días acá, voy a tener mucho gusto en seguir actuando con Tatín. Ahora, como ustedes me han visto salir con la guitarra, posiblemente han pensado este ñato va a tocar la guitarra. Ojalá supiera. Pasa que esta guitarra es mía y como es mía yo la llevo donde quiero, pero no sé tocar la guitarra. La compré porque está de moda. Y cuando una cosa se pone de moda todo el mundo lo compra. No se vendían guitarras, entonces pusieron avisos por todos lados. Última moda tener guitarra. Suficiente, al poner última moda tener guitarra, ahí partieron todos los imbéciles a comprarse guitarra. Yo me compré ocho. Y con la guitarra viajando, viajando, viajando se me ocurrió hacer una cosa distinta, o sea, un dúo de uno. Porque todos los dúos son de a dos. Siempre. Entonces no va por ahí, el dúo fulano y fulano. ¿Y por qué tiene que ser de dos? No puede ser un dúo de a uno. Claro que sí. Ustedes pensarán que yo estoy loco, ¿no? Yo no estoy loco, soy loco. Este es uno de los instrumentos. Este es el otro. Este no lo van a ver ustedes en televisión, posiblemente sí. Es es el instrumento más chico que se ha inventado. Es un una armónica alemana de apenas cuatro ollitos. Y suena bastante, se pueden tocar muchas canciones. Parece fácil, ¿no? No es tan fácil. Yo para prenderme esta tonada que les voy a tocar, me he tragado 140 de esta. Y no sería nada tragársela. No se consiguen. Son alemanas, ya no fabrican más. Pero en fin, bueno, trataré de de ya que es la última que me queda. Además, molesto hacer la digestión con música.",1970,1,1,1_canción_almas_cantar_vivo vivo,1_canción_almas_cantar_vivo vivo,False,False,0.11930247928319188
27,5,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,493.0,552.0,59.0,"Esta tonada es de un conocido nuestro y querido, una canción muy conocida en muchos países del mundo. En muchos países del mundo. Lucho Ubamondes, ¿quién no lo conoce? Él hizo esta tonada que se llama ""En de que te di"". No sé si lo habrán escuchado. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 22, 28, 30, 31, 32, 33, 35, 40, 41, 42, 43, 44, 45, 48, 50, 51, 52, 53, 54, 55, 59, 60, 61, 62, 65, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98, 99, 40, 50, 51, 57, 58, 59, 60, 61, 62, 64, 65, 66, 62, 64, 66, 67, 68, 69, 70, 71, 75, 76, 77, 78, 79, 80, 81, 82, 84, 87, 88, 89, 90.",8,"Esta tonada es de un conocido nuestro y querido, una canción muy conocida en muchos países del mundo. En muchos países del mundo. Lucho Ubamondes, ¿quién no lo conoce? Él hizo esta tonada que se llama ""En de que te di"". No sé si lo habrán escuchado. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 22, 28, 30, 31, 32, 33, 35, 40, 41, 42, 43, 44, 45, 48, 50, 51, 52, 53, 54, 55, 59, 60, 61, 62, 65, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98, 99, 40, 50, 51, 57, 58, 59, 60, 61, 62, 64, 65, 66, 62, 64, 66, 67, 68, 69, 70, 71, 75, 76, 77, 78, 79, 80, 81, 82, 84, 87, 88, 89, 90.",1970,-1,13,-1____,13_ay ay_salta salta_salta_ay,True,False,0.0406183628487365
27,6,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,552.0,633.0,81.0,"Antes que me la traiga, voy a aclarar una cosa muy importante. Que no, que es muy importante. Resulta que un día estaba actuando en el teatro haciendo esto mismo porque, generalmente, uno casi siempre hace lo mismo, ¿no? Porque el público tenía que cambiar. Y una señora me miraba; estaba en el medio de la platea, era un matrimonio. Yo me di cuenta que era matrimonio porque estaban muy amargados los dos. Serio, serio como perro en bote. Y la señora observó tanto y dijo: ""No es este ñato que está tocando"". Hay, este es truco. Claro, hay tantos trucos, ¿no? Hay otro que está tocando por otro lado o esto está grabado. Y, y, y yo me di cuenta; me, me ofendió. Me ofendió porque me costó aprender y la señora decía, le decía al marido, ¿no?: ""No es este"". Y yo como loco. Me dio rabia. Desde entonces aclaro: señores y señores, acá están todos los testigos, colegas, músicos y colegas... ya sé que si eran tocar como yo. Yo soy el que toco las dos cosas. Yo soy el dúo solo y dentro de poco voy a hacer un trío yo solo. No sé dónde me voy a meter la otra armónica, pero lo haré.",9,"Antes que me la traiga, voy a aclarar una cosa muy importante. Que no, que es muy importante. Resulta que un día estaba actuando en el teatro haciendo esto mismo porque, generalmente, uno casi siempre hace lo mismo, ¿no? Porque el público tenía que cambiar. Y una señora me miraba; estaba en el medio de la platea, era un matrimonio. Yo me di cuenta que era matrimonio porque estaban muy amargados los dos. Serio, serio como perro en bote. Y la señora observó tanto y dijo: ""No es este ñato que está tocando"". Hay, este es truco. Claro, hay tantos trucos, ¿no? Hay otro que está tocando por otro lado o esto está grabado. Y, y, y yo me di cuenta; me, me ofendió. Me ofendió porque me costó aprender y la señora decía, le decía al marido, ¿no?: ""No es este"". Y yo como loco. Me dio rabia. Desde entonces aclaro: señores y señores, acá están todos los testigos, colegas, músicos y colegas... ya sé que si eran tocar como yo. Yo soy el que toco las dos cosas. Yo soy el dúo solo y dentro de poco voy a hacer un trío yo solo. No sé dónde me voy a meter la otra armónica, pero lo haré.",1970,-1,0,-1____,0_presidente_país_huevón_pesos,True,False,0.03145905712125994
