Topic,Words,Frequency,Timestamp
-1,", , , , ",1,1970
0,"1000 pesos, 300 pesos, 1000, 300, pesos",4,1970
1,"vivo vivo, vivo, canción, cigarrillos, sueltos",23,1970
2,"versito, albert, sabe sabe, exactamente iguales, hacer invitación",5,1970
3,"indiana, papacito, va caminando, home, buen humor",12,1970
4,"pam, pam pam, rezando, astronautas, manicomio",6,1970
5,"trenes, quién descubrió, descubrió américa, traicionado, trencito",5,1970
6,"benavides, gloria benavides, platón, gloria, benavides cuatro",5,1970
7,"repertorio, decir cosa, tía va, realidad voy, mundo dice",2,1970
8,"amor amor, can, as, be, why",14,1970
9,"chancho, torre control, veníamos, chancha, control",10,1970
10,"florcita, basan, último día, quisiera pedirle, moment",8,1970
11,"cobucha, cobucha cobucha, crecen, cobucha va, creciendo cobucha",2,1970
12,"chao chao, chao, dije chao, tomar tomar, lloramos",7,1970
13,"66, 58, hollywood, quiero mostrarles, 87 88",5,1970
14,"miren aquí, aquí miren, mucha mucha, gane, miren",5,1970
16,"judío, italiano, elizabeth taylor, taylor, elizabeth",1,1970
17,"norteamericanos, jurado, juntan, japonés, noche noche",2,1970
19,"romero, jorge romero, acetatos, intendente, televisión nacional",9,1970
20,"telegrama, inútil, novio, monja, envidia",2,1970
21,"cómo muchas, muchas cómo, autor, entonces ahora, creía",2,1970
22,"decirle muchas, parte público, artista mostrado, público acá, faceta",1,1970
23,"fíjese voy, proseguir, hace menos, gente tan, axila",1,1970
24,"dio, amor, sostenido, pa pa, pa",2,1970
25,"debajo cama, goodman, debajo, despeinada, rato aquí",2,1970
26,"exceso, enfermedad, dile, hilo, porquería",3,1970
27,"voy ver, ver dar, ver hago, dar, ver",1,1970
29,"dinero, da dinero, da da, da, pan",1,1970
1,"monóculo, remamos, coro, plumero, llaman acá",12,1980
2,"antonio, fecha, portero, llorando, ningún programa",3,1980
3,"satélite, hugo, hugo varela, varela, cortó",5,1980
4,"palabras, súper, carne humana, vente, naturalmente",3,1980
6,"paz paz, paz, digo, quinta, vergara",1,1980
7,"oiga, abuela, pues oiga, carretilla, abuelo",7,1980
8,"pedazo, abajo aunque, aunque parezca, hacerte feliz, malvado",1,1980
9,"chancho, lolo, documentos, chancho así, moto",7,1980
10,"don fermín, fermín, resulta llegué, gara, iba calle",2,1980
12,"acontece, teniente, escúchame, niñas, aquí hombre",4,1980
13,"distancia, palma, silencio, entonces hagamos, imprime",4,1980
14,"música folclórica, agradecido ustedes, gustaría ahí, humor amigo, pasado bueno",3,1980
