show,n_segments
Pedro Ruminot,187
Dinamita Show,167
Edo Caroe,151
Dino Gordillo,135
Álvaro Salas,132
Juan Pablo López,125
Coco Legrand,122
Palta Meléndez,121
Fabrizio Copano,108
"Daniela ""Chiqui"" Aguayo",102
"Juan Luis ""Jajá"" Calderón",102
Los Locos del Humor,100
Paulo Iglesias,90
Bombo Fica,89
Sandy,88
Arturo Ruiz-Tagle,85
Los Indolatinos,81
Hermógenes Conache,77
Gloria Benavides,74
Stefan Kramer,74
Fusión Humor,70
Rodrigo Villegas,67
Javiera Contador,65
Alison Mandel,63
Mauricio Palma,59
Jorge Alís,58
"Carlos ""El Mono"" Sánchez",55
Melón y Melame,55
Luis Slimming,54
Rodrigo González,53
Pamela Leiva,51
Ricardo Meruane,50
Sergio Freire,49
Los Atletas de la Risa,47
Natalia Valdebenito,46
Alejandra Azcárate,46
Jenny Cavallo,44
León Murillo,43
Belén Mora,42
"Jorge ""Chino"" Navarrete",42
Ernesto Belloni,40
Profesor Salomón y Tutu-Tutu,39
Felipe Avello,37
"Paul Vásquez ""El Flaco""",37
Payahop,36
Jani Dueñas,34
Óscar Gangas,34
Zip-Zup,34
Pujillay,33
Memo Bunke,33
Hugo Varela,30
Alex Ortiz,30
Diego Urrutia,29
Ruperto,29
Pam Pam,28
Bastián Paz,28
"Daniel Muñoz ""El Carmelo""",26
Huaso Filomeno,25
Hugo Goodman,24
Centella,24
Carlos García,24
Gigi Martin,21
Pancho del Sur,21
Sarah Sanders,20
El Pampero,19
Rudy Rey,18
Julio Sabala,18
Lucho Miranda,18
George Harris,17
Millenium Show,16
El Huaso Clavel,14
Natalia Cuevas,14
Edmundo Arrocet,13
Carlos Helo,12
Felo,11
Memo Bunke y Natalia Cuevas,11
Lucho Navarro,10
Vanessa Miller,9
Manpoval,9
Los Acetatos,8
Jappening con ja,7
Piña Colada,6
"Esteban ""Ronco"" Retes",5
"Daniel Muñoz ""El Malo""",5
Tato Cifuentes,5
Jorge Romero,4
Jorge Pérez,4
Gilberto Gless,2
Los Muleros,1
Nancho Parra,1
