Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
62,día_dije_ahora_dijo_bueno,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",59,chico_pam_cabro_niño_agua,61,bueno_día_mira_va_bien,0.9211266597508294
61,bueno_día_mira_va_bien,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29]",54,doctor_señor_auto_pesos_plata,60,mamá_mira_bien_chile_amor,0.8850639034476775
60,mamá_mira_bien_chile_amor,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 23, 27, 28, 29]",52,show_fome_dichato_ciudad_oh oh,56,mamá_mira_amor_mujer_bien,0.8758592726296041
59,chico_pam_cabro_niño_agua,"[21, 25, 30, 31]",30,maestro_foto_llené_comentar_fanfarria,58,chico_pam_cabro_niño_agua,0.8653772501472673
58,chico_pam_cabro_niño_agua,"[21, 25, 31]",57,chico_cabro_niño_cabro chico_agua,21,pam_pam pam_luna_tenis_toallita,0.8551372314567336
57,chico_cabro_niño_cabro chico_agua,"[25, 31]",31,niño_cabro chico_cabro_chico_play,25,agua_pez_pueblo_nadar_ahí pez,0.8381460155230608
56,mamá_mira_amor_mujer_bien,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 16, 17, 19, 23, 27, 28, 29]",55,mamá_mira_amor_bien_ser,27,espejo_hermana_bonita_ropa_andrés,0.8240670702684748
55,mamá_mira_amor_bien_ser,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 16, 17, 19, 23, 28, 29]",28,terremoto_noticias_ta_grado_ta ta,53,mamá_amor_mira_ser_mujer,0.8206994999006699
54,doctor_señor_auto_pesos_plata,"[7, 12, 14, 20, 22, 24, 26]",46,doctor_farmacia_viagra_médico_viejito,50,pesos_loro_auto_plata_carabinero,0.8109890381006419
53,mamá_amor_mira_ser_mujer,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 16, 17, 19, 23, 29]",51,mamá_amor_mira_ser_mujer,16,cielo_pi_san pedro_pérez_juan pérez,0.8005041439573879
52,show_fome_dichato_ciudad_oh oh,"[15, 18]",15,fome_show_oh oh_dichato_stand,18,ciudad_temuco_emocionante_buenas noches_noches,0.7936142513460368
51,mamá_amor_mira_ser_mujer,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 17, 19, 23, 29]",47,almas_celular_amiga_teléfono_tele,49,mamá_amor_mujer_ser_mira,0.7885895795268775
50,pesos_loro_auto_plata_carabinero,"[7, 12, 14, 24, 26]",48,loro_pesos_auto_carabinero_micro,12,marihuana_jimmy_droga_vino_fumar,0.7776843070317311
49,mamá_amor_mujer_ser_mira,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 19, 23]",42,mujer_ser_chile_amor_mujeres,43,colegio_mamá_tac_profe_papá,0.7673669658785423
