segment_idx,show,year
0,Tato Cifuentes,1973
1,Tato Cifuentes,1973
2,Tato Cifuentes,1973
3,Tato Cifuentes,1973
4,Los Acetatos,1973
5,Los Acetatos,1973
6,Los Acetatos,1973
7,Los Acetatos,1973
8,Los Acetatos,1973
9,Los Acetatos,1973
10,Los Acetatos,1973
11,Los Acetatos,1973
12,Tato Cifuentes,1974
13,Hugo Goodman,1974
14,Hugo Goodman,1974
15,Hugo Goodman,1974
16,Hugo Goodman,1974
17,Hugo Goodman,1974
18,Hugo Goodman,1974
19,Hugo Goodman,1974
20,Hugo Goodman,1974
21,Hugo Goodman,1974
22,Hugo Goodman,1974
23,Hugo Goodman,1974
24,Hugo Goodman,1974
25,Hugo Goodman,1974
26,Hugo Goodman,1974
27,Hugo Goodman,1974
28,Hugo Goodman,1974
29,Hugo Goodman,1974
30,Hugo Goodman,1974
31,Hugo Goodman,1974
32,Hugo Goodman,1974
33,Hugo Goodman,1974
34,Hugo Goodman,1974
35,Hugo Goodman,1974
36,Hugo Goodman,1974
37,Los Muleros,1976
38,Gloria Benavides,1977
39,Gloria Benavides,1977
40,Gloria Benavides,1977
41,Gloria Benavides,1977
42,Gloria Benavides,1977
43,Gloria Benavides,1977
44,Gloria Benavides,1977
45,Gloria Benavides,1977
46,Gloria Benavides,1977
47,Gloria Benavides,1977
48,Edmundo Arrocet,1978
49,Edmundo Arrocet,1978
50,Edmundo Arrocet,1978
51,Edmundo Arrocet,1978
52,Edmundo Arrocet,1978
53,Edmundo Arrocet,1978
54,Edmundo Arrocet,1978
55,Edmundo Arrocet,1978
56,Edmundo Arrocet,1978
57,Edmundo Arrocet,1978
58,Edmundo Arrocet,1978
59,Edmundo Arrocet,1978
60,Edmundo Arrocet,1978
61,Carlos Helo,1979
62,Carlos Helo,1979
63,Carlos Helo,1979
64,Carlos Helo,1979
65,Carlos Helo,1979
66,Carlos Helo,1979
67,Carlos Helo,1979
68,Carlos Helo,1979
69,Carlos Helo,1979
70,Carlos Helo,1979
71,Carlos Helo,1979
72,Carlos Helo,1979
73,Jorge Romero,1979
74,Jorge Romero,1979
75,Jorge Romero,1979
76,Jorge Romero,1979
77,Coco Legrand,1980
78,Coco Legrand,1980
79,"Esteban ""Ronco"" Retes",1984
80,"Esteban ""Ronco"" Retes",1984
81,"Esteban ""Ronco"" Retes",1984
82,"Esteban ""Ronco"" Retes",1984
83,"Esteban ""Ronco"" Retes",1984
84,El Huaso Clavel,1988
85,El Huaso Clavel,1988
86,El Huaso Clavel,1988
87,El Huaso Clavel,1988
88,El Huaso Clavel,1988
89,El Huaso Clavel,1988
90,El Huaso Clavel,1988
91,El Huaso Clavel,1988
92,El Huaso Clavel,1988
93,El Huaso Clavel,1988
94,El Huaso Clavel,1988
95,El Huaso Clavel,1988
96,El Huaso Clavel,1988
97,El Huaso Clavel,1988
98,Hugo Varela,1989
99,Hugo Varela,1989
100,Hugo Varela,1989
101,Hugo Varela,1989
102,Hugo Varela,1989
103,Hugo Varela,1989
104,Hugo Varela,1989
105,Hugo Varela,1989
106,Hugo Varela,1989
107,Hugo Varela,1989
108,Hugo Varela,1989
109,Hugo Varela,1989
110,Hugo Varela,1989
111,Hugo Varela,1989
112,Hugo Varela,1989
113,Pujillay,1990
114,Pujillay,1990
115,Pujillay,1990
116,Pujillay,1990
117,Pujillay,1990
118,Pujillay,1990
119,Pujillay,1990
120,Pujillay,1990
121,Pujillay,1990
122,Pujillay,1990
123,Pujillay,1990
124,Pujillay,1990
125,Pujillay,1990
126,Pujillay,1990
127,Pujillay,1990
128,Pujillay,1990
129,Pujillay,1990
130,Pujillay,1990
131,Pujillay,1990
132,Pujillay,1990
133,Pujillay,1990
134,Pujillay,1990
135,Pujillay,1990
136,Pujillay,1990
137,Pujillay,1990
138,Pujillay,1990
139,Pujillay,1990
140,Pujillay,1990
141,Pujillay,1990
142,Pujillay,1990
143,Pujillay,1990
144,Pujillay,1990
145,Pujillay,1990
146,Palta Meléndez,1991
147,Palta Meléndez,1991
148,Palta Meléndez,1991
149,Palta Meléndez,1991
150,Palta Meléndez,1991
151,Palta Meléndez,1991
152,Palta Meléndez,1991
153,Palta Meléndez,1991
154,Palta Meléndez,1991
155,Palta Meléndez,1991
156,Palta Meléndez,1991
157,Palta Meléndez,1991
158,Palta Meléndez,1991
159,Palta Meléndez,1991
160,Palta Meléndez,1991
161,Palta Meléndez,1991
162,Palta Meléndez,1991
163,Palta Meléndez,1991
164,Palta Meléndez,1991
165,Palta Meléndez,1991
166,Palta Meléndez,1991
167,Palta Meléndez,1991
168,Palta Meléndez,1991
169,Palta Meléndez,1991
170,Palta Meléndez,1991
171,Palta Meléndez,1991
172,Palta Meléndez,1991
173,Palta Meléndez,1991
174,Palta Meléndez,1991
175,Palta Meléndez,1991
176,Palta Meléndez,1991
177,Palta Meléndez,1991
178,Palta Meléndez,1991
