segment_idx,topic_id_matrix,topic_id_assumed,p_topic
0,1,1,0.010919134002859992
0,13,13,0.011736755099983849
0,16,16,0.012841315249363213
0,17,17,0.010311655840909682
0,20,20,0.010623558746174763
0,21,21,0.010481923398143033
0,26,26,0.010770064938202508
0,31,31,0.011367442026773382
0,33,33,0.013464615182869752
0,34,34,0.010715200182312081
0,37,37,0.010152475855136128
1,35,35,1.0
2,35,35,1.0
3,1,1,0.022310331013025795
3,2,2,0.012271004765117707
3,3,3,0.025927032349749145
3,4,4,0.010306890301985934
3,5,5,0.10077044489998961
3,10,10,0.012976403329736083
3,11,11,0.011769823947597615
3,13,13,0.012814031168314775
3,14,14,0.011517435933015173
3,15,15,0.01035067069558748
3,16,16,0.012481828192429247
3,17,17,0.015520463869858827
3,18,18,0.08156574827036568
3,20,20,0.010054867776222144
3,21,21,0.01604107415889253
3,22,22,0.01098148764753899
3,24,24,0.010487266224178003
3,26,26,0.013073528526436472
3,27,27,0.016476888900753994
3,30,30,0.01828915288950298
3,31,31,0.04385827379150305
3,32,32,0.013771892507557825
3,33,33,0.021888689506015722
3,34,34,0.018358905202888447
3,37,37,0.013201329682069551
4,0,0,0.012594779715433033
4,1,1,0.019406087871083413
4,2,2,0.010719810014013278
4,3,3,0.01092428458042786
4,4,4,0.011141597077554287
4,5,5,0.014998073056137673
4,6,6,0.026012012038753377
4,7,7,0.013229483211435846
4,8,8,0.024380636500343347
4,9,9,0.010047813358711292
4,10,10,0.018024157796150922
4,11,11,0.017750754949738788
4,12,12,0.021226274543727598
4,13,13,0.02934558127765448
4,14,14,0.012486157319021671
4,15,15,0.014027547429757797
4,16,16,0.02832020694853659
4,17,17,0.0215853014904364
4,18,18,0.014365814542192762
4,19,19,0.020657427033268862
4,20,20,0.06796080753713049
4,21,21,0.014423971055494296
4,22,22,0.015006607856007409
4,23,23,0.012342491401887935
4,24,24,0.014737318233593252
4,25,25,0.023992224258644338
4,26,26,0.017183790446533495
4,27,27,0.012306250649627239
4,29,29,0.025903770966001834
4,30,30,0.012924998956800446
4,31,31,0.02461468806741602
4,32,32,0.023876176577669064
4,33,33,0.024142265745290558
4,34,34,0.023099550944361925
4,35,35,0.024295118912411737
4,36,36,0.016897506483001184
4,37,37,0.016171921793811637
5,20,20,1.0
6,20,20,1.0
7,0,0,0.012624699982351389
7,1,1,0.02047019236624559
7,2,2,0.010861773924738343
7,3,3,0.011124102572205141
7,4,4,0.011512875441065915
7,5,5,0.015295424869034256
7,6,6,0.024514603181455197
7,7,7,0.013102674417245951
7,8,8,0.024610379975971056
7,9,9,0.010230679046138821
7,10,10,0.017908958871125202
7,11,11,0.017701993435624997
7,12,12,0.021152424526794594
7,13,13,0.02961786461010895
7,14,14,0.012613300394313387
7,15,15,0.01469378777779107
7,16,16,0.030173155970680043
7,17,17,0.021777942976527714
7,18,18,0.014649448794142145
7,19,19,0.01997092624406121
7,20,20,0.06192723022307048
7,21,21,0.015093112635474956
7,22,22,0.015091597538388823
7,23,23,0.012569556572706994
7,24,24,0.015265972776093303
7,25,25,0.02367384009104108
7,26,26,0.01780647114563357
7,27,27,0.012860606869321809
7,29,29,0.02522211428072945
7,30,30,0.013194739729840433
7,31,31,0.024890125141221534
7,32,32,0.023460580656243395
7,33,33,0.024547943068018517
7,34,34,0.02282578245854618
7,35,35,0.024538231735072927
7,36,36,0.016862461693504575
7,37,37,0.016555261870413323
8,23,23,0.03397320640901947
9,0,0,0.015414214582906654
9,1,1,0.012900092602756664
9,2,2,0.010119819111064951
9,5,5,0.010068532464090037
9,6,6,0.14146325751540437
9,7,7,0.022283370971123317
9,8,8,0.01932544596902428
9,10,10,0.015373761242052222
9,11,11,0.016025129989532934
9,12,12,0.02005904533544185
9,13,13,0.020286465689385302
9,14,14,0.010890935529356216
9,15,15,0.01102818666421277
9,16,16,0.01504894690620751
9,17,17,0.015420081293600863
9,18,18,0.010622207479118979
9,19,19,0.05739186988107334
9,20,20,0.029740291034138184
9,21,21,0.010190319259165716
9,22,22,0.014005303181200046
9,23,23,0.014451219076719903
9,24,24,0.011415146445168342
9,25,25,0.02331502302536472
9,26,26,0.013158169955016945
9,28,28,0.010004893449525166
9,29,29,0.02864991802713621
9,30,30,0.010646855117597241
9,31,31,0.01324488051551642
9,32,32,0.021426548258394455
9,33,33,0.01426559950711522
9,34,34,0.016104092832697738
9,35,35,0.01882364582399024
9,36,36,0.015548568348481874
9,37,37,0.01244117505928906
10,0,0,0.01678799608921242
10,1,1,0.011634908639041968
10,6,6,0.019862961055702916
10,7,7,0.015423714821863756
10,8,8,0.06615064903161302
10,9,9,0.010962514422256684
10,10,10,0.015353104051653558
10,11,11,0.01497775892723843
10,12,12,0.05352200178027178
10,13,13,0.03334931137237132
10,14,14,0.01122221773197849
10,15,15,0.012161435627473217
10,16,16,0.013621256096463004
10,17,17,0.014528796675005938
10,18,18,0.010140992284443939
10,19,19,0.019352439068751913
10,20,20,0.043339672750390926
10,21,21,0.010539621101211772
10,22,22,0.016588704631843063
10,23,23,0.010954727136816854
10,24,24,0.016309497521652283
10,25,25,0.048766190947782825
10,26,26,0.012722647872910787
10,28,28,0.011319758708965327
10,29,29,0.048911645255793196
10,31,31,0.013197410411980984
10,32,32,0.016943249119443893
10,33,33,0.01501368901387366
10,34,34,0.016544843899113985
10,35,35,0.07657945501332794
10,36,36,0.016727926381154636
10,37,37,0.015464040453485676
11,13,13,1.0
12,0,0,0.010362613373679944
12,1,1,0.1905579593188472
12,2,2,0.021670882367230183
12,3,3,0.018346321299697786
12,4,4,0.023571128724297185
12,5,5,0.024835475730524012
12,6,6,0.013432690244938655
12,8,8,0.01553928436224728
12,9,9,0.011621914259589194
12,10,10,0.017718415450959667
12,11,11,0.019146188731070567
