id,routine_id,joke_idx,comedian,year,date,festival,event_name,youtube_url,text,show,source_row_index,model_text,model_decade,topic_initial,topic_final,topic_name_initial,topic_name_final,is_outlier_initial,is_outlier_final,max_topic_probability
1,27,0,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,"Muy buenas noches, señoras, señores. En realidad, es un tremendo placer volver a estar en mi patria y tratar de divertirles por intermedio de mis personajes y de algunas cositas que deseo que sean de vuestro agrado. En primer lugar, le Les voy a hacer una invitación de un personaje o de algo que tenemos todos los seres humanos, porque mientras más años uno vive, más se da cuenta que todos los seres humanos somos exactamente iguales. Todos tenemos un chiquito, especialmente los hombres. Y mientras más años pasan, más chiquito, más inocente y más ingenuo. Por eso, cuando los abuelitos llegan a abuelitos, se ponen como niñitos chicos. Entonces, entonces yo voy a hacer la invitación de cada uno de ustedes, inclusive ustedes que están en su casa, cuando tenían 5 años. A esa edad, todos los niños son exactamente iguales. Tienen que decir un versito porque el papá, la abuela o la tía dice en la casa: «Vaya, mi hijito, y diga un versito». Y los deficientes tienen que aguantar al niñito. No hay más remedio. Así que a ustedes les ruego se imaginen que ahora soy un niñito de 5 años. Olvídense que soy un muchacho de 28 años porque el efecto, mucho mejor. 29. Bueno, la descendencia de todos los hogares, ustedes se van a acordar al tiro de esto. «Mi hijo dice versito. Dígale un versito a la visita. Le encanta decir versito. Venga, mijito, diga». Buenas tardes. Voy, voy, voy a decir un versito porque, porque, porque sí. Yo siempre, siempre digo versito porque salgo mucho versito... todo esto: 8, 14, 5, 4, 3... Voy a decir un besito. ¿Qué se llama? ¿Cómo se llama? No te, no te... No sabe, no sabe, no sabe, no sabe, no sabe, no... Este... Necesito que me diga, se llama, ah, ahora que me olvidé mi acuerdo. Se llama el chanchito es. Pero bueno, no se ríen porque es muy triste, porque se trata de de la vida de un chanchito que una vez se miró en el espejo y vio que tenía cara de chancho. Y se asustó. Se asustó dijo, «Uh.» Uh. Así dijo. Y tenía tenía pata de chancho, ojo de chancho, oreja de chancho, nariz, no, no tenía nariz, tenía un enchufe. Eh, y tenía Y tenía Tenía, tenía todo el puerco forrado en cuero de chancho. Y tenía la cabeza acá. Y eh Y entonces tenía la cabeza acá y Hay hay chancho grande y chancho grande, chancho chico. Pero son chancho igual. Este tenía la cabeza acá. La madre, la madre era una chancha. Era una chancha la madre. La madre era una chancha y el padre era un chancha. Ella sí enchanchada. Ahora viene el versito. Pero no, se ríen porque es muy triste, vida, pasión y muerte del chanchito. el chancito.",Tato Cifuentes,0,"Muy buenas noches, señoras, señores. En realidad, es un tremendo placer volver a estar en mi patria y tratar de divertirles por intermedio de mis personajes y de algunas cositas que deseo que sean de vuestro agrado. En primer lugar, le Les voy a hacer una invitación de un personaje o de algo que tenemos todos los seres humanos, porque mientras más años uno vive, más se da cuenta que todos los seres humanos somos exactamente iguales. Todos tenemos un chiquito, especialmente los hombres. Y mientras más años pasan, más chiquito, más inocente y más ingenuo. Por eso, cuando los abuelitos llegan a abuelitos, se ponen como niñitos chicos. Entonces, entonces yo voy a hacer la invitación de cada uno de ustedes, inclusive ustedes que están en su casa, cuando tenían 5 años. A esa edad, todos los niños son exactamente iguales. Tienen que decir un versito porque el papá, la abuela o la tía dice en la casa: «Vaya, mi hijito, y diga un versito». Y los deficientes tienen que aguantar al niñito. No hay más remedio. Así que a ustedes les ruego se imaginen que ahora soy un niñito de 5 años. Olvídense que soy un muchacho de 28 años porque el efecto, mucho mejor. 29. Bueno, la descendencia de todos los hogares, ustedes se van a acordar al tiro de esto. «Mi hijo dice versito. Dígale un versito a la visita. Le encanta decir versito. Venga, mijito, diga». Buenas tardes. Voy, voy, voy a decir un versito porque, porque, porque sí. Yo siempre, siempre digo versito porque salgo mucho versito... todo esto: 8, 14, 5, 4, 3... Voy a decir un besito. ¿Qué se llama? ¿Cómo se llama? No te, no te... No sabe, no sabe, no sabe, no sabe, no sabe, no... Este... Necesito que me diga, se llama, ah, ahora que me olvidé mi acuerdo. Se llama el chanchito es. Pero bueno, no se ríen porque es muy triste, porque se trata de de la vida de un chanchito que una vez se miró en el espejo y vio que tenía cara de chancho. Y se asustó. Se asustó dijo, «Uh.» Uh. Así dijo. Y tenía tenía pata de chancho, ojo de chancho, oreja de chancho, nariz, no, no tenía nariz, tenía un enchufe. Eh, y tenía Y tenía Tenía, tenía todo el puerco forrado en cuero de chancho. Y tenía la cabeza acá. Y eh Y entonces tenía la cabeza acá y Hay hay chancho grande y chancho grande, chancho chico. Pero son chancho igual. Este tenía la cabeza acá. La madre, la madre era una chancha. Era una chancha la madre. La madre era una chancha y el padre era un chancha. Ella sí enchanchada. Ahora viene el versito. Pero no, se ríen porque es muy triste, vida, pasión y muerte del chanchito. el chancito.",1970,-1,0,,0_perro_perrito_mono_gallo,True,False,0.05261563076825556
2,27,1,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,"Ahora, como ustedes me han visto salir con la guitarra, posiblemente han pensado: «este ñato va a tocar la guitarra». Ojalá supiera. Pasa que esta guitarra es mía y como es mía yo la llevo donde quiero, pero no sé tocar la guitarra. La compré porque está de moda. Y cuando una cosa se pone de moda todo el mundo lo compra. No se vendían guitarras, entonces pusieron avisos por todos lados: «Última moda tener guitarra». Suficiente, al poner última moda tener guitarra, ahí partieron todos los imbéciles a comprarse guitarra. Yo me compré ocho.",Tato Cifuentes,1,"Ahora, como ustedes me han visto salir con la guitarra, posiblemente han pensado: «este ñato va a tocar la guitarra». Ojalá supiera. Pasa que esta guitarra es mía y como es mía yo la llevo donde quiero, pero no sé tocar la guitarra. La compré porque está de moda. Y cuando una cosa se pone de moda todo el mundo lo compra. No se vendían guitarras, entonces pusieron avisos por todos lados: «Última moda tener guitarra». Suficiente, al poner última moda tener guitarra, ahí partieron todos los imbéciles a comprarse guitarra. Yo me compré ocho.",1970,1,1,1_canción_pegado_música_luis,1_canción_pegado_música_luis,False,False,0.07798087450685855
3,27,2,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,"Y con la guitarra viajando, viajando, viajando se me ocurrió hacer una cosa distinta, o sea, un dúo de uno. Porque todos los dúos son de a dos. Siempre. Entonces no va por ahí, el dúo fulano y fulano. ¿Y por qué tiene que ser de dos? ¿No puede ser un dúo de a uno? Claro que sí. Ustedes pensarán que yo estoy loco, ¿no? Yo no estoy loco, soy loco. Este es uno de los instrumentos. Este es el otro. Este no lo van a ver ustedes en televisión, posiblemente sí. Es el instrumento más chico que se ha inventado. Es una armónica alemana de apenas cuatro ollitos. Y suena bastante, se pueden tocar muchas canciones. Parece fácil, ¿no? No es tan fácil. Yo para aprenderme esta tonada que les voy a tocar, me he tragado 140 de estas. Y no sería nada tragársela; el problema es que no se consiguen. Son alemanas, ya no fabrican más. Pero en fin, trataré de tocarla ya que es la última que me queda. Además, es molesto hacer la digestión con música.",Tato Cifuentes,2,"Y con la guitarra viajando, viajando, viajando se me ocurrió hacer una cosa distinta, o sea, un dúo de uno. Porque todos los dúos son de a dos. Siempre. Entonces no va por ahí, el dúo fulano y fulano. ¿Y por qué tiene que ser de dos? ¿No puede ser un dúo de a uno? Claro que sí. Ustedes pensarán que yo estoy loco, ¿no? Yo no estoy loco, soy loco. Este es uno de los instrumentos. Este es el otro. Este no lo van a ver ustedes en televisión, posiblemente sí. Es el instrumento más chico que se ha inventado. Es una armónica alemana de apenas cuatro ollitos. Y suena bastante, se pueden tocar muchas canciones. Parece fácil, ¿no? No es tan fácil. Yo para aprenderme esta tonada que les voy a tocar, me he tragado 140 de estas. Y no sería nada tragársela; el problema es que no se consiguen. Son alemanas, ya no fabrican más. Pero en fin, trataré de tocarla ya que es la última que me queda. Además, es molesto hacer la digestión con música.",1970,1,1,1_canción_pegado_música_luis,1_canción_pegado_música_luis,False,False,0.07667824235543365
4,27,3,Tato Cifuentes,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=CVMZsiv-GTY,"Resulta que un día estaba actuando en el teatro haciendo esto mismo porque, generalmente, uno casi siempre hace lo mismo, ¿no? Porque el público tenía que cambiar. Y una señora me miraba; estaba en el medio de la platea, era un matrimonio. Yo me di cuenta que era matrimonio porque estaban muy amargados los dos. Serio, serio como perro en bote. Y la señora observó tanto y dijo: «No es este ñato que está tocando». Hay, este es truco. Claro, hay tantos trucos, ¿no? Hay otro que está tocando por otro lado o esto está grabado. Y, y, y yo me di cuenta; me, me ofendió. Me ofendió porque me costó aprender y la señora decía, le decía al marido, ¿no?: «No es este». Y yo como loco. Me dio rabia. Desde entonces aclaro: señores y señores, acá están todos los testigos, colegas, músicos y colegas... ya sé que si eran tocar como yo. Yo soy el que toco las dos cosas. Yo soy el dúo solo y dentro de poco voy a hacer un trío yo solo. No sé dónde me voy a meter la otra armónica, pero lo haré.",Tato Cifuentes,3,"Resulta que un día estaba actuando en el teatro haciendo esto mismo porque, generalmente, uno casi siempre hace lo mismo, ¿no? Porque el público tenía que cambiar. Y una señora me miraba; estaba en el medio de la platea, era un matrimonio. Yo me di cuenta que era matrimonio porque estaban muy amargados los dos. Serio, serio como perro en bote. Y la señora observó tanto y dijo: «No es este ñato que está tocando». Hay, este es truco. Claro, hay tantos trucos, ¿no? Hay otro que está tocando por otro lado o esto está grabado. Y, y, y yo me di cuenta; me, me ofendió. Me ofendió porque me costó aprender y la señora decía, le decía al marido, ¿no?: «No es este». Y yo como loco. Me dio rabia. Desde entonces aclaro: señores y señores, acá están todos los testigos, colegas, músicos y colegas... ya sé que si eran tocar como yo. Yo soy el que toco las dos cosas. Yo soy el dúo solo y dentro de poco voy a hacer un trío yo solo. No sé dónde me voy a meter la otra armónica, pero lo haré.",1970,15,15,15_fome_show_oh oh_dichato,15_fome_show_oh oh_dichato,False,False,0.129472143135347
5,29,0,Los Acetatos,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=MADR8N_Vbls,"Alone, why must I be alone? I spent so many hours with you. How can I be alone? I think, I think I dream alone. I think we were made for us to share and I dream alone. There's such a thing as forgiving, so why can't you forgive? There's such a thing as forgiving, can't you forgive? There's such a thing as forgiving, can't you forgive? Forgive and forget. Of course. Why not we be here apart? Let's pull on together and never be alone. There's such a thing as forgiving. So why can't you forgive? There's such a thing as forgetting. Can't you forgive and forget? Oh God. Why must we be apart? But we are together and never be apart. La la la la la, la la la la la.",Los Acetatos,4,"Alone, why must I be alone? I spent so many hours with you. How can I be alone? I think, I think I dream alone. I think we were made for us to share and I dream alone. There's such a thing as forgiving, so why can't you forgive? There's such a thing as forgiving, can't you forgive? There's such a thing as forgiving, can't you forgive? Forgive and forget. Of course. Why not we be here apart? Let's pull on together and never be alone. There's such a thing as forgiving. So why can't you forgive? There's such a thing as forgetting. Can't you forgive and forget? Oh God. Why must we be apart? But we are together and never be apart. La la la la la, la la la la la.",1970,-1,1,,1_canción_pegado_música_luis,True,False,0.038621713783719425
6,29,1,Los Acetatos,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=MADR8N_Vbls,"Y cumpliendo numerosas peticiones, ahora le voy a cantar un bolero, «Dos almas». Dame todo, Nubo. Ajá. Dos almas que unidas yo... Dos almas que se amaban. Eso era. Por la sangre de este inmenso amor nos lavamos la vida. Como amamos de, de, de, de, de. Un día en el camino, que gustaban nuestras almas... Surgió una onda de odio que nos deja rodadón. Y decía que mejor fuera morir ni se cañare podemos ya vivir. ¿Qué? ¿Qué fue? ¿Qué pasó? ¿Qué? ¿Qué fue? ¿Qué pasó? Ah, ¿me toca a mí? Ya va, pues. Y un día en el camino que cruzaba nuestra alma, tuyo una canción yo, yo que no sé. Y decía que podemos ya, podemos ya.",Los Acetatos,5,"Y cumpliendo numerosas peticiones, ahora le voy a cantar un bolero, «Dos almas». Dame todo, Nubo. Ajá. Dos almas que unidas yo... Dos almas que se amaban. Eso era. Por la sangre de este inmenso amor nos lavamos la vida. Como amamos de, de, de, de, de. Un día en el camino, que gustaban nuestras almas... Surgió una onda de odio que nos deja rodadón. Y decía que mejor fuera morir ni se cañare podemos ya vivir. ¿Qué? ¿Qué fue? ¿Qué pasó? ¿Qué? ¿Qué fue? ¿Qué pasó? Ah, ¿me toca a mí? Ya va, pues. Y un día en el camino que cruzaba nuestra alma, tuyo una canción yo, yo que no sé. Y decía que podemos ya, podemos ya.",1970,1,1,1_canción_pegado_música_luis,1_canción_pegado_música_luis,False,False,0.1730492180061665
7,29,2,Los Acetatos,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=MADR8N_Vbls,En el ranking internacional de Los Acetatos canta Sandro. Así como una rosa resechea por el viento. Así como una hoja reseca por el sol. Así como se enroja de costado un el viejo. Así mi alma tu imagen arrojó. Así como se marcha la noche con el día. Así como se aleja un velero hacia el tamarindo. Así... y como se escapa el agua entre los dedos. Así te dejé ir sin meditar.,Los Acetatos,6,En el ranking internacional de Los Acetatos canta Sandro. Así como una rosa resechea por el viento. Así como una hoja reseca por el sol. Así como se enroja de costado un el viejo. Así mi alma tu imagen arrojó. Así como se marcha la noche con el día. Así como se aleja un velero hacia el tamarindo. Así... y como se escapa el agua entre los dedos. Así te dejé ir sin meditar.,1970,16,16,16_cielo_pi_san pedro_pérez,16_cielo_pi_san pedro_pérez,False,False,0.10738876831231485
8,29,3,Los Acetatos,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=MADR8N_Vbls,"Éxito mundial, el fenómeno Rafael. No. No supliques tanto, por favor. Déjame tranquilo que es mejor, pues no quiero ni saber de tu amor. Sí, sigue hablando así por caridad. Dime que me quieres por piedad. Que me llegue yo a creer que es verdad. Eres tú todo el mundo para mí. Nadie te ha querido como yo. Siga hablando así y seré feliz y seré feliz. Sí, sí, sí. No. Sí, sí, sí. No.",Los Acetatos,7,"Éxito mundial, el fenómeno Rafael. No. No supliques tanto, por favor. Déjame tranquilo que es mejor, pues no quiero ni saber de tu amor. Sí, sigue hablando así por caridad. Dime que me quieres por piedad. Que me llegue yo a creer que es verdad. Eres tú todo el mundo para mí. Nadie te ha querido como yo. Siga hablando así y seré feliz y seré feliz. Sí, sí, sí. No. Sí, sí, sí. No.",1970,-1,1,,1_canción_pegado_música_luis,True,False,0.039909461064831994
9,29,4,Los Acetatos,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=MADR8N_Vbls,"The Three Gold Eskimos are on the air. When the dog slinks full of vegetables for your local grocery. And to start the show off tonight, here is that sensational hit «Back Home in Indiana». And I long for my Indiana home. And that sensational hit, «Back Home Again in Indiana». Oh! Indiana! Hoo! Es el sábado de la home again in Indiana. In Indiana. Was the show so gay? It's your destiny. It's your destiny. It's your destiny. It's your destiny. It's your destiny. Roznie się bierz. E się wini ja na hołd. Ja.",Los Acetatos,8,"The Three Gold Eskimos are on the air. When the dog slinks full of vegetables for your local grocery. And to start the show off tonight, here is that sensational hit «Back Home in Indiana». And I long for my Indiana home. And that sensational hit, «Back Home Again in Indiana». Oh! Indiana! Hoo! Es el sábado de la home again in Indiana. In Indiana. Was the show so gay? It's your destiny. It's your destiny. It's your destiny. It's your destiny. It's your destiny. Roznie się bierz. E się wini ja na hołd. Ja.",1970,-1,2,,2_chileno_chile_chilenos_argentino,True,False,0.05877923627103207
10,29,5,Los Acetatos,1973,1973-02-02,XIV,Festival Internacional de la Canción de Viña del Mar 1973,https://www.youtube.com/watch?v=MADR8N_Vbls,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11... 1, 2, 3, 4, 5, 6, 7, 8, 9, 10... 1, 2, 3, 4, 5, 6, 7, 8, 9, 10... 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. Televisión Nacional: Los Acetatos. Uh, uh. 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 38, 40, 41, 42, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 68, 70, 71, 72, 75, 76, 78, 80, 81, 82, 83, 84, 85, 89, 70, 86, 81, 82, 83, 84, 85, 86, 84, 87, 85, 88, 89, 90, 91, 93, 95, 97, 98, 99, 100. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo, que suave tercer pelón, la media luz de amor.",Los Acetatos,9,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11... 1, 2, 3, 4, 5, 6, 7, 8, 9, 10... 1, 2, 3, 4, 5, 6, 7, 8, 9, 10... 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. Televisión Nacional: Los Acetatos. Uh, uh. 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 38, 40, 41, 42, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 68, 70, 71, 72, 75, 76, 78, 80, 81, 82, 83, 84, 85, 89, 70, 86, 81, 82, 83, 84, 85, 86, 84, 87, 85, 88, 89, 90, 91, 93, 95, 97, 98, 99, 100. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo me dio el amor. Y todo, que suave tercer pelón, la media luz de amor.",1970,1,1,1_canción_pegado_música_luis,1_canción_pegado_música_luis,False,False,0.03538948663709834
