topic_id_matrix,topic_id_assumed,inference_method
0,0,sorted_non_outlier_topic_ids
1,1,sorted_non_outlier_topic_ids
2,2,sorted_non_outlier_topic_ids
3,3,sorted_non_outlier_topic_ids
4,4,sorted_non_outlier_topic_ids
5,5,sorted_non_outlier_topic_ids
6,6,sorted_non_outlier_topic_ids
7,7,sorted_non_outlier_topic_ids
8,8,sorted_non_outlier_topic_ids
9,9,sorted_non_outlier_topic_ids
10,10,sorted_non_outlier_topic_ids
11,11,sorted_non_outlier_topic_ids
12,12,sorted_non_outlier_topic_ids
13,13,sorted_non_outlier_topic_ids
14,14,sorted_non_outlier_topic_ids
15,15,sorted_non_outlier_topic_ids
16,16,sorted_non_outlier_topic_ids
17,17,sorted_non_outlier_topic_ids
18,18,sorted_non_outlier_topic_ids
19,19,sorted_non_outlier_topic_ids
20,20,sorted_non_outlier_topic_ids
21,21,sorted_non_outlier_topic_ids
22,22,sorted_non_outlier_topic_ids
23,23,sorted_non_outlier_topic_ids
24,24,sorted_non_outlier_topic_ids
25,25,sorted_non_outlier_topic_ids
26,26,sorted_non_outlier_topic_ids
27,27,sorted_non_outlier_topic_ids
28,28,sorted_non_outlier_topic_ids
29,29,sorted_non_outlier_topic_ids
30,30,sorted_non_outlier_topic_ids
31,31,sorted_non_outlier_topic_ids
32,32,sorted_non_outlier_topic_ids
33,33,sorted_non_outlier_topic_ids
34,34,sorted_non_outlier_topic_ids
35,35,sorted_non_outlier_topic_ids
36,36,sorted_non_outlier_topic_ids
37,37,sorted_non_outlier_topic_ids
