Topic,Words,Frequency,Timestamp
0,"chancho, sabe sabe, chancha, chanchito, pelota ping",5,1970
1,"dio, can, be, why, guitarra",15,1970
2,"your, it, home, the, in",4,1970
5,"ejército, desfile, pistola, falda, linda",1,1970
6,"razón después, cuéntamelo, único hijo, hombre moderno, sé hombre",2,1970
7,"avión, torre control, veníamos, torre, par",5,1970
10,"chao chao, chao, maletas, voy ver, ver hago",4,1970
11,"tomar tomar, garganta, debajo cama, sostenido, verás",4,1970
12,"culpable, piano, pusimos, tocar, culpa",1,1970
13,"hollywood, quiero mostrarles, mostrarles, 12 18, 11 12",3,1970
14,"rusia, verdad dice, oiga parece, usted oiga, goodman",2,1970
15,"colegas, premio, jurado, japonés, tocando",4,1970
16,"san pedro, usted murió, convertible, refrigerador, huyendo",3,1970
17,"cerro santa, santa lucía, lucía, cerro, después años",1,1970
18,"permítame, chile día, caras, 17 años, probando",1,1970
19,"descubrió américa, quién descubrió, descubrió, américa, allá cómo",2,1970
20,"cigarrillos, sueltos, mexicano, dice oiga, voy vender",1,1970
21,"pam, pam pam, luna, allá china, intérprete",5,1970
23,"trenes, traicionado, papacito, va caminando, trencito",2,1970
26,"judío, decir cosa, 1000 pesos, italiano, simpática",5,1970
27,"goodman, cornelio, señora engañando, sombrero, ahora dice",1,1970
28,"albert, rezando, terremoto, padre, 300 pesos",3,1970
29,"pajarito, rotito, mirando así, rotito dice, años así",1,1970
30,"poquito abajo, señor favor, señor ve, entonces iba, quiero mostrarles",1,1970
31,"pelo ahí, 13 14, 14 años, ahora niños, mire señor",1,1970
0,"llevé casa, lavarse dientes, madre oiga, creyó, lavarse",1,1980
1,"pedazo, antonio, coro, fecha, monóculo",10,1980
2,"palabras, monóculo, idioma, deseo, medio selva",2,1980
4,"abuela, tango, abuelo, ojos ojos, pásate",5,1980
7,"chancho, lolo, chancho así, documentos, súper",2,1980
8,"llorando, pasa tonto, contenta, llegado quinta, llorando pasa",1,1980
10,"remamos, remamos remamos, ahí nomás, remo, mariposa",1,1980
12,"carretilla, mate, sitio, trajiste, miércoles",2,1980
14,"acontece, teniente, escúchame, hace hora, muchacho",1,1980
16,"poema, pude alcanzar, decirme adiós, gaucho, acomodan",1,1980
17,"teléfono, lolo, soplado, lola, moto",1,1980
20,"decimos, ahí oiga, oiga, pues oiga, prima",3,1980
21,"dios oiga, ay dios, niñas, oiga, parece hecho",2,1980
22,"fiebre, enfermó, doctor dijo, pues oiga, hospital oiga",1,1980
25,"mar, nadamos, juntamos, remamos, pongo pongo",2,1980
26,"allá oiga, gente aquí, dije claro, caballero oiga, dije hace",1,1980
0,"conejo, mono, perro, ay ay, loro",72,1990
1,"pegado, tristeza, rap, fidel, luis",36,1990
2,"chileno, argentino, cumbre, pacífico, fila",51,1990
3,"pinocho, chilo, cómo vamos, van dar, antártida",18,1990
4,"abuelita, tan bella, caperucita, bella, vieja",21,1990
5,"artículo, servicio, hermanos, salir mercado, ejemplo chino",14,1990
6,"inquieto, pechos, cooperar, niñitos, tomate",12,1990
7,"chofer, camello, micro, árabe, documento",36,1990
8,"amante, tina, bola, marido, velo",32,1990
9,"tomate, barquillo, toda mujer, lechuga, mujer toda",20,1990
10,"salta salta, salta, cha, complace, andaría",15,1990
11,"voy agarrar, hotel, agarrar, habitación, madrugada",20,1990
12,"dónde venís, vino, tinto, abre maleta, maleta",15,1990
13,"pasé casa, cabaret, ayer pasé, realista, camiseta",15,1990
14,"popó, bicicleta, pago, contradicción, carabinero",15,1990
15,"nervioso, resultar, socorro, contentos, parecer",10,1990
