topic_id,nombre_actual,nuevo_nombre
0,0_perro_perrito_mono_gallo,ANIMALES
1,1_canción_pegado_música_luis,MÚSICA Y CANCIONES
2,2_chileno_chile_chilenos_argentino,CHILENOS vs OTRAS NACIONALIDADES
3,3_presidente_checho_piñera_chile,POLÍTICA
4,4_abuela_vieja_abuelita_suegra,LA ABUELITA
5,5_mujeres_hombres_mujer_hombre,HOMBRES vs MUJERES
6,6_hijos_guagua_hija_mamá,MATERNIDAD Y PATERNIDAD
7,7_avión_auto_micro_chofer,MEDIOS DE TRANSPORTE
8,8_amante_mujer_marido_matrimonio,MATRIMONIOS Y AMANTES
9,9_comida_comió_pan_olla,COMIDA
10,10_salta salta_salta_bailar_baile,BAILAR
11,11_jorge_cama_dormir_pa,DORMIR
12,12_marihuana_jimmy_droga_vino,ALCOHOL Y DROGAS
13,13_almas_tele_casting_martín,CINE Y TV
14,14_loro_carabineros_cartero_carabinero,CARABINEROS
15,15_fome_show_oh oh_dichato,ESCENARIO
16,16_cielo_pi_san pedro_pérez,RELIGIÓN
17,17_celular_teléfono_momia_aló,TELÉFONOS
18,18_ciudad_temuco_emocionante_buenas noches,GEOGRAFÍA DE CHILE
19,19_colegio_profe_profesor_profesora,PROFESORES
20,20_farmacia_viagra_viejito_cajas,FARMACIAS
21,21_pam_pam pam_luna_tenis,VIAJES
22,22_doctor_médico_doctor doctor_hospital,MÉDICOS Y HOSPITALES
23,23_tac_tac tac_hijos_papá,HIJOS
24,24_plata_bolsa_crédito_chino,DINERO
25,25_agua_pez_pueblo_nadar,EL MAR
26,26_pesos_banco_lucas_crisis,FINANZAS
27,27_espejo_hermana_bonita_ropa,RELACIONES SEXUALES
28,28_terremoto_noticias_ta_grado,TERREMOTOS
29,29_amiga_mira mira_amigas_tenés hacer,RELACIONES AMOROSAS
30,30_maestro_foto_llené_comentar,DOBLE SENTIDO
31,31_niño_cabro chico_cabro_chico,NIÑEZ
